Data,IE00B4WXJJ64
04/2009,10000
05/2009,9878.452145123007
06/2009,10000.231134202846
07/2009,10174.520174504843
08/2009,10223.782579484016
09/2009,10284.855299895895
10/2009,10294.737452650128
11/2009,10361.875415253131
12/2009,10270.502808804953
01/2010,10322.598344796623
02/2010,10447.857240076888
03/2010,10509.217595545228
04/2010,10438.614266003766
05/2010,10595.659695596289
06/2010,10517.712083429607
07/2010,10611.159442700215
08/2010,10889.093890825874
09/2010,10760.408723700228
10/2010,10704.229215799682
11/2010,10431.182257205815
12/2010,10377.94978924322
01/2011,10329.779838271385
02/2011,10323.103757625628
03/2011,10258.38137540521
04/2011,10322.184911960692
05/2011,10417.372915328539
06/2011,10379.952516139361
07/2011,10389.46173019064
08/2011,10695.239643595967
09/2011,10776.652364931166
10/2011,10566.162165975657
11/2011,10309.544666097132
12/2011,10716.788430802138
01/2012,10918.326394184429
02/2012,11111.970068787592
03/2012,11115.823303676496
04/2012,11092.635248755614
05/2012,11227.93586331625
06/2012,11138.223440239839
07/2012,11319.04206558235
08/2012,11396.487175958184
09/2012,11544.236987319877
10/2012,11627.174781518435
11/2012,11795.561034454326
12/2012,11885.246320887996
01/2013,11824.274604436023
02/2013,11846.810805430992
03/2013,11924.320677423388
04/2013,12226.590680562014
05/2013,12072.21660832853
06/2013,11889.464956105401
07/2013,11976.329034243383
08/2013,11911.276145793638
09/2013,12000.544121618499
10/2013,12169.354211287591
11/2013,12209.912585389678
12/2013,12140.251322956517
01/2014,12403.854428798937
02/2014,12486.529844760824
03/2014,12600.253268760827
04/2014,12718.848679966075
05/2014,12844.934886543719
06/2014,12981.430672878687
07/2014,13098.464452509135
08/2014,13345.417253371284
09/2014,13356.623281952372
10/2014,13388.346613755843
11/2014,13573.034374015768
12/2014,13721.672637851936
01/2015,14038.075099678586
02/2015,14135.147327021785
03/2015,14308.294346275945
04/2015,14104.463050170209
05/2015,13889.926463989246
06/2015,13531.490606052403
07/2015,13842.799214855491
08/2015,13692.915553294795
09/2015,13873.974503751204
10/2015,14017.84321419842
11/2015,14078.250811101254
12/2015,13935.184149049244
01/2016,14206.864941653608
02/2016,14340.89644939182
03/2016,14407.473403494534
04/2016,14243.61150523559
05/2016,14391.441191763
06/2016,14719.49770833558
07/2016,14838.815054711557
08/2016,14790.867946522822
09/2016,14819.242418948746
10/2016,14504.230756779025
11/2016,14278.136658126448
12/2016,14371.998734818453
01/2017,14074.806886810671
02/2017,14238.33294279185
03/2017,14153.133531567888
04/2017,14225.053577554165
05/2017,14303.942120123236
06/2017,14224.969476779614
07/2017,14256.400955416631
08/2017,14375.527138584705
09/2017,14306.464857756813
10/2017,14462.710412028762
11/2017,14505.660632499852
12/2017,14383.416146128233
01/2018,14331.008221809132
02/2018,14356.767667450335
03/2018,14585.866729782225
04/2018,14529.861408892013
05/2018,14350.757080562298
06/2018,14458.235319714075
07/2018,14407.375709823587
08/2018,14323.51637622629
09/2018,14303.514782755316
10/2018,14296.662065646802
11/2018,14378.520656429699
12/2018,14511.020340484858
01/2019,14666.079236120668
02/2019,14610.200865028546
03/2019,14875.091457765773
04/2019,14868.602661852028
05/2019,15029.836186634153
06/2019,15373.869081200384
07/2019,15633.14162975916
08/2019,16017.423504358941
09/2019,15953.96256376756
10/2019,15773.338063623674
11/2019,15630.367407025167
12/2019,15479.463788127741
01/2020,15859.779851797082
02/2020,15934.738738451726
03/2020,15520.929487990104
04/2020,15596.699835708649
05/2020,15628.840336149246
06/2020,15785.281314846168
07/2020,15949.158153064745
08/2020,15823.334211723066
09/2020,16042.146327427292
10/2020,16199.23242543038
11/2020,16213.85358806832
12/2020,16237.321954331042
01/2021,16137.170623945716
02/2021,15830.874813167571
03/2021,15852.235656271707
04/2021,15681.792881679981
05/2021,15672.936896253948
06/2021,15745.75529286228
07/2021,16034.561458722037
08/2021,15940.022606060924
09/2021,15748.065780140709
10/2021,15646.944752947897
11/2021,15918.64936848254
12/2021,15661.924008489656
01/2022,15491.934121502018
02/2022,15189.176368344833
03/2022,14829.428343969515
04/2022,14263.705610352836
05/2022,14000.866414041106
06/2022,13735.75286791641
07/2022,14302.693096133044
08/2022,13559.088231403975
09/2022,13038.863773634974
10/2022,13061.668639576645
11/2022,13372.7299761151
12/2022,12758.830227293081
01/2023,13067.477034022735
02/2023,12761.567052689375
03/2023,13070.465507426894
04/2023,13056.854373982256
05/2023,13110.831364136313
06/2023,13074.503662052184
07/2023,13052.529223441568
08/2023,13092.463825815425
09/2023,12742.719533803103
10/2023,12792.524145996094
11/2023,13176.914605851842
12/2023,13656.47233015236
01/2024,13588.309327292181
02/2024,13426.415971452026
03/2024,13564.950085948365
04/2024,13372.614207365985
