Data,IE00B4YBJ215
07/1991,10000
08/1991,10133.60178629881
09/1991,9819.643743497743
10/1991,10188.406882099987
11/1991,9474.332311266235
12/1991,10255.466166923727
01/1992,10507.845933356917
02/1992,10908.121841771292
03/1992,10775.201872405116
04/1992,10547.78409290675
05/1992,10441.496408897703
06/1992,9850.460531025828
07/1992,9845.223049068987
08/1992,9364.979933327477
09/1992,9713.043008379753
10/1992,10356.953260577455
11/1992,11649.547865317129
12/1992,12029.648233225933
01/1993,12414.93075066824
02/1993,12543.142078926488
03/1993,13036.946087884131
04/1993,12260.60082413292
05/1993,12847.642662788367
06/1993,13285.655545611327
07/1993,13819.215593704608
08/1993,14496.369345243917
09/1993,14063.424112281064
10/1993,14271.45206362965
11/1993,14327.007380216573
12/1993,14981.902230934451
01/1994,15534.534065357655
02/1994,15251.350276607074
03/1994,14240.391128003608
04/1994,14384.39379215798
05/1994,13938.376922957086
06/1994,13236.325077820153
07/1994,13259.45020658514
08/1994,13966.61290849482
09/1994,13555.623896018773
10/1994,13438.53308415474
11/1994,13019.84816327448
12/1994,13404.842728341922
01/1995,13264.804746330621
02/1995,13804.033584810988
03/1995,13494.42417541886
04/1995,13498.599201076688
05/1995,14034.481073122804
06/1995,14480.40678456301
07/1995,15055.18352869
08/1995,15794.093361613232
09/1995,16380.563427766934
10/1995,15706.735072775798
11/1995,16424.198075678007
12/1995,16638.667978297308
01/1996,17080.84792983164
02/1996,17758.60814563396
03/1996,17955.52895271645
04/1996,18657.199567165844
05/1996,19134.221631758992
06/1996,18696.164624616405
07/1996,17161.77405726978
08/1996,17982.670135649572
09/1996,18924.899778687522
10/1996,19034.22959962492
11/1996,19843.569405205028
12/1996,20300.27022852621
01/1997,21630.172019002
02/1997,22381.548614931773
03/1997,21670.441512755377
04/1997,22347.96497526614
05/1997,24222.048054132178
06/1997,25176.28941103678
07/1997,28432.496593587693
08/1997,29200.879101748043
09/1997,30062.14610258525
10/1997,28224.648161069268
11/1997,28046.46640889942
12/1997,29914.040306397816
01/1998,30012.093443318783
02/1998,32419.48120056294
03/1998,33998.478062136506
04/1998,34376.01708737041
05/1998,32321.000337968817
06/1998,32752.220259549926
07/1998,31548.778035451953
08/1998,25563.603512975544
09/1998,26639.579135503875
10/1998,27941.543054789636
11/1998,30177.833837468606
12/1998,33600.66538750661
01/1999,33339.427517547934
02/1999,32634.83656359621
03/1999,34400.4193278241
04/1999,37612.9887290917
05/1999,38275.93785302311
06/1999,40815.63848783813
07/1999,38570.89613220024
08/1999,37665.316733426225
09/1999,36178.134543647975
10/1999,38783.786446216975
11/1999,42248.87848795797
12/1999,44976.25811578423
01/2000,44837.083609084395
02/2000,48344.07184569446
03/2000,53260.96120341761
04/2000,54035.741047249285
05/2000,52097.560462117544
06/2000,51450.13514420729
07/2000,54019.827524451866
08/2000,62310.06268278909
09/2000,62863.43423126035
10/2000,63226.84875092107
11/2000,56641.270574913564
12/2000,56890.937139600435
01/2001,58218.83728748397
02/2001,55148.938158859244
03/2001,53439.45117465345
04/2001,59027.15284657803
05/2001,63207.73916984558
06/2001,62936.72083345591
07/2001,60036.014854663495
08/2001,55501.91439236282
09/2001,48728.02151109661
10/2001,51372.14089432485
11/2001,56074.09002110198
12/2001,59525.55330701596
01/2002,60408.14680171714
02/2002,60369.49567106186
03/2002,64128.602208950884
04/2002,61800.4296358922
05/2002,58289.57886299787
06/2002,50824.18340808816
07/2002,46789.1471080948
08/2002,46773.727514576545
09/2002,42875.938429017486
10/2002,44704.922772138845
11/2002,46980.03202861553
12/2002,42632.075030433225
01/2003,40116.668151640464
02/2003,39274.80197859189
03/2003,39185.24037730582
04/2003,41129.2728642924
05/2003,41924.29222572837
06/2003,43915.88932026122
07/2003,45901.05522165815
08/2003,49688.67648236378
09/2003,45871.185482441164
10/2003,49455.565628923796
11/2003,49578.86694079613
12/2003,47864.36685880535
01/2004,49861.056825200816
02/2004,50906.094348751794
03/2004,51920.8483172705
04/2004,51367.9352066477
05/2004,51341.73577039367
06/2004,52683.19040252941
07/2004,50695.628970310485
08/2004,50249.63994593317
09/2004,50482.76844372288
10/2004,49957.0330032455
11/2004,50697.939364933474
12/2004,51543.929987432115
01/2005,52473.484938172136
02/2005,53312.468545052834
03/2005,53900.48865382212
04/2005,51820.134568095185
05/2005,57717.13109900814
06/2005,60208.05983741156
07/2005,63350.12845613617
08/2005,62088.965277190844
09/2005,63361.30930006854
10/2005,62081.956606847816
11/2005,66505.33623785863
12/2005,66789.40716130436
01/2006,68834.39130645807
02/2006,69636.91984675276
03/2006,70008.04931274784
04/2006,68523.74183928108
05/2006,63732.877239081325
06/2006,64508.57260324079
07/2006,62387.66002233902
08/2006,62672.64331014001
09/2006,64030.59382979558
10/2006,66487.23336967823
11/2006,65989.57933523705
12/2006,65801.61583383041
01/2007,69313.20181894481
02/2007,68445.73548749073
03/2007,68792.5874512012
04/2007,69372.55966977181
05/2007,73654.67122616193
06/2007,71750.00658737325
07/2007,67630.71853350625
08/2007,68246.75223165349
09/2007,67693.23184158887
10/2007,68168.79987976518
11/2007,63340.482147004426
12/2007,63374.885330051366
01/2008,58858.74260811797
02/2008,56618.096068127
03/2008,53738.05334096633
04/2008,58878.7746611603
05/2008,62107.15410208351
06/2008,56785.25482550304
07/2008,56264.33396892784
08/2008,60615.867867038236
09/2008,55742.921274175525
10/2008,48897.91466969886
11/2008,44457.64421548057
12/2008,42615.849494378155
01/2009,42909.45081621974
02/2009,39271.02967890329
03/2009,40677.66173902997
04/2009,46832.24313869628
05/2009,45293.26960558199
06/2009,45447.494104798076
07/2009,49393.88669565132
08/2009,51054.728909104626
09/2009,52595.66147621088
10/2009,49662.02468321709
11/2009,50894.93701036533
12/2009,56392.48411436949
01/2010,56284.78222759172
02/2010,60931.593155095055
03/2010,65704.55018399123
04/2010,69332.41234657279
05/2010,69593.69656757262
06/2010,65205.85003574894
07/2010,65643.57072390191
08/2010,64096.954890821056
09/2010,66267.39346594189
10/2010,67502.71644947336
11/2010,74084.04150398125
12/2010,76770.29971084265
01/2011,76398.04205668603
02/2011,79113.96736650229
03/2011,78905.59011910664
04/2011,77466.64771101701
05/2011,78927.34719629408
06/2011,76937.11682957718
07/2011,75203.98362281418
08/2011,68916.08595102906
09/2011,65925.6281362308
10/2011,72304.30476406889
11/2011,75200.29272769068
12/2011,77673.65252592736
01/2012,81296.08012371011
02/2012,83245.71777098239
03/2012,85342.40569529103
04/2012,86044.03934583352
05/2012,85705.58228515081
06/2012,86007.2854082626
07/2012,88088.97430447057
08/2012,88769.72649542138
09/2012,88236.64605646166
10/2012,87089.69800079007
11/2012,89035.31067344392
12/2012,89524.67738672221
01/2013,93444.11893568526
02/2013,97363.97368702508
03/2013,104578.18695883191
04/2013,103059.0672535328
05/2013,105896.596813323
06/2013,103327.3466331949
07/2013,108091.33755633673
08/2013,104328.2739857383
09/2013,107544.42746685164
10/2013,110401.12946152342
11/2013,112080.45087356925
12/2013,114006.25006277201
01/2014,113827.31465804507
02/2014,116791.8318554771
03/2014,117405.88528520618
04/2014,115024.79757582734
05/2014,119128.83497051011
06/2014,123563.81909808029
07/2014,120718.10566616587
08/2014,128661.10798808641
09/2014,128682.56302385803
10/2014,133864.65641596433
11/2014,136754.35297088404
12/2014,141731.7644793287
01/2015,150468.87958219074
02/2015,159053.78454100818
03/2015,168316.80993644072
04/2015,159023.55892093215
05/2015,165425.2167546715
06/2015,160007.7834829779
07/2015,163429.98719336602
08/2015,150857.83145646553
09/2015,146117.9385911276
10/2015,156919.35663329365
11/2015,165588.99960898233
12/2015,154158.05370539968
01/2016,144907.15194083398
02/2016,147348.21392574455
03/2016,152879.36519439443
04/2016,154468.03636508275
05/2016,161526.51615925267
06/2016,162917.1907624506
07/2016,169699.9273122487
08/2016,170212.25070735658
09/2016,168646.89388966258
10/2016,167316.62530819167
11/2016,185953.72969054646
12/2016,191671.7107690928
01/2017,190961.18843843605
02/2017,198843.7901281955
03/2017,196282.17453215632
04/2017,193545.66854868893
05/2017,187560.95186034052
06/2017,187360.98097208835
07/2017,183888.72713559138
08/2017,179519.64066335314
09/2017,186803.9621954221
10/2017,193740.7483240167
11/2017,197238.5021854964
12/2017,195245.75425718148
01/2018,193327.4371045461
02/2018,188385.85974631252
03/2018,188437.26440893134
04/2018,191666.6875244952
05/2018,206010.53991687985
06/2018,207553.34000303363
07/2018,209759.58823516915
08/2018,217987.57695993615
09/2018,216940.14542088532
10/2018,200650.96485690336
11/2018,206118.37758241937
12/2018,181289.81677291822
01/2019,199546.256909317
02/2019,209267.69725635182
03/2019,211376.42956839802
04/2019,220156.04580254783
05/2019,203769.34687780534
06/2019,214877.3903047772
07/2019,221843.4924211236
08/2019,214697.48909231834
09/2019,224206.97183603456
10/2019,221297.56813906113
11/2019,231395.00727409802
12/2019,232501.88944987956
01/2020,230100.99945859116
02/2020,209625.38638727917
03/2020,167453.30728903852
04/2020,192566.62322392565
05/2020,201779.34774294254
06/2020,203132.85596464915
07/2020,200791.44247605363
08/2020,206193.58091649067
09/2020,203401.19242618716
10/2020,207949.16952751405
11/2020,231989.96434723723
12/2020,241202.17002529925
01/2021,247493.36062315822
02/2021,264591.4614537168
03/2021,286234.40015010745
04/2021,290211.1489257556
05/2021,287873.0962783682
06/2021,292452.7531939628
07/2021,293216.3117889221
08/2021,300295.97187862307
09/2021,294647.7256267128
10/2021,310148.7610888782
11/2021,308433.49628291116
12/2021,325078.2839495615
01/2022,306156.75312894565
02/2022,308302.1921433811
03/2022,315253.1475329115
04/2022,308355.4906695315
05/2022,305569.0902295693
06/2022,284763.8877039725
07/2022,321439.8147731371
08/2022,317554.8058567645
09/2022,295733.7172047342
10/2022,321296.44396101567
11/2022,325692.7623553152
12/2022,299202.7872687171
01/2023,321701.96198466374
02/2023,322156.17553075776
03/2023,304395.72120359587
04/2023,299020.13684758294
05/2023,297481.87381527876
06/2023,319190.01042072533
07/2023,327545.39700725966
08/2023,322527.15520801296
09/2023,313394.35697544756
10/2023,295890.3442226684
11/2023,311824.70765350567
12/2023,335277.86204689246
01/2024,335932.82598907297
02/2024,356163.0024154919
03/2024,376527.79623970913
04/2024,356838.3353387483
