Data,IE00B51B7Z02
12/1978,10000
01/1979,10378.729921688717
02/1979,10679.74889136187
03/1979,11758.296277328529
04/1979,12221.894512263356
05/1979,12687.832521426079
06/1979,13416.313482118374
07/1979,12327.78410745631
08/1979,13627.133902790072
09/1979,14358.204050661949
10/1979,12931.979167221205
11/1979,14031.00889177491
12/1979,14609.638967479515
01/1980,16584.48475859607
02/1980,18974.964927659646
03/1980,15574.425746810251
04/1980,16293.474027994798
05/1980,16945.27918958911
06/1980,17915.8119626237
07/1980,18423.24605920104
08/1980,19103.40860024857
09/1980,18943.30445803749
10/1980,18855.754502316395
11/1980,20304.079212261022
12/1980,19734.52934518762
01/1981,19618.07852728042
02/1981,20492.732156632806
03/1981,22086.67506025427
04/1981,22193.455168510118
05/1981,24400.804315131016
06/1981,25341.810137018096
07/1981,24359.861325715694
08/1981,25085.24796234368
09/1981,20470.01116428757
10/1981,19374.67597842936
11/1981,21706.06624589186
12/1981,20940.409504270097
01/1982,19402.59231196575
02/1982,18509.777800874916
03/1982,17732.41731536365
04/1982,17872.005504369823
05/1982,16921.883894885163
06/1982,15493.283243498852
07/1982,16865.841703673792
08/1982,20016.362477598177
09/1982,19955.465322490287
10/1982,22494.18600273493
11/1982,23217.78277967923
12/1982,24289.772413491726
01/1983,24871.441501651552
02/1983,26261.886018228954
03/1983,27064.406156302288
04/1983,30324.40620753947
05/1983,31268.764646974687
06/1983,32919.28385168626
07/1983,33554.89897762215
08/1983,34817.25463239135
09/1983,35326.934472908884
10/1983,32729.973522928012
11/1983,36546.98105841696
12/1983,37476.94205808444
01/1984,36491.50948837614
02/1984,35009.78862624516
03/1984,32752.71498490684
04/1984,32465.100638759435
05/1984,32231.91978494617
06/1984,31623.982739766885
07/1984,31850.400912653655
08/1984,36919.8811801237
09/1984,38314.80178605775
10/1984,38313.80250527003
11/1984,37346.887778428165
12/1984,39463.020431531724
01/1985,43666.14619570131
02/1985,43410.36824618261
03/1985,44629.2568775713
04/1985,41769.43040943666
05/1985,43389.24744047805
06/1985,42390.869313296855
07/1985,42245.5615015801
08/1985,40354.026553643576
09/1985,38435.04923685298
10/1985,36720.15132347827
11/1985,38345.42423278982
12/1985,37580.789447945215
01/1986,35211.57492604638
02/1986,34231.188313906794
03/1986,36274.666695759144
04/1986,37143.2139229174
05/1986,36962.202813302036
06/1986,36401.6059233268
07/1986,33696.847052193494
08/1986,34026.535375018124
09/1986,33521.479327488494
10/1986,33873.988031524015
11/1986,34584.7074653419
12/1986,34686.0840655792
01/1987,37210.799788318516
02/1987,38326.40435712615
03/1987,41863.81162407741
04/1987,40250.481964904844
05/1987,39571.76927108084
06/1987,41532.49504057373
07/1987,45706.016617452595
08/1987,46061.603521344216
09/1987,44233.93220095336
10/1987,34233.39346769537
11/1987,31368.783255061164
12/1987,32709.006357474784
01/1988,32617.68757156293
02/1988,35790.23149507771
03/1988,36919.73368688428
04/1988,37302.49793672163
05/1988,36285.234592432724
06/1988,40820.91444975119
07/1988,42090.13243922982
08/1988,40801.51209733758
09/1988,41391.058085293895
10/1988,41720.69852752305
11/1988,39908.264321569535
12/1988,41104.15477719846
01/1989,46273.70311956751
02/1989,45375.877472370565
03/1989,46207.61747895982
04/1989,47714.41365930027
05/1989,50135.576048707575
06/1989,52270.46775149086
07/1989,53869.64982454675
08/1989,55567.83314091512
09/1989,55536.268709057884
10/1989,53466.233402271304
11/1989,53246.99110492955
12/1989,52086.92321479436
01/1990,45914.11266350341
02/1990,45406.64314792764
03/1990,46622.563439603466
04/1990,42587.54120773158
05/1990,44982.71755483817
06/1990,45129.104685668535
07/1990,44676.151260671235
08/1990,40540.60639122786
09/1990,38814.56641736611
10/1990,36522.54353660131
11/1990,36774.325897311006
12/1990,38824.12691299696
01/1991,38923.66491883275
02/1991,40842.01794456648
03/1991,44389.22611430484
04/1991,47280.536966408814
05/1991,49644.35441133836
06/1991,50250.43767673431
07/1991,51139.46773721201
08/1991,50610.901271416995
09/1991,47949.62416301633
10/1991,50027.2667247782
11/1991,46969.91634276899
12/1991,45641.17828511809
01/1992,46589.875723400895
02/1992,47241.02717063564
03/1992,45851.76714665117
04/1992,44839.726881591465
05/1992,44226.09050030248
06/1992,43114.99153511613
07/1992,42002.699284540075
08/1992,40060.39886840751
09/1992,37966.771852031554
10/1992,40545.84071812243
11/1992,41267.73544941434
12/1992,42335.11208003776
01/1993,42344.28529851331
02/1993,45827.62670316484
03/1993,47297.87503160699
04/1993,47301.87060340741
05/1993,48109.555522618364
06/1993,49169.83053663486
07/1993,50892.11364875132
08/1993,51667.71614938641
09/1993,47182.00277585159
10/1993,52212.531345103496
11/1993,52394.19046345454
12/1993,54758.880895450166
01/1994,59013.25338179199
02/1994,55926.26420025175
03/1994,52402.776826221314
04/1994,51975.94036756078
05/1994,51480.7508141941
06/1994,47371.40051550397
07/1994,48034.48577635933
08/1994,50816.83968656373
09/1994,51399.20516805022
10/1994,49794.067830913395
11/1994,47739.747573956935
12/1994,49555.76812615226
01/1995,46071.52971002144
02/1995,48084.00472944319
03/1995,48187.417525565324
04/1995,48097.8586296328
05/1995,50880.67501568807
06/1995,51328.13061920369
07/1995,51639.338738409686
08/1995,53248.705609537916
09/1995,53692.39996491647
10/1995,52421.430381507744
11/1995,54501.1131619512
12/1995,55897.75167982187
01/1996,59523.961884087985
02/1996,59344.84596327259
03/1996,60480.16281936756
04/1996,63521.115329818975
05/1996,65319.59599713748
06/1996,63047.566348729226
07/1996,60201.38307803487
08/1996,62331.46016645992
09/1996,65375.49743092441
10/1996,70722.69654561224
11/1996,74906.00134481803
12/1996,73929.64578625196
01/1997,79681.39062884946
02/1997,82501.29187550826
03/1997,79275.30412446152
04/1997,81583.89657112371
