Data,IE00B52SF786
12/1978,10000
01/1979,10377.646588355383
02/1979,10677.509892577786
03/1979,11754.674431914178
04/1979,12216.856444088917
05/1979,12681.278893074026
06/1979,13408.009767303143
07/1979,12318.701578158392
08/1979,13615.759547904936
09/1979,14344.744442375779
10/1979,12918.30251078818
11/1979,14014.770436132621
12/1979,14591.212581233896
01/1980,16561.986886225535
02/1980,18947.430006845043
03/1980,15549.772772732475
04/1980,16265.998303723456
05/1980,16914.942174896656
06/1980,17881.90495783382
07/1980,18386.4414913246
08/1980,19063.253390584217
09/1980,18901.420600195255
10/1980,18812.016564506248
11/1980,20254.943762032744
12/1980,19684.57790824091
01/1981,19566.289351141404
02/1981,20436.514327307577
03/1981,22023.870602526833
04/1981,22127.961157408554
05/1981,24326.399109023838
06/1981,25261.900168375407
07/1981,24280.311016409854
08/1981,25000.69844119136
09/1981,20398.308833263523
10/1981,19304.60056941544
11/1981,21625.46720275932
12/1981,20860.310741553123
01/1982,19326.11595758948
02/1982,18434.726860039642
03/1982,17658.52121516193
04/1982,17795.614693436957
05/1982,16847.626356953882
06/1982,15423.469609686352
07/1982,16788.172365876628
08/1982,19922.365873821236
09/1982,19859.596434737556
10/1982,22383.969284225066
11/1982,23101.595661135478
12/1982,24165.71813970308
01/1983,24741.798537624472
02/1983,26122.314968494273
03/1983,26917.74012688424
04/1983,30157.157666015883
05/1983,31093.040649224487
06/1983,32730.915864236238
07/1983,33359.34807695768
08/1983,34610.73305884287
09/1983,35113.64019298341
10/1983,32528.554998755902
11/1983,36318.54894517134
12/1983,37238.76283607323
01/1984,36255.558839576166
02/1984,34779.4909588501
03/1984,32533.496781057118
04/1984,32244.28301318311
05/1984,32009.195053131873
06/1984,31401.9912309929
07/1984,31623.418129286398
08/1984,36653.344731883095
09/1984,38034.22418013594
10/1984,38029.11184275124
11/1984,37065.26195415151
12/1984,39161.42184736965
01/1985,43328.18247452051
02/1985,43069.690288138794
03/1985,44274.347384086075
04/1985,41432.46699893661
05/1985,43034.728083601985
06/1985,42039.845282185444
07/1985,41891.1863972988
08/1985,40010.98029833929
09/1985,38103.9815267647
10/1985,36399.72728601028
11/1985,38006.87458321353
12/1985,37244.87330557623
01/1986,34892.80116253866
02/1986,33917.510030928286
03/1986,35938.58855461618
04/1986,36795.19550374581
05/1986,36611.894256281
06/1986,36052.64412386386
07/1986,33369.90855738597
08/1986,33692.78305635289
09/1986,33189.03084478601
10/1986,33534.448073699816
11/1986,34234.41062799254
12/1986,34331.05169101983
01/1987,36826.20627318081
02/1987,37926.29096649518
03/1987,41422.660337213616
04/1987,39821.84412269916
05/1987,39146.045183613256
06/1987,41081.436098996455
07/1987,45205.181130264216
08/1987,45551.9743708196
09/1987,43739.589750314364
10/1987,33846.074970563124
11/1987,31010.208457356795
12/1987,32331.752105590127
01/1988,32237.983952173116
02/1988,35370.103734835124
03/1988,36482.515373655006
04/1988,36856.79450302942
05/1988,35847.69296142829
06/1988,40324.79630691024
07/1988,41574.22029991543
08/1988,40296.89111351038
09/1988,40874.78027524181
10/1988,41195.88095415488
11/1988,39401.783031663916
12/1988,40578.22774999068
01/1989,45677.235826277676
02/1989,44786.03477010227
03/1989,45602.11113728292
04/1989,47084.22197560892
05/1989,49468.30589113154
06/1989,51569.424581993844
07/1989,53141.57199270185
08/1989,54811.046427504865
09/1989,54773.974013050116
10/1989,52726.418308012115
11/1989,52504.497649263234
12/1989,51354.918137883506
01/1990,45263.293908154046
02/1990,44758.11409702144
03/1990,45951.81897926434
04/1990,41969.86925572267
05/1990,44325.760227293256
06/1990,44465.207466388085
07/1990,44014.10040479527
08/1990,39935.07151498065
09/1990,38230.486242410196
10/1990,35968.812002064624
11/1990,36212.88037774571
12/1990,38227.46335675352
01/1991,38321.33031713339
02/1991,40205.84580147315
03/1991,43693.445558134415
04/1991,46534.70299542032
05/1991,48856.190785574676
06/1991,49447.35899873105
07/1991,50316.824204926415
08/1991,49791.30941527315
09/1991,47167.73491310641
10/1991,49206.38861466312
11/1991,46193.87442289338
12/1991,44882.08557940754
01/1992,45810.142292327604
02/1992,46445.433229858114
03/1992,45074.538374783995
04/1992,44074.77002921355
05/1992,43466.827396199944
06/1992,42370.09461002351
07/1992,41272.42931886084
08/1992,39359.42706824626
09/1992,37298.17013506577
10/1992,39827.78049701356
11/1992,40532.57591422351
12/1992,41576.54685217652
01/1993,41581.051577998274
02/1993,44997.10295149124
03/1993,46435.831614638395
04/1993,46434.72381536879
05/1993,47222.571674324856
06/1993,48258.18288436735
07/1993,49943.30553191662
08/1993,50699.037547385626
09/1993,46291.93099680636
10/1993,51222.54546631025
11/1993,51395.21109244328
12/1993,53709.247089813085
01/1994,57876.25205237591
02/1994,54842.46959669122
03/1994,51381.32258730766
04/1994,50957.23987226274
05/1994,50466.23540033591
06/1994,46432.39963587109
07/1994,47077.31097436997
08/1994,49799.12136251857
09/1994,50364.428797101355
10/1994,48786.15017486329
11/1994,46768.12773026094
12/1994,48542.12130514623
01/1995,45123.8931018085
02/1995,47090.085480238
03/1995,47186.25925874834
