Data,IE00B52SFT06
12/1978,10000
01/1979,10605.486014100143
02/1979,10291.002695000252
03/1979,10875.395007026005
04/1979,10998.847616174095
05/1979,10906.989836724815
06/1979,11196.17704875451
07/1979,10915.756800859966
08/1979,11491.84858480702
09/1979,11349.329476041637
10/1979,10667.191231779547
11/1979,11064.20425056715
12/1979,10991.703483206213
01/1980,11538.519868376015
02/1980,11526.956144043828
03/1980,11063.93034254614
04/1980,11681.529195784238
05/1980,11712.58663593891
06/1980,11914.323844341474
07/1980,12546.38829117182
08/1980,12882.170891678797
09/1980,13173.748189877379
10/1980,13844.628270475998
11/1980,15822.795393623186
12/1980,15751.436888189543
01/1981,15209.829786498223
02/1981,16587.98205786578
03/1981,17150.236508540464
04/1981,17277.354742899046
05/1981,18278.864323168953
06/1981,18938.087401963963
07/1981,19655.93590805675
08/1981,19033.93899960585
09/1981,17312.674174626118
10/1981,17631.464062505376
11/1981,18203.250884968096
12/1981,17962.256062205033
01/1982,18027.19281986545
02/1982,17663.04836643694
03/1982,17885.087212977633
04/1982,18955.116161030608
05/1982,17697.851530598287
06/1982,18487.42120593344
07/1982,18544.198057683763
08/1982,20951.390584066427
09/1982,21424.21822851066
10/1982,24091.08014354148
11/1982,25443.206506428905
12/1982,24832.672394592846
01/1983,25642.22164947445
02/1983,26666.259887343836
03/1983,27728.255443093494
04/1983,30336.631325579914
05/1983,30053.147277169766
06/1983,32173.61021146416
07/1983,31552.345358041926
08/1983,33240.46802564036
09/1983,33693.16690914931
10/1983,32764.180755897603
11/1983,34363.51391268506
12/1983,35041.23781994436
01/1984,35428.46719087056
02/1984,32917.45632902173
03/1984,32331.929670521662
04/1984,33245.633468310145
05/1984,32547.98731708231
06/1984,33234.978649880344
07/1984,34222.97078769562
08/1984,38368.91614811446
09/1984,40244.610719077944
10/1984,41185.16194173979
11/1984,39715.63104729805
12/1984,42325.34465642229
01/1985,46840.807266539254
02/1985,49161.0848323786
03/1985,49404.11007157686
04/1985,45882.495122073036
05/1985,49062.84538439775
06/1985,48912.778599491714
07/1985,46385.36818511223
08/1985,44384.63780717372
09/1985,43675.396111474285
10/1985,42850.417111370785
11/1985,44940.22498131213
12/1985,46139.16222267989
01/1986,45466.2103259518
02/1986,46981.57271589231
03/1986,48230.938896984655
04/1986,47804.57575217321
05/1986,49279.59656741529
06/1986,50117.48997094402
07/1986,46046.27962526298
08/1986,47960.808874267575
09/1986,43533.64720560198
10/1986,45488.333267455375
11/1986,47028.8950506206
12/1986,45185.7723575229
01/1987,48109.8782393424
02/1987,48951.623587654336
03/1987,50182.388339379104
04/1987,49073.5731872577
05/1987,48746.316871537
06/1987,52183.26551721252
07/1987,55447.45701624723
08/1987,58071.889744213455
09/1987,55343.48400878591
10/1987,43272.79350535875
11/1987,37214.16667929206
12/1987,38618.734954855834
01/1988,40690.08199807536
02/1988,43612.40567419908
03/1988,41573.96559249827
04/1988,41697.47496705731
05/1988,42462.37005999025
06/1988,46081.90546537667
07/1988,48245.13487738369
08/1988,47662.263053031435
09/1988,49327.89037357964
10/1988,49571.88913272484
11/1988,46863.636750114136
12/1988,47670.68589659812
01/1989,53320.21881891067
02/1989,52350.22090165861
03/1989,53874.884853903684
04/1989,57104.22552523371
05/1989,61842.004763105666
06/1989,62707.354178203685
07/1989,65455.79630774077
08/1989,67458.48231759488
09/1989,68331.24449312985
10/1989,64253.18092578635
11/1989,64627.55168958999
12/1989,63350.5109549945
01/1990,57490.42436624142
02/1990,57560.10364252579
03/1990,59942.67240445028
04/1990,57957.59167675885
05/1990,62270.647347573205
06/1990,62447.339351968716
07/1990,60457.767574339465
08/1990,52498.41926770174
09/1990,50136.788428082444
10/1990,48508.884029424706
11/1990,50663.891440870764
12/1990,52678.402048024494
01/1991,55318.41384775295
02/1991,58147.15977855794
03/1991,64821.171356137944
04/1991,68530.51019994431
05/1991,72318.79714334224
06/1991,71563.53400840604
07/1991,74996.59012892206
08/1991,75108.02777498598
09/1991,71779.3137824965
10/1991,72904.74594426747
11/1991,67325.45151277713
12/1991,72617.28360478526
01/1992,71892.53843480593
02/1992,74303.81236368623
03/1992,74865.45168711562
04/1992,76342.85920240819
05/1992,75171.01657990021
06/1992,71886.5826483493
07/1992,71304.95110837891
08/1992,67823.24503177596
09/1992,70127.76529169548
10/1992,73473.6472711475
11/1992,80871.462027163
12/1992,81691.19102756173
01/1993,83999.0886674378
02/1993,87203.50796115803
03/1993,89416.16622279624
04/1993,84446.53397038463
05/1993,86799.69094781563
06/1993,89589.86929109204
07/1993,93267.86066623655
08/1993,97353.00171492367
09/1993,92539.96137661276
10/1993,95252.02686800032
11/1993,97128.98718185985
12/1993,98241.75955460555
01/1994,103175.45999884488
02/1994,99871.16362882711
03/1994,93554.61720257539
04/1994,95144.92524999921
05/1994,94633.3580978897
06/1994,90466.388557993
07/1994,90628.75319965235
08/1994,94294.85834699462
09/1994,91301.00095586326
10/1994,91605.56573352905
11/1994,89786.64771368203
12/1994,92963.0169133349
01/1995,93569.97362101273
02/1995,96191.05651536303
03/1995,94926.4113913066
04/1995,96029.43220586922
05/1995,101317.79487219187
06/1995,102939.65743090898
07/1995,105194.40284708908
08/1995,108382.7512665854
09/1995,114692.63175492294
10/1995,112848.53083231945
11/1995,118058.6078243809
12/1995,121734.3474252196
01/1996,127601.5907198873
02/1996,129663.53489090253
03/1996,130885.58723767233
04/1996,133946.18586131016
05/1996,139183.13620774262
06/1996,138909.22767504695
07/1996,130770.45157960823
08/1996,132479.21017072073
09/1996,141105.47848018992
10/1996,145153.68083923732
11/1996,154111.0063127692
12/1996,154527.26805663147
01/1997,169592.35853752983
02/1997,178219.90136758305
03/1997,172204.31280482767
04/1997,184534.314247154
05/1997,194375.43962625245
06/1997,205500.56781882278
07/1997,227902.87751698343
08/1997,220467.39256211653
09/1997,225874.95373246082
10/1997,215707.78169827265
11/1997,221479.63232805443
12/1997,230798.46268609655
01/1998,239128.4278676673
02/1998,255318.48366303483
03/1998,269521.78880760534
04/1998,270803.73397368443
05/1998,261295.02709610606
06/1998,274475.16012948443
07/1998,272368.0206532299
08/1998,233464.6919835911
09/1998,237173.83609737942
10/1998,246060.74598322168
11/1998,270343.76069122675
12/1998,284433.2686926979
01/1999,306351.34298534266
02/1999,307613.2459468376
03/1999,328561.7896579459
04/1999,345024.562549386
05/1999,341453.7997025816
06/1999,364194.8104677298
07/1999,340238.2179488757
08/1999,341874.190502641
09/1999,328776.3307963554
10/1999,357301.79760535166
11/1999,377742.32573045924
12/1999,406041.64241973346
01/2000,394199.701986849
02/2000,387779.84823847533
03/2000,433579.355974211
04/2000,441056.98093236383
05/2000,419218.9849061135
06/2000,417804.9323506569
07/2000,424126.52921855956
08/2000,462955.4657376332
09/2000,444696.51667330344
10/2000,459671.58448501234
11/2000,410232.3154433081
12/2000,382151.5700230714
01/2001,396532.26904294855
02/2001,362745.9501120653
03/2001,355517.90895852854
04/2001,381219.95866243285
05/2001,401318.68174602673
06/2001,392024.1673829178
07/2001,376061.58238454314
08/2001,335534.4475024128
09/2001,310707.07635535626
10/2001,318274.13705921575
11/2001,348264.05895111436
12/2001,353761.66868745204
01/2002,355782.77150879224
02/2002,348173.42297983234
03/2002,358038.56284261355
04/2002,324162.7140264999
05/2002,308671.7015359785
06/2002,268254.5234864941
07/2002,253782.6803375532
08/2002,253624.40489347858
09/2002,224319.16101456934
10/2002,244534.83975390252
11/2002,257541.85214440367
12/2002,228996.07452951348
01/2003,216605.65942039987
02/2003,213921.96307338102
03/2003,213615.9401683871
04/2003,226496.93896507786
05/2003,224638.370858877
06/2003,235222.32236152788
07/2003,241833.02569177124
08/2003,255120.11984919608
09/2003,236414.3162228716
10/2003,250489.5742214181
11/2003,245001.6380888771
12/2003,244686.78624092485
01/2004,254001.09879217608
02/2004,256309.2797639852
03/2004,256171.13308533616
04/2004,258015.85795559062
05/2004,255997.16705499098
06/2004,261685.62025372975
07/2004,255139.2049133919
08/2004,254850.83933486513
09/2004,251391.71054369464
10/2004,248594.23631799762
11/2004,247885.8136256806
12/2004,250366.26289481492
01/2005,255075.90776365186
02/2005,255964.89929266993
03/2005,257499.15081911598
04/2005,252912.4613485329
05/2005,274370.06388616527
06/2005,280418.753631435
07/2005,290854.021544183
08/2005,285592.85916563106
09/2005,291693.0289581518
10/2005,287280.9138982465
11/2005,305260.7759982078
12/2005,304623.3581734195
01/2006,304564.5621056239
02/2006,311028.52801515476
03/2006,308972.18755745294
04/2006,302148.44580412906
05/2006,285582.45814587956
06/2006,289310.0539656825
07/2006,288968.7524051851
08/2006,293935.3880976259
09/2006,305885.0747973868
10/2006,315357.1263194401
11/2006,309248.4629235221
12/2006,313632.30687193247
01/2007,324554.3468967888
02/2007,312330.79416902165
03/2007,313086.49927823065
04/2007,319533.37752321013
05/2007,334372.13492301124
06/2007,327423.43266016204
07/2007,312522.7151055167
08/2007,317228.72061168717
09/2007,318175.3955020493
10/2007,317448.1401916933
11/2007,297493.13097415096
12/2007,296516.4544679643
01/2008,275648.41233328485
02/2008,261773.0363987881
03/2008,250097.83269216295
04/2008,267002.5836968581
05/2008,271749.24129021383
06/2008,245471.93266667018
07/2008,244975.302626893
08/2008,263026.5775772468
09/2008,246043.58460747372
10/2008,228616.83894310036
11/2008,212184.63848242306
12/2008,196499.0078066352
01/2009,195942.51582720364
02/2009,178198.8059952886
03/2009,183766.3931604604
04/2009,201861.35119369105
05/2009,200479.62003531863
06/2009,200366.42856571576
07/2009,215353.34989129085
08/2009,220691.79148248857
09/2009,223383.18491514848
10/2009,216671.04849288816
11/2009,226094.39315281645
12/2009,240572.6226300471
01/2010,239380.5580073752
02/2010,253903.67595280553
03/2010,270855.8159778375
04/2010,278510.8765097844
05/2010,276950.853155124
06/2010,262916.85098711564
07/2010,264875.0756315074
08/2010,259983.21252060556
09/2010,263432.44245761284
10/2010,269604.37584735494
11/2010,287668.006908082
12/2010,298466.7361006215
01/2011,298174.7551237491
02/2011,304926.25756308186
03/2011,297190.09367268125
04/2011,292743.09834664175
05/2011,299051.0998874222
06/2011,292515.0643060608
07/2011,290619.03431423253
08/2011,270854.5068221961
09/2011,268928.5982670683
10/2011,287784.33444837894
11/2011,299385.73620574304
12/2011,313326.13337275776
01/2012,322094.3333170785
02/2012,329517.85876851506
03/2012,342194.48978882335
04/2012,343692.6861941496
05/2012,343574.59420303477
06/2012,351760.823390197
07/2012,365314.1213680635
08/2012,364093.3726890703
09/2012,364065.66080059105
10/2012,355662.0026590853
11/2012,358073.7553037821
12/2012,355680.4850988817
01/2013,364564.86494831654
02/2013,380989.8259065124
03/2013,405218.6759358715
04/2013,404680.9680651005
05/2013,415194.0422902386
06/2013,407226.5921165584
07/2013,422244.0000305546
08/2013,411720.3002654895
09/2013,416740.156621945
10/2013,430788.5166349068
11/2013,443933.5546379939
12/2013,449784.1036517562
