Data,IE00B53L4350
02/1990,9999.999999999998
03/1990,10493.022368451428
04/1990,10181.171664707332
05/1990,10911.916883646158
06/1990,11006.662949596395
07/1990,10779.754435270577
08/1990,9330.427826732468
09/1990,8774.444186548408
10/1990,8489.982220089983
11/1990,8787.137096667278
12/1990,9160.199019274365
01/1991,9554.796599409492
02/1991,9953.179309311228
03/1991,10962.13120111991
04/1991,11464.199491744917
05/1991,12235.786536044594
06/1991,12199.284906206674
07/1991,12720.564372462173
08/1991,12583.215398713775
09/1991,12141.665165056473
10/1991,12344.730102399566
11/1991,11261.85926966324
12/1991,11954.48335343258
01/1992,12255.49092888666
02/1992,12749.510804812133
03/1992,12980.46340029303
04/1992,13368.707911762356
05/1992,13314.09618627517
06/1992,12649.00857492306
07/1992,12329.524761236846
08/1992,11591.988572965152
09/1992,11928.285673908405
10/1992,12261.624465824616
11/1992,13451.223131206605
12/1992,13443.944472238376
01/1993,13748.933504015276
02/1993,14415.30284039628
03/1993,14785.560818853315
04/1993,14253.931442234642
05/1993,14773.200613077226
06/1993,15177.455105905787
07/1993,15932.957951783388
08/1993,16633.893007658753
09/1993,15573.1674498667
10/1993,16315.91772309181
11/1993,16842.16606506246
12/1993,17177.860135518014
01/1994,18462.458134677803
02/1994,17779.74010479273
03/1994,16544.711846882168
04/1994,16808.456342272315
05/1994,16858.787060503786
06/1994,16020.177384020622
07/1994,16132.09401135123
08/1994,16858.675087894895
09/1994,16404.405802011424
10/1994,16374.077762543104
11/1994,15964.376094220916
12/1994,16735.29993589956
01/1995,16444.147403281197
02/1995,17036.9880993336
03/1995,17002.2595467557
04/1995,17338.894355870074
05/1995,18262.86030702724
06/1995,18506.613302765465
07/1995,18910.30538163584
08/1995,19144.2321165162
09/1995,20172.263694819645
10/1995,19726.322057164907
11/1995,21170.420781388297
12/1995,21717.65407551323
01/1996,23187.283475931235
02/1996,23781.112905913298
03/1996,24239.015849036237
04/1996,24373.652487889318
05/1996,25077.64336902305
06/1996,24960.637512675283
07/1996,24052.172265159144
08/1996,24275.368123384127
09/1996,25676.33662317339
10/1996,26414.307654851164
11/1996,28273.826544630563
12/1996,28602.653809985557
01/1997,31048.530091158776
02/1997,32795.02558264785
03/1997,31798.761413658805
04/1997,34052.976259346324
05/1997,35589.19544958395
06/1997,37698.931298673815
07/1997,41539.022365181474
08/1997,39690.41684756929
09/1997,40327.58889935208
10/1997,37095.45613635113
11/1997,38285.57804692175
12/1997,39793.29574119947
01/1998,40701.82071216614
02/1998,43998.657625913875
03/1998,45520.01684250278
04/1998,46573.96460859393
05/1998,45132.693303862354
06/1998,45770.279449175265
07/1998,45535.456795409795
