Data,IE00B53QDK08
12/1978,10000
01/1979,10100.714635179822
02/1979,9754.726043299168
03/1979,9401.129779932984
04/1979,9207.52710936355
05/1979,9446.941457553969
06/1979,9394.90329929848
07/1979,9028.561633705604
08/1979,9086.50987239516
09/1979,9155.513277412363
10/1979,8478.440716583078
11/1979,8102.63087556935
12/1979,8418.003463523115
01/1980,8497.431289546894
02/1980,8238.266120034476
03/1980,8428.142683747768
04/1980,9220.526314724853
05/1980,9341.992709256525
06/1980,9559.843170122098
07/1980,8968.155515468778
08/1980,9750.012280842107
09/1980,10362.476128630728
10/1980,10876.544017846532
11/1980,10891.338163034527
12/1980,12017.846213983315
01/1981,12286.005287357239
02/1981,12929.298277182235
03/1981,13706.062367109676
04/1981,15087.483011186683
05/1981,15590.465161227603
06/1981,16750.73041202138
07/1981,16617.84810405778
08/1981,17722.450867632317
09/1981,15311.1041430184
10/1981,14835.970084339599
11/1981,16006.229527799873
12/1981,16481.544201139102
01/1982,16445.402528111368
02/1982,15632.773639495608
03/1982,14381.662154319616
04/1982,15896.558210272306
05/1982,14758.145915372907
06/1982,14666.409729096837
07/1982,14416.75465774585
08/1982,14580.40744719219
09/1982,14147.269398057864
10/1982,14362.018532869852
11/1982,17300.86672406102
12/1982,18464.9904443047
01/1983,17567.318910169775
02/1983,18176.297290354505
03/1983,18991.64545064983
04/1983,19664.193998806248
05/1983,19822.445202367875
06/1983,21069.39498646526
07/1983,21520.666627750787
08/1983,21933.424548671093
09/1983,23668.437897129428
10/1983,23153.41319674604
11/1983,24054.2112409323
12/1983,26552.584358846732
01/1984,28406.277315619773
02/1984,27439.32043011844
03/1984,31223.804262724898
04/1984,31068.258667242175
05/1984,28245.85824779838
06/1984,28359.396569399963
07/1984,27338.223545483623
08/1984,30003.591768007474
09/1984,31273.060464596823
10/1984,33397.81500931229
11/1984,32729.87171307888
12/1984,35311.92007821818
01/1985,35976.13191549507
02/1985,38524.93423526926
03/1985,40798.671055849496
04/1985,36662.51774923942
05/1985,38191.67073292696
06/1985,39204.564802293986
07/1985,37465.060935404756
08/1985,37034.27908182481
09/1985,41614.10273277657
10/1985,40273.59219861868
11/1985,40069.07384068582
12/1985,41423.51106960171
01/1986,41676.64299265934
02/1986,44846.38041280586
03/1986,52952.526569923044
04/1986,55239.41510942351
05/1986,53901.7005180305
06/1986,59599.80705340397
07/1986,65484.98669400052
08/1986,69276.63154108978
09/1986,70429.91124022081
10/1986,60335.76672349443
11/1986,64978.62841797112
12/1986,68742.18006245476
01/1987,74992.51614350641
02/1987,74968.69915936411
03/1987,83025.17770544821
04/1987,94812.80334008488
05/1987,93467.25862905344
06/1987,88068.90009145977
07/1987,86188.62819490265
08/1987,97658.96786191204
09/1987,91721.90830951766
10/1987,84197.95504263451
11/1987,82246.35941950716
12/1987,80756.52490133319
01/1988,85976.40793950233
02/1988,95116.74538999908
03/1988,100869.09824103073
04/1988,101277.94798193617
05/1988,97622.24461489817
06/1988,97400.60077258672
07/1988,106967.40146411529
08/1988,101067.77127727783
09/1988,104619.77680506285
10/1988,110510.92868830686
11/1988,115527.2928883604
12/1988,116271.10333400426
01/1989,121195.11962600109
02/1989,125026.6832677969
03/1989,121419.48436802656
04/1989,121849.7300059385
05/1989,119839.53353651348
06/1989,116489.66202430711
07/1989,126144.96633961382
08/1989,119209.77972296564
09/1989,128706.3836557627
10/1989,120565.6663625528
11/1989,124855.9823531763
12/1989,119451.65733539556
01/1990,108931.46859823736
02/1990,96334.96328046791
03/1990,78978.51376133665
04/1990,78921.66265387238
05/1990,88715.22163340148
06/1990,85111.98262438914
07/1990,81396.36056382548
08/1990,70211.9344396443
09/1990,58791.840821667705
10/1990,70882.12685903074
11/1990,61103.72937363522
12/1990,64708.35313178725
01/1991,66688.08983508445
02/1991,73823.02821494808
03/1991,75327.37837286443
04/1991,81288.91692868863
05/1991,81965.72206974812
06/1991,78871.56689795927
07/1991,81384.34225199194
08/1991,75164.90580775027
09/1991,79444.44542882412
10/1991,82735.61902012593
11/1991,73983.4343152197
12/1991,73869.97642627198
01/1992,70914.14505833332
02/1992,66399.52997935984
03/1992,60757.37579772183
04/1992,56478.46311227757
05/1992,59808.00945741858
06/1992,52760.62063294117
07/1992,49654.5190522952
08/1992,56957.60190566973
09/1992,56853.639452539675
10/1992,56445.78441592427
11/1992,61674.93384800792
12/1992,60699.28891570194
01/1993,61658.66094575629
02/1993,65906.16510588494
03/1993,75521.36263769444
04/1993,85888.06873009265
05/1993,88436.9120875838
06/1993,89719.97648896901
07/1993,99412.56645004687
08/1993,102317.18515930393
09/1993,93537.97008860222
10/1993,94167.7319932183
11/1993,80610.48069410934
12/1993,83097.71101270174
01/1994,97789.34003108376
02/1994,101827.867266877
03/1994,95415.77390343121
04/1994,99733.0290265098
05/1994,99686.01183861728
06/1994,102863.96781072213
07/1994,96072.17175379263
08/1994,96799.04503619162
09/1994,93359.07690811637
10/1994,94048.48123170952
11/1994,90606.29322680547
12/1994,93484.28768776498
01/1995,86195.57626109949
02/1995,81100.29097498154
03/1995,85089.12666598543
04/1995,87500.08609869119
05/1995,83306.31436259816
06/1995,78630.30383985031
07/1995,83870.64133338013
08/1995,82902.71120167084
09/1995,84645.40697739819
10/1995,78634.14349299792
11/1995,83436.95612509789
12/1995,89058.23311521998
01/1996,88919.3132619522
02/1996,87802.4811340376
03/1996,90808.02516778867
04/1996,96752.91843691403
05/1996,92848.18369059292
06/1996,92578.39050504907
07/1996,87051.95778266019
08/1996,82372.50304898605
09/1996,85932.20692166222
10/1996,80381.77060610594
11/1996,80831.49757136588
12/1996,76877.13512436117
01/1997,70342.20860097113
02/1997,75093.46691290861
03/1997,73432.43345491019
04/1997,76480.36957600126
05/1997,84636.43462018594
06/1997,91949.84551699262
07/1997,91592.15363487265
08/1997,85997.8354752929
09/1997,82441.93196799968
10/1997,73372.42908920845
11/1997,67422.41910927108
12/1997,65252.50122759779
01/1998,72683.12180445269
02/1998,72871.74559658478
03/1998,68135.308976456
04/1998,67372.51259194434
05/1998,62673.070058342004
06/1998,63989.834966365575
07/1998,63271.18497609244
08/1998,55802.30202246463
09/1998,51724.39209655143
10/1998,58146.748682664416
11/1998,62541.60229094306
12/1998,64522.380799009305
01/1999,67088.23306494468
02/1999,67768.85709886253
03/1999,79124.41047681042
04/1999,83523.70138034463
05/1999,79846.18913260395
06/1999,88455.52823075582
07/1999,93922.06034267497
08/1999,94295.85817264325
09/1999,99117.05711494363
10/1999,105422.89676735485
11/1999,113777.41032365766
12/1999,121406.54144853563
01/2000,119124.73894639558
02/2000,116908.50766232121
03/2000,128635.20059592629
04/2000,125039.08564843288
05/2000,115843.75937377158
06/2000,120483.64862840672
07/2000,110170.55973035572
08/2000,121697.94985364357
09/2000,117462.9062557877
10/2000,115178.91766896099
11/2000,106953.19309347696
12/2000,93702.09292044684
01/2001,92669.60213004478
02/2001,88895.03675939432
03/2001,90283.3587775654
04/2001,95903.04980511198
05/2001,100102.50835568449
06/2001,94100.20705008403
07/2001,84315.76966459761
08/2001,78555.22672469071
09/2001,71395.13344706464
10/2001,71920.83694453577
11/2001,73848.9887358735
12/2001,69499.65189158848
01/2002,65336.70157363385
02/2002,67912.11798799814
03/2002,71178.76147114408
04/2002,72919.23461967577
05/2002,74307.93011880499
06/2002,66253.96533183771
07/2002,62835.03778114496
08/2002,61826.57037247912
09/2002,58876.877380426085
10/2002,54733.12119153631
11/2002,56563.245796769916
12/2002,52143.61429425322
01/2003,48487.370732541436
02/2003,48905.3109903223
03/2003,46188.38850045554
04/2003,44837.30333382052
05/2003,44245.657724167846
06/2003,49132.438764825645
07/2003,51599.172287297406
08/2003,59056.7468393391
09/2003,58642.37736172179
10/2003,61461.17860291632
11/2003,57691.81312507412
12/2003,58562.229297929596
01/2004,60782.67754711769
02/2004,60413.91964297445
03/2004,69589.21583096456
04/2004,67314.4648998547
05/2004,63587.44332755512
06/2004,67223.57510717373
07/2004,63820.9761011745
08/2004,63875.57816819101
09/2004,60853.64975294735
10/2004,60810.35205831477
11/2004,61045.395451135446
12/2004,62616.01736550067
01/2005,63886.46974956461
02/2005,64085.33605702305
03/2005,64152.08024931916
04/2005,62509.60680372928
05/2005,65059.5684043253
06/2005,66253.54381182356
07/2005,66881.47635021475
08/2005,70892.36645584869
09/2005,79201.94167378236
10/2005,78344.05390090725
11/2005,83419.84369305438
12/2005,90325.550120654
01/2006,92330.38983117609
02/2006,93383.6723026842
03/2006,93890.30363170669
04/2006,93246.73894119122
05/2006,85160.82756755203
06/2006,85209.26784563105
07/2006,84345.16963127765
08/2006,85017.60289589899
09/2006,84851.21533174733
10/2006,86049.47622881502
11/2006,83316.20639025167
12/2006,85547.6787149726
01/2007,87675.63395624633
02/2007,89393.25907838024
03/2007,87467.17421449035
04/2007,83920.57635767374
05/2007,86220.17177694596
06/2007,85596.21762685185
07/2007,84163.32344618386
08/2007,81669.17984926396
09/2007,80727.38793063154
10/2007,78895.1915809006
11/2007,75770.04625224497
12/2007,72938.4162428124
01/2008,68878.2744091644
02/2008,67967.10638787548
03/2008,62523.05696254869
04/2008,68214.57495777475
05/2008,70048.5254495316
06/2008,64185.260569592836
07/2008,62579.70915658382
08/2008,63637.53686161904
09/2008,58184.924914198506
10/2008,55569.579801835986
11/2008,54984.38499338399
12/2008,54347.019262822
01/2009,54982.95847111799
02/2009,48808.223298027144
03/2009,47327.09145547192
04/2009,51992.7231907913
05/2009,53980.093718575445
06/2009,54767.88356319883
07/2009,57072.129879264205
08/2009,58738.17644603965
09/2009,56240.50082893877
10/2009,54225.93028763804
11/2009,52851.57380135335
12/2009,55519.09238909171
01/2010,58333.08460388813
02/2010,60683.90709892144
03/2010,64120.426493284
04/2010,64783.057453972346
05/2010,64395.24150677801
06/2010,63262.519350635346
07/2010,61682.505872625894
08/2010,61902.98962745023
