Data,IE00B53SZB19
07/2007,10000
08/2007,10298.029819004563
09/2007,10462.450562039508
10/2007,10990.598463693308
11/2007,10042.453353223053
12/2007,10049.869758307867
01/2008,8789.082076195182
02/2008,8172.061518877914
03/2008,8001.729513709966
04/2008,8756.93685161998
05/2008,9301.200699677205
06/2008,8272.50500269759
07/2008,8406.159793593237
08/2008,9021.245179287418
09/2008,7921.008216493146
10/2008,7443.129657974081
11/2008,6638.98001656583
12/2008,6200.23555510083
01/2009,6558.677472765991
02/2009,6300.842983891493
03/2009,6621.539219455131
04/2009,7471.837325959209
05/2009,7245.7418248999
06/2009,7434.011794408017
07/2009,8058.350230980975
08/2009,8094.208228985958
09/2009,8338.461159411314
10/2009,8002.781805629385
11/2009,8357.238743896627
12/2009,9165.522296647863
01/2010,8853.20626068238
02/2010,9518.88127539343
03/2010,10309.31304340718
04/2010,10659.272543157169
05/2010,10692.791402256504
06/2010,10077.357296414682
07/2010,10162.661605869687
08/2010,9913.2358536086
09/2010,10393.767010100164
10/2010,10875.313299774713
11/2010,11566.945264925507
12/2010,11777.002183125434
01/2011,11818.837189186179
02/2011,12052.147049599771
03/2011,11675.548062528313
04/2011,11468.95068876704
05/2011,11793.662437926063
06/2011,11509.703930781132
07/2011,11850.38927873323
08/2011,11115.59150999008
09/2011,11367.945258054073
10/2011,12076.680953571225
11/2011,12269.219280716798
12/2011,12627.108618504288
01/2012,13434.405007168845
02/2012,14008.731224981078
03/2012,14809.288811429655
04/2012,14797.86865148525
05/2012,14628.910667934582
06/2012,14934.086929702626
07/2012,15462.52127414449
08/2012,15821.110542441136
09/2012,15582.96666330352
10/2012,14769.332838762166
11/2012,14871.591964803569
12/2012,14551.027781346125
01/2013,14541.829724676134
02/2013,15067.143769085407
03/2013,15903.243801479268
04/2013,15960.095992659071
05/2013,16587.20023093591
06/2013,16100.016685804247
07/2013,16852.39450679445
08/2013,16838.034301533324
09/2013,17277.798558752704
10/2013,17955.289160775035
11/2013,18611.639362803668
12/2013,18918.345726956122
01/2014,18927.098873347495
02/2014,19459.457502406298
03/2014,18967.8691654505
04/2014,18813.19919482485
05/2014,20002.444106087674
06/2014,20533.1635990217
07/2014,21197.548401803848
08/2014,22581.119252509452
09/2014,23478.657035575685
10/2014,24220.397321325763
11/2014,25375.70847344157
12/2014,25477.987377478723
01/2015,26796.895726730294
02/2015,28876.79280574236
03/2015,29450.09946862967
04/2015,28775.389009187806
05/2015,30074.625687327876
06/2015,28763.878823241695
07/2015,30631.13748221179
08/2015,27932.8684545718
09/2015,27352.069244088903
10/2015,30928.74413209262
11/2015,32358.59020487401
12/2015,30963.789227054065
01/2016,28760.595133909494
02/2016,28356.80207624932
03/2016,28941.680129120912
04/2016,27981.265998434945
05/2016,29850.803582002278
06/2016,29287.66845384779
07/2016,31332.08462553395
08/2016,31586.96551051099
09/2016,32196.59683639286
10/2016,32328.513054542793
11/2016,33385.39249513499
12/2016,34055.03381660472
01/2017,35114.87277776066
02/2017,37164.92548580085
03/2017,37575.463594204484
04/2017,37751.78595011626
05/2017,38161.09690613935
06/2017,36606.32995979988
07/2017,37094.77131632476
08/2017,37503.99311743813
09/2017,37506.23449187688
10/2017,39763.751282233214
11/2017,39828.144471664156
12/2017,39538.49749794916
01/2018,41361.50164039674
02/2018,41639.966262175985
03/2018,39636.048883024705
04/2018,40580.41290346798
05/2018,44241.656295826186
06/2018,44864.21212436419
07/2018,45777.69456051931
08/2018,48845.37213911504
09/2018,48996.67646903596
10/2018,45774.34949840858
11/2018,45537.1111533661
12/2018,41157.812031633424
01/2019,44761.54684886108
02/2019,46325.413961889295
03/2019,48946.23980648133
04/2019,51695.86433676242
05/2019,47680.05700925009
06/2019,50292.03584190183
07/2019,52516.745285718236
08/2019,52038.11494029886
09/2019,53151.99945629151
10/2019,54133.511816336744
11/2019,57198.09656306483
12/2019,58117.7423108432
01/2020,60826.08733288844
02/2020,57666.294495122216
03/2020,53370.41641270855
04/2020,61931.22153346818
05/2020,64258.94666522878
06/2020,67940.32331949173
07/2020,68944.58003208294
08/2020,76011.89286769903
09/2020,73090.35475051505
10/2020,70812.08227912526
11/2020,76781.6493071944
12/2020,78746.67448285886
01/2021,79849.19614473419
02/2021,79875.02948004456
03/2021,83751.22062382766
04/2021,86052.16522227171
05/2021,84172.77574462497
06/2021,91910.6385423088
07/2021,94409.58335193229
08/2021,98846.29869378156
09/2021,95238.39922628267
10/2021,102179.83108800472
11/2021,106633.95707195303
12/2021,108208.81062468275
01/2022,100492.99137643455
02/2022,95500.1807855121
03/2022,100424.16691818599
04/2022,91621.47970832595
05/2022,88700.58722544808
06/2022,83260.57003544374
07/2022,95456.21638531072
08/2022,92312.83420070201
09/2022,84670.64893173998
10/2022,86553.53495203533
11/2022,87290.42650490177
12/2022,77224.41231682128
01/2023,84113.41476589303
02/2023,85434.5572292624
03/2023,91338.1232244686
04/2023,90892.98448278925
05/2023,100595.15798616505
06/2023,105332.21426935251
07/2023,107779.50009532848
08/2023,107605.32624423003
09/2023,104798.7225556944
10/2023,102381.88110902792
11/2023,110148.6717408097
12/2023,114947.44491857689
01/2024,119376.06456242412
02/2024,125884.77416814644
03/2024,127552.33531298143
04/2024,122913.15635009465
