Data,IE00B5M4WH52
06/2011,10000
07/2011,10250.014252233088
08/2011,10118.46096065355
09/2011,9585.289252146833
10/2011,9814.987266992988
11/2011,9808.638022571873
12/2011,10004.875857318224
01/2012,10599.992951357382
02/2012,10692.598295091233
03/2012,10525.467290946557
04/2012,10682.934023935388
05/2012,10507.277570821558
06/2012,10997.647103136187
07/2012,11531.456538392744
08/2012,11182.070808693383
09/2012,11208.069339037358
10/2012,11120.670362205285
11/2012,11260.850876616516
12/2012,11347.746293979175
01/2013,11051.486501273159
02/2013,11365.095521173771
03/2013,11614.761880394522
04/2013,11885.021848219512
05/2013,11049.219386814217
06/2013,10522.908186209528
07/2013,10297.272052862812
08/2013,9879.74268558014
09/2013,10063.07729662566
10/2013,10267.746450502853
11/2013,9856.001464401661
12/2013,9660.723014317
01/2014,9415.356131137987
02/2014,9598.911426696857
03/2014,9864.951034234951
04/2014,9906.439672807255
05/2014,10287.831429589367
06/2014,10339.60483342317
07/2014,10446.483207669771
08/2014,10649.66714623744
09/2014,10602.71854600984
10/2014,10813.493910603755
11/2014,10759.87072575113
12/2014,10411.979670195225
01/2015,11202.49340794994
02/2015,11174.379120416655
03/2015,11356.466320713002
04/2015,11183.667432365075
05/2015,11152.68200008512
06/2015,10801.682044378957
07/2015,10698.50044991706
08/2015,9894.960701172637
09/2015,9574.108432277633
10/2015,10182.346855143176
11/2015,10391.281668153446
12/2015,9877.55920081964
01/2016,9868.808949902568
02/2016,10032.90328949777
03/2016,10478.667579348603
04/2016,10749.91858506592
05/2016,10373.694701703258
06/2016,11028.554720146736
07/2016,11080.476742482717
08/2016,11062.496244310663
09/2016,11237.41020979993
10/2016,11363.828619607666
11/2016,10849.234470380488
12/2016,11130.075002008542
01/2017,11156.16299161603
02/2017,11535.327309779139
03/2017,11689.007000937601
04/2017,11549.043461650728
05/2017,11459.288699423332
06/2017,11322.412361409075
07/2017,11236.980231882524
08/2017,11330.770704818939
09/2017,11301.215966113232
10/2017,11137.419992729825
11/2017,11122.866049760567
12/2017,11209.202204774763
01/2018,11271.584226432078
02/2018,11371.722095704408
03/2018,11392.025637020077
04/2018,11265.753505336008
05/2018,11037.277469811695
06/2018,10737.216467667908
07/2018,10882.650792996299
08/2018,10269.021394648398
09/2018,10600.014690163916
10/2018,10642.780383918547
11/2018,10907.276372887865
12/2018,10953.875379527997
01/2019,11517.036160384583
02/2019,11442.743292054376
03/2019,11458.826569800302
04/2019,11449.441708532493
05/2019,11534.855125914673
06/2019,11933.933249655433
07/2019,12278.674711979162
08/2019,12025.850812411525
09/2019,12295.565158050582
10/2019,12332.331133299034
11/2019,12285.317010778064
12/2019,12504.871070863876
01/2020,12535.28384761427
02/2020,12181.425751705185
03/2020,10837.042921099406
04/2020,11338.915644837152
05/2020,11645.136133451853
06/2020,11627.259865334647
07/2020,11322.703888652324
08/2020,11181.175511605796
09/2020,11166.869082647541
10/2020,11218.100569256478
11/2020,11564.109011497378
12/2020,11694.494692811504
01/2021,11686.191620580108
02/2021,11378.123285434503
03/2021,11384.439764851528
04/2021,11291.828762348712
05/2021,11458.37634469451
06/2021,11617.018763136786
07/2021,11545.186322286143
08/2021,11676.607014638583
09/2021,11499.899197035193
10/2021,11270.542244662052
11/2021,11188.406291958121
12/2021,11379.547223575075
01/2022,11581.177624623231
02/2022,11010.7821434276
03/2022,10941.108286113258
04/2022,10854.19036510615
05/2022,10836.39495362451
06/2022,10678.494291008217
07/2022,10879.548126085372
08/2022,11124.034423752124
09/2022,10865.212938605287
10/2022,10577.843212235419
11/2022,10823.844294659955
12/2022,10752.497945920204
01/2023,11037.050233254775
02/2023,10896.754443524542
03/2023,11076.049530567936
04/2023,11057.40190749062
05/2023,11179.558097107343
06/2023,11346.47868680783
07/2023,11503.97673114302
08/2023,11347.756413669704
09/2023,11242.629580469511
10/2023,11151.282362003643
11/2023,11397.53404910993
12/2023,11629.103159717728
01/2024,11667.134029510817
02/2024,11601.739559856993
03/2024,11604.785844836464
04/2024,11446.62781826867
