Data,IE00B5VX7566
12/1978,10000
01/1979,10103.131301846488
02/1979,9759.501519838426
03/1979,9408.09069779503
04/1979,9216.618299108728
05/1979,9458.496386062596
06/1979,9408.680381166607
07/1979,9044.075261152131
08/1979,9104.308722858868
09/1979,9175.647501167452
10/1979,8499.303413478172
11/1979,8124.6228244751155
12/1979,8442.814838978638
01/1980,8524.517118930897
02/1980,8266.585943929904
03/1980,8459.112984672956
04/1980,9256.452617477487
05/1980,9380.629262393848
06/1980,9601.647693194158
07/1980,9009.693028156644
08/1980,9797.348436429213
09/1980,10415.15347906159
10/1980,10934.351613084113
11/1980,10951.86685577879
12/1980,12087.282184745483
01/1981,12359.911704271886
02/1981,13010.061399231454
03/1981,13794.821659860021
04/1981,15188.522014961061
05/1981,15698.543133607853
06/1981,16870.64551998571
07/1981,16740.889006989062
08/1981,17857.71612084516
09/1981,15432.280591180981
10/1981,14957.115653762312
11/1981,16140.545680696383
12/1981,16623.749585361384
01/1982,16591.3134823814
02/1982,15775.484154843627
03/1982,14516.763767640447
04/1982,16049.399004446352
05/1982,14903.919810446445
06/1982,14814.879278691833
07/1982,14566.277186286492
08/1982,14735.147474729454
09/1982,14300.9735800153
10/1982,14521.51194323207
11/1982,17496.50606266294
12/1982,18678.022092785122
01/1983,17774.50792627338
02/1983,18394.96410552786
03/1983,19224.56662114752
04/1983,19910.009511856595
05/1983,20075.050546423376
06/1983,21342.742180687947
07/1983,21805.026296759406
08/1983,22228.50767230218
09/1983,23992.235054305074
10/1983,23475.96265820625
11/1983,24394.983048884533
12/1983,26934.6456364871
01/1984,28821.5203178599
02/1984,27847.39365597319
03/1984,31694.8895193115
04/1984,31544.656747337118
05/1984,28686.601167952555
06/1984,28808.843714891787
07/1984,27778.44901063027
08/1984,30493.450592837617
09/1984,31791.01473999249
10/1984,33958.642967131316
11/1984,33287.690002158895
12/1984,35921.78898608111
01/1985,36606.15346361285
02/1985,39208.437429893725
03/1985,41531.98989627451
04/1985,37331.529910137266
05/1985,38897.60843601082
06/1985,39938.6251706124
07/1985,38176.202929653235
08/1985,37746.47011821449
09/1985,42423.48854361038
10/1985,41067.157696028895
11/1985,40868.5339971526
12/1985,42259.87158748524
01/1986,42528.32716754368
02/1986,45773.11752228079
03/1986,54057.83661489854
04/1986,56405.524736247724
05/1986,55053.20218999457
06/1986,60886.34186149058
07/1986,66913.27450961152
08/1986,70803.78932769298
09/1986,71999.60323515869
10/1986,61697.88747655797
11/1986,66460.4752376545
12/1986,70325.91649168845
01/1987,76737.24816283201
02/1987,76731.4219016393
03/1987,84995.87410510014
04/1987,97083.83302211502
05/1987,95729.52070858255
06/1987,90223.63605838708
07/1987,88319.164572796
08/1987,100094.38864459113
09/1987,94033.46009066183
10/1987,86342.61485478574
11/1987,84362.17502678816
12/1987,82854.40153386234
01/1988,88229.90878243417
02/1988,97631.14299816986
03/1988,103559.15266987383
04/1988,104003.93272428481
05/1988,100274.96718055788
06/1988,100071.5336515539
07/1988,109924.86044186921
08/1988,103888.68111609372
09/1988,107564.93335710211
10/1988,113647.92220957448
11/1988,118834.14721371491
12/1988,119627.96674884
01/1989,124723.05442370396
02/1989,128696.29454485996
03/1989,125014.32370793147
04/1989,125487.51932648488
05/1989,123447.63515896254
06/1989,120026.73964998276
07/1989,130004.22288808
08/1989,122888.28009912689
09/1989,132707.62226186393
10/1989,124345.8964378002
11/1989,128800.7817586127
12/1989,123256.83504505169
01/1990,112431.30878640736
02/1990,99457.2634421264
03/1990,81562.31176501124
