Data,IE00B60SWX25
12/1986,10000
01/1987,9536.311835844896
02/1987,9339.598404034332
03/1987,9666.305927569865
04/1987,9799.546178328781
05/1987,9631.935570207539
06/1987,10064.128527209421
07/1987,10638.98692707033
08/1987,10591.061476329001
09/1987,10381.18539055506
10/1987,8154.002557330389
11/1987,7344.215648207649
12/1987,7235.789502259726
01/1988,7106.8677703332005
02/1988,7928.215085953942
03/1988,7859.16849297248
04/1988,7970.17407061787
05/1988,8025.630465014406
06/1988,8617.201064678982
07/1988,8896.880238942733
08/1988,8691.396647234278
09/1988,9257.400208728108
10/1988,9592.91993539613
11/1988,9489.044642102479
12/1988,9872.474115280309
01/1989,10100.982137578567
02/1989,9785.452850374333
03/1989,10160.128481147185
04/1989,10377.294438115783
05/1989,10686.963824566712
06/1989,11092.354175653089
07/1989,11670.072806340388
08/1989,12142.940928529119
09/1989,12104.314832513543
10/1989,11380.923907939237
11/1989,12010.309047611627
12/1989,12897.759767147629
01/1990,12574.558001079977
02/1990,12327.111404789011
03/1990,13125.803656498105
04/1990,12821.128479744131
05/1990,13240.769888862747
06/1990,13337.28291116553
07/1990,13386.126373952993
08/1990,11539.009490684068
09/1990,10172.106240219446
10/1990,10705.939501307064
11/1990,10512.026789963535
12/1990,10349.649571724536
01/1991,10515.245541799684
02/1991,11575.20375325849
03/1991,11856.74692320272
04/1991,12118.663629833352
05/1991,12743.82459820138
06/1991,12277.691556123582
07/1991,12349.132426331096
08/1991,12549.580164359539
09/1991,12463.465727131796
10/1991,12424.741941055538
11/1991,12218.201578590679
12/1991,12402.497281824233
01/1992,12976.216135252618
02/1992,13437.402045373543
03/1992,13198.98129953338
04/1992,13535.36592356266
05/1992,13906.320165929026
06/1992,13388.289920460207
07/1992,12645.377902749608
08/1992,12176.421023018798
09/1992,12432.06361444563
10/1992,12590.114056516355
11/1992,13019.281116502014
12/1992,13307.213019753215
01/1993,13443.39007954771
02/1993,14542.339117606605
03/1993,14734.728660818217
04/1993,14425.483391212601
05/1993,14581.174512072253
06/1993,15241.032236743313
07/1993,16370.170404146304
08/1993,17516.815501939258
09/1993,17083.593090469054
10/1993,18070.880053379064
11/1993,17641.51137607712
12/1993,19095.950707668562
01/1994,19417.550992584376
02/1994,18611.900161980255
03/1994,18229.783029548802
