Data,IE00B60SX170
12/1978,10000
01/1979,10607.819347433475
02/1979,10295.741996102688
03/1979,10882.805777303038
04/1979,11008.88183154142
05/1979,10919.50898961219
06/1979,11211.576019070046
07/1979,10933.38612187252
08/1979,11512.959437205714
09/1979,11372.864873989773
10/1979,10691.965730485865
11/1979,11092.395602043445
12/1979,11022.298329946656
01/1980,11573.208620280684
02/1980,11564.310546768053
03/1980,11102.482597014741
04/1980,11724.82405212616
05/1980,11758.732391699086
06/1980,11964.008117311423
07/1980,12601.499956612024
08/1980,12941.697876471402
09/1980,13237.642248309397
10/1980,13914.864950752708
11/1980,15906.314529193101
12/1980,15838.290837997973
01/1981,15297.392897829404
02/1981,16687.048594485794
03/1981,17256.55457875073
04/1981,17388.487376271303
05/1981,18400.49625161071
06/1981,19068.39940732862
07/1981,19795.636685265552
08/1981,19173.83803552591
09/1981,17444.395847218962
10/1981,17769.681573683323
11/1981,18350.09703686103
12/1981,18111.439791194272
01/1982,18181.14187724678
02/1982,17818.129960643033
03/1982,18046.275872285285
04/1982,19130.15921270271
05/1982,17865.747941111713
06/1982,18666.976799862965
07/1982,18728.660714004505
08/1982,21164.168061977565
09/1982,21646.73594052186
10/1982,24346.347508128158
11/1982,25718.481719804782
12/1982,25107.3430946092
01/1983,25931.705040101388
02/1983,26973.354710293614
03/1983,28053.874235514762
04/1983,30699.42673392802
05/1983,30419.715702771267
06/1983,32573.14057599345
07/1983,31951.761284576638
08/1983,33668.7090290643
09/1983,34135.09611960528
10/1983,33201.88997412062
11/1983,34830.336341721144
12/1983,35525.39409023207
01/1984,35926.262973926634
02/1984,33388.3533742261
03/1984,32802.24114440399
04/1984,33736.88985111886
05/1984,33036.80682466064
06/1984,33741.82427354943
07/1984,34752.75674645009
08/1984,38970.99205859395
09/1984,40885.212814323044
10/1984,41850.27534281033
11/1984,40366.777550784835
12/1984,43028.69690310278
01/1985,47629.23639801262
02/1985,49999.682595344435
03/1985,50258.51999111683
04/1985,46687.72813434196
05/1985,49934.78701587496
06/1985,49793.70470433242
07/1985,47232.39379973506
08/1985,45206.149735121544
09/1985,44494.32883974435
10/1985,43664.2631335962
11/1985,45803.95046967771
12/1985,47036.618189343775
01/1986,46361.55187064413
02/1986,47917.57316982037
03/1986,49203.0108835566
04/1986,48779.53529176991
05/1986,50296.020591978224
06/1986,51162.93183505605
07/1986,47018.734788197995
08/1986,48984.66817584253
09/1986,44474.425958516535
10/1986,46481.73089922563
11/1986,48066.78200064802
12/1986,46194.198769763694
01/1987,49194.34157395472
02/1987,50066.53970875636
03/1987,51337.018398758824
04/1987,50214.66952131533
05/1987,49891.520347151745
06/1987,53420.85502301184
07/1987,56774.92565319578
08/1987,59475.437458329834
09/1987,56694.96610098218
10/1987,44342.73942312357
11/1987,38144.656033950036
12/1987,39593.24403851074
01/1988,41726.09808719152
02/1988,44732.56356053529
03/1988,42652.204993952
04/1988,42788.86982057432
05/1988,43583.76944165064
06/1988,47309.063611641344
07/1988,49540.93846374477
08/1988,48953.970988283756
09/1988,50676.16152043252
10/1988,50938.65389537848
11/1988,48167.616977515376
12/1988,49008.361369117556
01/1989,54827.85973908224
02/1989,53843.22808454516
03/1989,55423.938257569986
04/1989,58759.06374450363
05/1989,63647.85076865492
06/1989,64553.32038396189
07/1989,67397.73302951851
08/1989,69475.56068684494
09/1989,70390.63031797149
10/1989,66206.08543053841
11/1989,66607.28286703811
12/1989,65306.66433411736
01/1990,59280.866705390894
02/1990,59366.548227488485
03/1990,61837.74282348081
04/1990,59804.33314381752
05/1990,64268.77293357222
06/1990,64466.13063561331
07/1990,62427.282279516345
08/1990,54223.211017247275
09/1990,51796.642849994205
10/1990,50126.930090555594
11/1990,52365.515489908474
12/1990,54459.905127917336
01/1991,57201.90540473421
02/1991,60140.31210995377
03/1991,67057.12635811603
04/1991,70910.06257232945
05/1991,74846.43408612754
06/1991,74082.23768062537
07/1991,77653.40727051685
08/1991,77786.91181707289
09/1991,74357.62259543902
10/1991,75540.83032751783
11/1991,69777.4263765476
12/1991,75278.26697170713
01/1992,74544.52921232808
02/1992,77062.14456859336
03/1992,77662.6144312014
04/1992,79213.34290698035
05/1992,78015.92223496105
06/1992,74625.39005900445
07/1992,74039.01152597448
08/1992,70441.08144596605
09/1992,72850.9876546114
10/1992,76343.79648791009
11/1992,84048.41048064502
12/1992,84919.95294944085
01/1993,87338.88257120021
02/1993,90691.08827243371
03/1993,93013.3999091254
04/1993,87865.54129295256
05/1993,90334.47306785715
06/1993,93259.35511885629
07/1993,97109.75280678499
08/1993,101385.82803404197
09/1993,96397.06526955494
10/1993,99244.66342172424
11/1993,101223.45652863661
12/1993,102406.75659167295
01/1994,107573.51806643537
02/1994,104153.47001516554
03/1994,97590.38325018877
04/1994,99272.06521408082
05/1994,98761.4710882708
06/1994,94435.77361350201
07/1994,94627.29732681668
08/1994,98477.23087900702
09/1994,95373.56137396846
10/1994,95713.96535896223
11/1994,93835.80430862097
12/1994,97177.31495422366
01/1995,97834.46157368415
02/1995,100597.82938175251
03/1995,99298.7202656812
04/1995,100475.71590136766
05/1995,106032.38075548793
06/1995,107754.4537721757
07/1995,110139.80309598516
08/1995,113503.74146853897
09/1995,120138.2424974482
10/1995,118234.61584587271
11/1995,123720.94979349991
12/1995,127601.8539063584
01/1996,133781.667801077
02/1996,135974.69301633644
03/1996,137287.95416844607
04/1996,140530.29813142077
05/1996,146057.46068647187
06/1996,145804.10374896583
07/1996,137295.37363035165
08/1996,139121.42802206337
09/1996,148212.66022450937
10/1996,152499.3448490563
11/1996,161945.54895498182
12/1996,162420.759495693
01/1997,178293.29623574216
02/1997,187405.07700850588
03/1997,181123.18224861883
04/1997,194134.0457606982
05/1997,204532.41810432376
06/1997,216286.60779876434
07/1997,239915.2069530668
08/1997,232143.79187060962
09/1997,237891.91530953202
10/1997,227239.33919983366
11/1997,233372.77064677837
12/1997,243246.46246421264
01/1998,252082.45766411102
02/1998,269208.37800554483
03/1998,284247.18988212483
04/1998,285665.49883833557
05/1998,275701.6074460152
06/1998,289672.76147570607
07/1998,287516.54067531024
08/1998,246516.58022787573
09/1998,250490.60528792808
10/1998,259934.94267401085
11/1998,285647.81272502075
12/1998,300601.57328862586
01/1999,323835.69741229736
02/1999,325245.1824768966
03/1999,347470.35628903244
04/1999,364961.62994130544
05/1999,361269.6901084118
06/1999,385414.7463288614
07/1999,360152.24481684313
08/1999,361968.0058100689
09/1999,348184.77248016384
10/1999,378475.4079387554
11/1999,400215.5473004987
12/1999,430291.8736527875
01/2000,417843.09243426105
02/2000,411135.68410471966
03/2000,459789.61079716287
04/2000,467826.54902763804
05/2000,444772.2744410791
06/2000,443375.80919653364
07/2000,450187.7605315752
08/2000,491507.6559753241
09/2000,472237.2945422857
10/2000,488249.98133875703
11/2000,435850.9318505494
12/2000,406118.2692412426
01/2001,421495.6171193588
02/2001,385680.6585055164
03/2001,378085.61469683703
04/2001,405507.4092036042
05/2001,426981.2364802909
