Data,IE00B652H904
11/2011,10000
12/2011,10326.314483943213
01/2012,11210.944833498757
02/2012,11842.840469085235
03/2012,11661.29352331019
04/2012,11552.215239707182
05/2012,11134.538579971562
06/2012,11478.105348758478
07/2012,11892.43517480137
08/2012,11813.14659462656
09/2012,12008.230085632711
10/2012,11787.945565282555
11/2012,12049.858249543842
12/2012,12497.684845254766
01/2013,12048.02715878594
02/2013,12200.578501732534
03/2013,12214.740143343457
04/2013,12188.441046701384
05/2013,11826.753179085825
06/2013,11069.15636156259
07/2013,10867.108924967597
08/2013,10679.444336470406
09/2013,11210.996163357266
10/2013,11633.649053762838
11/2013,11197.878474296973
12/2013,10689.338904617593
01/2014,10169.119673975558
02/2014,10221.979675640487
03/2014,10620.463615806451
04/2014,10702.891254759881
05/2014,11030.114543672937
06/2014,11114.096923078687
07/2014,11439.5980544277
08/2014,11792.799514667473
09/2014,11356.987226884134
10/2014,11290.885152575796
11/2014,11290.50035299289
12/2014,10973.781263880164
01/2015,11762.432042335162
02/2015,12124.631427622091
03/2015,12186.879715370775
04/2015,12999.496834039557
05/2015,12485.527481644913
06/2015,11956.668754124283
07/2015,10910.102907692657
08/2015,9517.439223212417
09/2015,9026.46504213129
10/2015,9774.225692505639
11/2015,9701.734966750368
12/2015,9218.764323961492
01/2016,8628.533513385104
02/2016,8952.992370271637
03/2016,9597.510113681426
04/2016,9831.539209070932
05/2016,9383.867585665941
06/2016,10083.422538392833
07/2016,10858.264736373556
08/2016,10854.300946485579
09/2016,10985.88789043469
10/2016,11367.618432889845
11/2016,11201.733533606306
12/2016,11458.001224082083
01/2017,11888.105617787069
02/2017,12730.071818643353
03/2017,12841.20640005136
04/2017,12608.564968690529
05/2017,12525.749660864858
06/2017,12243.375122616098
07/2017,12348.848873815807
08/2017,12657.358874014075
09/2017,12509.68989724855
10/2017,12752.18141396269
11/2017,12392.47272109406
12/2017,12607.35002646206
01/2018,13085.47845871467
02/2018,13012.140785067908
03/2018,12686.509162076447
04/2018,12572.568804725108
05/2018,12758.186962567892
06/2018,12434.601394811403
07/2018,12788.323833109345
08/2018,12538.54998179016
09/2018,12644.991800430113
10/2018,12481.06314587727
11/2018,12772.962511972293
12/2018,12371.46104638927
01/2019,13644.996508066208
02/2019,13547.029076252818
03/2019,13637.389456742372
04/2019,13813.208046262565
05/2019,13429.023680737859
06/2019,13913.725799150534
07/2019,14135.62641280983
08/2019,13414.437458528291
09/2019,13667.322306660568
10/2019,13637.080112583102
11/2019,13966.008817980513
12/2019,14505.775271683131
01/2020,14104.144983358217
02/2020,12987.060743876118
03/2020,10572.120254065638
04/2020,11615.440600281905
05/2020,11566.50566435895
06/2020,11585.102211422893
07/2020,11152.208795688968
08/2020,10992.828441233742
09/2020,10765.678740824276
10/2020,10710.731919832793
11/2020,12167.23254236881
12/2020,12894.26757157573
01/2021,12867.804913549962
02/2021,13452.905247268447
03/2021,14265.288902597182
04/2021,14071.00516020371
05/2021,14284.598429680445
06/2021,14443.267849779855
07/2021,14263.2325501029
08/2021,14888.164128966235
09/2021,15237.898388911999
10/2021,15031.338854648044
11/2021,14700.137127284625
12/2021,15492.518709442105
01/2022,15695.568817470896
02/2022,14509.740211339826
03/2022,13480.387369696198
04/2022,13392.078799537729
05/2022,13147.714984983293
06/2022,11970.305373089648
07/2022,12003.17577249695
08/2022,12203.156720411063
09/2022,11103.190253730418
10/2022,11002.60976869531
11/2022,11523.989175681296
12/2022,11204.74749734746
01/2023,11766.80847996823
02/2023,11357.441251199725
03/2023,11166.819512658933
04/2023,11287.709781022575
05/2023,11062.63392790357
06/2023,11511.82116651257
07/2023,12006.602497494365
08/2023,11543.435898525657
09/2023,11910.408314458495
10/2023,11501.878216029185
11/2023,12080.224402733309
12/2023,12868.903972075019
01/2024,12809.991065402159
02/2024,13014.897695160225
03/2024,13026.176200859514
04/2024,13718.06490231055
