Data,IE00B66F4759
12/2005,10000
01/2006,10129.258664820833
02/2006,10165.686382541522
03/2006,10214.675226918305
04/2006,10266.564784543843
05/2006,10281.261513102909
06/2006,10235.175501565238
07/2006,10371.628406064994
08/2006,10484.092092714272
09/2006,10488.799441484356
10/2006,10689.967587054247
11/2006,10789.177240491144
12/2006,10854.185612509062
01/2007,10924.520081110051
02/2007,10982.294020034571
03/2007,10999.872864650304
04/2007,11086.351452144952
05/2007,11163.340495493805
06/2007,11086.68646647317
07/2007,10736.515438180479
08/2007,10615.068930081568
09/2007,10807.934413498844
10/2007,10913.264974164846
11/2007,10573.10517083367
12/2007,10596.756721465112
01/2008,10140.664256318947
02/2008,9937.249310125288
03/2008,9919.517108130516
04/2008,10469.405096115526
05/2008,10616.827107512785
06/2008,10236.544024111683
07/2008,10027.898835993377
08/2008,10120.115001536024
09/2008,9402.778141098624
10/2008,7582.168276314559
11/2008,7226.856239119813
12/2008,7137.96511869027
01/2009,7632.294100673345
02/2009,7440.171737323173
03/2009,7283.443081224932
04/2009,8021.7771858640035
05/2009,8776.780616628572
06/2009,9027.155087334795
07/2009,9626.93889680287
08/2009,9962.968762501167
09/2009,10509.746742574489
10/2009,10682.683955100138
11/2009,10732.822519930896
12/2009,10944.880692400084
01/2010,11160.697447505725
02/2010,11173.107151381007
03/2010,11637.750764883403
04/2010,11759.962067067765
05/2010,11301.968866299601
06/2010,11385.08616510528
07/2010,11735.53545260267
08/2010,11830.368701067153
09/2010,12093.517540078776
10/2010,12253.07758290457
11/2010,11915.78737914488
12/2010,12184.057140190873
01/2011,12413.494870143217
02/2011,12557.401018214285
03/2011,12461.042882970645
04/2011,12605.825276110123
05/2011,12696.67319330155
06/2011,12576.185645599102
07/2011,12545.059709242323
08/2011,11879.217401264883
09/2011,11470.326645437188
10/2011,12250.089736965028
11/2011,11741.775816710642
12/2011,11985.464869828278
01/2012,12661.674199780875
02/2012,13110.267161516398
03/2012,13218.245682838724
04/2012,13197.488077416216
05/2012,12989.35817736768
06/2012,13225.096133347977
07/2012,13426.94898752872
08/2012,13689.541163470147
09/2012,13909.545041763846
10/2012,14176.902142942066
11/2012,14375.599206881563
12/2012,14648.221816720783
01/2013,14646.31008885635
02/2013,14737.783801935948
03/2013,14820.656903349005
04/2013,15098.965663436491
05/2013,15104.780387425924
06/2013,14819.40423164041
07/2013,15069.483160701637
08/2013,15108.650906568942
09/2013,15246.550909311014
10/2013,15523.15871919706
11/2013,15643.113616522027
12/2013,15720.406606842143
01/2014,15769.126988235976
02/2014,15976.680826921589
03/2014,16060.709071248653
04/2014,16167.890612688685
05/2014,16248.069324348606
06/2014,16315.561114362268
07/2014,16264.030420647236
08/2014,16357.412500424025
09/2014,16207.19304960785
10/2014,16227.765093903823
11/2014,16362.217038075602
12/2014,16272.60653513961
01/2015,16375.87174325612
02/2015,16665.471460441386
03/2015,16647.467675459477
04/2015,16726.053314242065
05/2015,16755.54531676833
06/2015,16459.629162288245
07/2015,16600.757934212652
08/2015,16459.692011948737
09/2015,16038.35802137723
10/2015,16491.288204834767
11/2015,16538.813011539092
12/2015,16150.53301739392
01/2016,16000.715724858677
02/2016,15919.085935417132
03/2016,16401.818010142983
04/2016,16676.68100542349
05/2016,16679.924282888973
06/2016,16604.546471862206
07/2016,16935.91980682012
08/2016,17175.937987006015
09/2016,17100.287196167854
10/2016,17221.206402450414
11/2016,17106.022435503644
12/2016,17380.151454208826
01/2017,17470.337304890207
02/2017,17585.63423718897
03/2017,17546.301027766924
04/2017,17695.746904725253
05/2017,17822.201473527854
06/2017,17852.237711995727
07/2017,17965.97003172016
08/2017,18004.24995788038
09/2017,18082.32063889304
10/2017,18229.70557856874
11/2017,18150.346703594856
12/2017,18128.340387239932
01/2018,18150.065197332427
02/2018,18032.58797744658
03/2018,18003.821760463463
04/2018,18097.566615998345
05/2018,17880.79013492775
06/2018,17801.212403582125
07/2018,18050.785008378713
08/2018,18046.17495029676
09/2018,18064.38626957206
10/2018,17872.438632512873
11/2018,17521.719530052575
12/2018,17426.978994341516
01/2019,17784.283495118147
02/2019,18074.30979762007
03/2019,18236.68618781033
04/2019,18454.047178139306
05/2019,18179.8676314502
06/2019,18521.778893402934
07/2019,18640.66441661018
08/2019,18750.876029571074
09/2019,18699.137772250644
10/2019,18651.741743475
11/2019,18823.686002308797
12/2019,18996.440366842227
01/2020,19002.40685232283
02/2020,18613.337101899277
03/2020,16136.288760891408
04/2020,17122.455436523327
05/2020,17609.429519901772
06/2020,17924.85784947609
07/2020,18188.006972654388
08/2020,18440.687960563162
09/2020,18314.442038604444
10/2020,18359.69107011503
11/2020,19092.417493011668
12/2020,19213.68098116537
01/2021,19276.050456466877
02/2021,19385.303669223973
03/2021,19460.134703550626
04/2021,19558.40768240251
05/2021,19594.916702435115
06/2021,19691.557433250586
07/2021,19740.005694205865
08/2021,19802.73147446818
09/2021,19773.655159848284
10/2021,19665.85172030438
11/2021,19560.96455545705
12/2021,19725.847806881684
01/2022,19447.726669383188
02/2022,18919.785232550425
03/2022,18891.792313341164
04/2022,18385.314526471888
05/2022,18168.366790415053
06/2022,17038.54584545192
07/2022,17800.273113538038
08/2022,17642.069439492196
09/2022,16969.898397868514
10/2022,17285.0155425783
11/2022,17883.386534339465
12/2022,17780.542408273235
01/2023,18270.37391501482
02/2023,18261.041531005678
03/2023,18286.855476540426
04/2023,18342.548863225617
05/2023,18463.86507665539
06/2023,18550.508860809747
07/2023,18720.668515149206
08/2023,18799.371368576307
09/2023,18837.671831778156
10/2023,18772.69208796263
11/2023,19279.366118507765
12/2023,19780.579077305563
01/2024,19860.694258361793
02/2024,19927.956291188457
03/2024,19917.08155009595
04/2024,19918.6749014474
