Data,IE00B7J7TB45
09/2012,10000
10/2012,10063.696699101465
11/2012,10089.07501773904
12/2012,9980.370879397551
01/2013,9669.75123078492
02/2013,9927.11565085556
03/2013,10162.093107404336
04/2013,10189.01084813901
05/2013,9991.733430017432
06/2013,9693.469426994443
07/2013,9699.522316089657
08/2013,9664.770459021942
09/2013,9647.468475696796
10/2013,9682.224838722532
11/2013,9689.960090190978
12/2013,9562.291272875955
01/2014,9841.589723579764
02/2014,9785.359011759763
03/2014,9808.442034604785
04/2014,9893.971972060635
05/2014,10147.801169521
06/2014,10160.53953781069
07/2014,10303.829547093563
08/2014,10538.627878724486
09/2014,10787.974115977511
10/2014,10880.253699014112
11/2014,10943.623801872163
12/2014,11181.78921528158
01/2015,12055.44109218547
02/2015,12055.912051969535
03/2015,12463.233771657982
04/2015,12044.087057145824
05/2015,12172.825265454161
06/2015,11792.143201976098
07/2015,12076.730908289746
08/2015,11749.168973381698
09/2015,11765.217122603608
10/2015,12033.062139527738
11/2015,12391.14787995118
12/2015,12001.647374390166
01/2016,11967.312943214138
02/2016,12095.377710031142
03/2016,11996.037285025961
04/2016,12145.240782332396
05/2016,12321.69734827172
06/2016,12559.865408141999
07/2016,12760.672465979951
08/2016,12759.4111628199
09/2016,12720.428419852227
10/2016,12731.083606413107
11/2016,12729.001173000417
12/2016,12899.349205088625
01/2017,12751.468928245298
02/2017,13034.045479476299
03/2017,12914.543325612198
04/2017,12806.88155769247
05/2017,12681.23322414082
06/2017,12519.41187333092
07/2017,12384.61499939614
08/2017,12379.959560005698
09/2017,12367.134145945787
10/2017,12552.662226580169
11/2017,12395.879371578705
12/2017,12343.334375199927
01/2018,11950.710102482348
02/2018,11963.775891229894
03/2018,11908.900382228323
04/2018,12007.427938596877
05/2018,12300.728422420307
06/2018,12282.231261529427
07/2018,12272.505540895772
08/2018,12386.623597951842
09/2018,12414.268732859739
10/2018,12484.82499708025
11/2018,12391.046053676402
12/2018,12442.538813277439
01/2019,12683.776409095593
02/2019,12785.613751099898
03/2019,13200.773124561114
04/2019,13279.069019466135
05/2019,13447.870021011979
06/2019,13537.941309731861
07/2019,13823.357167186594
08/2019,14232.950275726802
09/2019,14311.926743758528
10/2019,14132.412712523754
11/2019,14317.295952088525
12/2019,14113.977662883774
01/2020,14572.90044503384
02/2020,14719.064618925257
03/2020,13680.76597975335
04/2020,14442.34460687933
05/2020,14307.732629126507
06/2020,14522.82993580233
07/2020,14303.741285567958
08/2020,14148.243854821754
09/2020,14313.060168137119
10/2020,14314.035270781374
11/2020,14402.521627746915
12/2020,14232.10815884467
01/2021,14245.112430903051
02/2021,14062.625563364265
03/2021,14255.369868631962
04/2021,14031.756885476547
05/2021,14040.720821353716
06/2021,14431.631982177409
07/2021,14602.49189649457
08/2021,14600.463522265958
09/2021,14691.958018340307
10/2021,14610.415098445523
11/2021,14851.766636730568
12/2021,14943.580270942646
01/2022,14701.156925407715
02/2022,14340.844197955537
03/2022,14104.885593122883
04/2022,13985.46889540792
05/2022,13838.87575498435
06/2022,13752.409614268334
07/2022,14396.469372829088
08/2022,14132.888667168578
09/2022,13699.440852570238
10/2022,13424.149404524213
11/2022,13531.129695014477
12/2022,13188.528351434701
01/2023,13503.178547545793
02/2023,13330.976353574626
03/2023,13376.238192260013
04/2023,13401.456075345053
05/2023,13512.039479307137
06/2023,13389.458003410653
07/2023,13322.074480833282
08/2023,13373.945218960183
09/2023,13351.904842356913
10/2023,13152.134885460726
11/2023,13504.849794636126
12/2023,13925.375072069906
01/2024,14114.674054270861
02/2024,13937.991522828463
03/2024,14117.478276150714
04/2024,13913.184572015587
