Data,IE00B86MWN23
11/2001,10000
12/2001,10360.42157420273
01/2002,10294.16233664619
02/2002,10497.489282358583
03/2002,10809.287184326207
04/2002,10795.378847436028
05/2002,10487.256692706269
06/2002,9825.759362596791
07/2002,9153.07538451875
08/2002,9134.224552800973
09/2002,8397.872438832315
10/2002,8751.312846270645
11/2002,8777.138947371062
12/2002,8502.425372805157
01/2003,7884.682840700581
02/2003,7739.080369670311
03/2003,7641.479714334382
04/2003,8149.640687692514
05/2003,8203.4460901404
06/2003,8481.255774719993
07/2003,8502.190789115411
08/2003,8827.425601567527
09/2003,8632.005965110035
10/2003,9060.320003691777
11/2003,9163.760513930625
12/2003,9389.745139887777
01/2004,9627.611995413961
02/2004,10083.048156139634
03/2004,10088.086850134277
04/2004,10305.820896135812
05/2004,10366.373145342402
06/2004,10602.870404880556
07/2004,10619.966412078642
08/2004,10714.775387506648
09/2004,10900.749151845388
10/2004,11000.887373041403
11/2004,11419.849000388618
12/2004,11746.532239742904
01/2005,12024.59044771154
02/2005,12348.83631320669
03/2005,12338.587140715634
04/2005,12279.697148745714
05/2005,12892.526185693638
06/2005,13329.799736371186
07/2005,13573.749464335126
08/2005,13816.475335246667
09/2005,14234.558111504375
10/2005,13702.8385325408
11/2005,14041.735869040393
12/2005,14475.6503923368
01/2006,14797.36542854425
02/2006,15322.622016356761
03/2006,15627.81883319042
04/2006,15731.807699893448
05/2006,15076.345021600315
06/2006,15474.886952332981
07/2006,15818.965335384839
08/2006,16224.973539185112
09/2006,16712.93481022199
10/2006,17246.75389463306
11/2006,17290.85267261087
12/2006,17910.06182064896
01/2007,18346.96291221649
02/2007,18003.18875844833
03/2007,18521.464547172578
04/2007,18986.124092330454
05/2007,19344.263115009373
06/2007,18878.364504173045
07/2007,18217.594327346018
08/2007,18127.025975713543
09/2007,18100.817511247715
10/2007,18508.788853811722
11/2007,17797.830168477434
12/2007,17524.21355660758
01/2008,15943.373498091863
02/2008,15739.596076046744
03/2008,15176.918898484459
04/2008,15773.211453829927
05/2008,15805.881795324856
06/2008,14295.837056151606
07/2008,14072.286934253852
08/2008,14437.856130068925
09/2008,13470.850782048037
10/2008,12570.520583656305
11/2008,11903.001696105823
12/2008,11529.85514245788
01/2009,11405.467378337622
02/2009,10470.255449250924
03/2009,10270.306789462711
04/2009,11260.43882163223
05/2009,11724.993105171488
06/2009,11555.268594430685
07/2009,12419.63197749131
08/2009,12964.272019674956
09/2009,13243.549161623041
10/2009,12987.03739472089
11/2009,13128.028460628417
12/2009,13826.131883491202
01/2010,13642.81276030551
02/2010,13808.992509779378
03/2010,14502.857084588195
04/2010,14285.555848359074
05/2010,13800.283299613899
06/2010,14057.297784475917
07/2010,14368.36548024475
08/2010,14614.023382253607
09/2010,14777.587684987107
10/2010,15135.469503646196
11/2010,14806.974958332466
12/2010,15275.703533899316
01/2011,15311.719034904374
02/2011,15710.49041995726
03/2011,15432.319742876472
04/2011,15981.689438850079
05/2011,16285.996528897977
06/2011,15899.922231412831
07/2011,15909.554307335817
08/2011,14797.830456722559
09/2011,14657.066140733685
10/2011,15276.5935169824
11/2011,15495.544699550574
12/2011,15912.333345380775
01/2012,15728.03469903132
02/2012,16211.475970232665
03/2012,16421.702449627996
04/2012,16469.2870895953
05/2012,15843.818882200434
06/2012,16760.97146533799
07/2012,17356.09741581576
08/2012,17520.50599819427
09/2012,17515.543513406355
10/2012,17451.067192386454
11/2012,17763.325464878024
12/2012,17824.5084911709
01/2013,18171.221326900002
02/2013,18429.199855242794
03/2013,19333.778269780247
04/2013,19733.730044510947
05/2013,19413.616865555432
06/2013,18768.174637390402
07/2013,19518.545394345216
08/2013,19202.454281671213
09/2013,19821.742112280113
10/2013,20350.021905112615
11/2013,20521.82355482053
12/2013,20865.761472000155
01/2014,20629.504987157292
02/2014,21685.091633941815
03/2014,21635.22239924045
04/2014,22168.945565645205
05/2014,22909.353721975032
06/2014,23074.27879074614
07/2014,22923.319594860677
08/2014,23337.994822487595
09/2014,23557.024273096253
10/2014,23446.18257328041
11/2014,24167.010145381326
12/2014,24041.552838583335
01/2015,26248.9337047563
02/2015,27362.686560465936
03/2015,27817.16159774482
04/2015,27848.146985527903
05/2015,28310.195012989196
06/2015,26932.808094820408
07/2015,28670.703318074684
08/2015,26508.088119187236
09/2015,26016.486886448016
10/2015,28153.37015146335
11/2015,28847.809160382076
12/2015,27909.875554668473
01/2016,26826.300315318505
02/2016,26402.162675423046
03/2016,26592.223101613356
04/2016,26801.838514902156
05/2016,27444.242246367463
06/2016,26868.27357560383
07/2016,27380.739301459078
08/2016,27040.922456223714
09/2016,27118.522950167404
10/2016,26010.974225428643
11/2016,25630.734233644485
12/2016,26782.013433331635
01/2017,26545.665705039777
02/2017,27581.52727591619
03/2017,28269.509111359843
04/2017,28527.822092985683
05/2017,29716.083838128605
06/2017,28763.13764508342
07/2017,28560.379850198555
08/2017,28443.969345676058
09/2017,28801.912620721007
10/2017,29305.503416778574
11/2017,28846.695377520027
12/2017,28867.298641493013
01/2018,28843.47197349742
02/2018,27864.446304220186
03/2018,27806.337321623458
04/2018,28893.530598369296
05/2018,29201.850474528906
06/2018,29343.10743299033
07/2018,29975.682785441244
08/2018,29909.69372485232
09/2018,30161.546226901723
10/2018,28926.29933386529
11/2018,28990.105441915828
12/2018,27772.56314311617
01/2019,28994.00587627081
02/2019,29921.313578103687
03/2019,30964.020009433778
04/2019,31474.166016758503
05/2019,30941.65087874889
06/2019,31950.566909470912
07/2019,32006.905074480295
08/2019,32453.78250881703
09/2019,33429.69527439904
10/2019,33430.366373066936
11/2019,34220.87759885436
12/2019,34474.796635113875
01/2020,35296.7760916177
02/2020,32545.20391331758
03/2020,29177.87910411897
04/2020,30800.928450001622
05/2020,31078.017561752364
06/2020,31606.264831990276
07/2020,31497.0536010733
08/2020,31955.355381883102
09/2020,31922.397612525725
10/2020,30313.188145855664
11/2020,32814.78022087851
12/2020,33076.18596523177
01/2021,32940.836701857406
02/2021,32252.47039007552
03/2021,34356.233510634076
04/2021,34644.05216086402
05/2021,35622.79048640853
06/2021,36691.66610253967
07/2021,37963.24997236223
08/2021,38780.31027551148
09/2021,37024.08918601951
10/2021,38208.268455451405
11/2021,38140.886681240896
12/2021,40487.830377934995
01/2022,38282.07293007801
02/2022,37277.36921064629
03/2022,37818.541415772524
04/2022,37997.77215466585
05/2022,36610.147696027765
06/2022,35145.74711568973
07/2022,36995.43505844145
08/2022,35309.14819758668
09/2022,32851.44151926338
10/2022,34077.94021907358
11/2022,35518.56096802907
12/2022,34701.53562594774
01/2023,36071.57258771281
02/2023,36511.125599721294
03/2023,37313.06281279682
04/2023,38948.361505069544
05/2023,37427.56059980709
06/2023,38011.24774840009
07/2023,38263.11518393781
