Data,IE00B8GKDB10
03/2008,10000
04/2008,10652.877027027022
05/2008,10666.946843440413
06/2008,9418.684515439043
07/2008,9420.266548948308
08/2008,9741.494340481566
09/2008,8936.462602612008
10/2008,7959.301613102575
11/2008,7459.161231142344
12/2008,7076.031399715162
01/2009,6755.5299117673585
02/2009,6121.3369454350905
03/2009,6340.193370190383
04/2009,7242.984501004359
05/2009,7612.276518847955
06/2009,7518.915606091407
07/2009,8293.71051152531
08/2009,8623.806892107104
09/2009,8845.34648695095
10/2009,8678.48920559186
11/2009,8894.685686967281
12/2009,9439.523928979079
01/2010,9266.2899989661
02/2010,9549.718416322821
03/2010,10173.351781757046
04/2010,10227.196745148598
05/2010,9969.172397964527
06/2010,9833.035966705334
07/2010,10117.86287060512
08/2010,10119.697544488105
09/2010,10255.077960555052
10/2010,10424.169169108804
11/2010,10597.129069651934
12/2010,11038.817797884012
01/2011,10941.383138870759
02/2011,11124.229978041867
03/2011,10892.305280082233
04/2011,10961.90984733652
05/2011,11094.750991689034
06/2011,10855.459398973828
07/2011,10733.500088881987
08/2011,9954.231578867888
09/2011,9722.1222930676
10/2011,10294.722052317784
11/2011,10371.079318258426
12/2011,10837.473524175299
01/2012,11060.298346107775
02/2012,11378.896871374436
03/2012,11414.763910861408
04/2012,11390.452568618119
05/2012,11048.814672299082
06/2012,11551.445275341764
07/2012,12082.660704021864
08/2012,11964.165685140188
09/2012,12004.50356835128
10/2012,11938.616947990035
11/2012,12071.17376426152
12/2012,12209.434037094088
01/2013,12481.325803524105
02/2013,12808.980482759014
03/2013,13281.016129562697
04/2013,13510.01453107843
05/2013,13330.892973959175
06/2013,12845.308878457907
07/2013,13230.658347542161
08/2013,12974.166557220924
09/2013,13371.540917281018
10/2013,13836.011477778062
11/2013,13910.309847964802
12/2013,13846.20398178722
01/2014,13508.598814173003
02/2014,13881.073765514333
03/2014,14142.075302743828
04/2014,14361.149136133881
05/2014,14823.178387827824
06/2014,14959.180579234688
07/2014,15062.884678377592
08/2014,15531.063416629873
09/2014,15645.731750276565
10/2014,15698.365654233083
11/2014,15922.531820377104
12/2014,15872.800072223106
01/2015,16747.845087084217
02/2015,17692.9907516295
03/2015,18037.943896918772
04/2015,18123.860333940283
05/2015,18283.379905532034
06/2015,17424.567591701336
07/2015,17805.073375748627
08/2015,16181.283878210195
09/2015,15600.21662937829
10/2015,17070.217322733042
11/2015,17500.858789134396
12/2015,16724.325534640764
01/2016,15876.071112893394
02/2016,15863.164854715658
03/2016,16316.778950764452
04/2016,16590.092188561957
05/2016,16869.939036661257
06/2016,16878.777317563658
07/2016,17466.71186345619
08/2016,17533.81272978383
09/2016,17539.97911193161
10/2016,17679.952049783693
11/2016,18267.302956862415
12/2016,19039.513879685175
01/2017,18956.506511736094
02/2017,19675.141033959
03/2017,19743.120738091493
04/2017,19472.71618074479
05/2017,19329.091247243734
06/2017,19048.427490079255
07/2017,19041.92366302366
08/2017,18904.06076640838
09/2017,19355.941448382287
10/2017,19742.597390161067
11/2017,19688.76185078931
12/2017,19846.37404489639
01/2018,20025.21200180162
02/2018,19381.25844165517
03/2018,18797.103796509648
04/2018,19406.91070822235
05/2018,19587.757008455694
06/2018,19473.035978265045
07/2018,20002.393935138
08/2018,19885.589193782325
09/2018,20181.744756006166
10/2018,19443.825447601317
11/2018,19649.862397286615
12/2018,18329.069723954195
01/2019,19487.996848250463
02/2019,20086.664037203725
03/2019,20466.64414018423
04/2019,21003.105357441418
05/2019,20000.146474443078
06/2019,20733.434855934745
07/2019,20976.47432312826
08/2019,20547.778875144835
09/2019,21567.828987232053
10/2019,21610.275979051432
11/2019,22215.67779863547
12/2019,22580.662591650802
01/2020,22118.46940450306
02/2020,20213.21831179003
03/2020,17016.88933312671
04/2020,18552.167034808375
05/2020,18505.90390103594
06/2020,18776.240512858603
07/2020,18313.03461074216
08/2020,18812.606986274746
09/2020,18551.56128284744
10/2020,18069.04336227986
11/2020,20081.235007043288
12/2020,20547.089070684895
01/2021,20695.895527833793
02/2021,21499.778608814184
03/2021,23334.234260677873
04/2021,23191.64510014792
05/2021,23738.374162513366
06/2021,24005.147691920985
07/2021,23867.659105184117
08/2021,24370.167752555983
09/2021,24285.773900916363
10/2021,24852.216149916636
11/2021,24497.702866120384
12/2021,26174.280321812792
01/2022,26630.585510043722
02/2022,26139.890220160556
03/2022,26759.89671755301
04/2022,26892.546676545222
05/2022,27123.810591413498
06/2022,25520.725512827506
07/2022,26720.557180701762
08/2022,26496.527041461413
09/2022,24799.434360401123
10/2022,26331.37330784342
11/2022,27306.18954235242
12/2022,26126.82426725856
01/2023,26967.932008941134
02/2023,26660.28741160239
03/2023,26067.907531327844
