Data,IE00B8KGV557
05/1993,10000
06/1993,10508.642657458482
07/1993,11218.886562900852
08/1993,11823.150435293353
09/1993,11541.79373611291
10/1993,12567.720111551778
11/1993,13577.7969063997
12/1993,15864.787582581488
01/1994,16364.834509064065
02/1994,16072.03957338121
03/1994,14252.886319755828
04/1994,14364.487600003382
05/1994,14516.337619714534
06/1994,13817.964522141587
07/1994,13834.296489063001
08/1994,15077.934169966495
09/1994,15213.134586442731
10/1994,15245.46445755254
11/1994,14956.92830783882
12/1994,14266.025383169934
01/1995,12789.811426413851
02/1995,12539.793671159849
03/1995,12068.578689931599
04/1995,12268.09199382499
05/1995,13293.49381616379
06/1995,13226.220689047945
07/1995,13230.42730699376
08/1995,13263.9028400271
09/1995,13419.030831941545
10/1995,13000.570338399648
11/1995,12631.295490243885
12/1995,13432.721924956022
01/1996,14131.514219634299
02/1996,14135.040188269131
03/1996,14225.150936738235
04/1996,14874.419920548018
05/1996,15030.65574442595
06/1996,14841.634731749342
07/1996,13827.584634827212
08/1996,13963.476788131158
09/1996,14223.440716026545
10/1996,13958.15058607192
11/1996,13793.260611332054
12/1996,14289.94060525818
01/1997,15460.369679203437
02/1997,16650.849968764276
03/1997,16613.284051082315
04/1997,16964.232901660842
05/1997,17263.65149737526
06/1997,18106.33478866957
07/1997,18997.6917019151
08/1997,18466.1797814003
09/1997,18307.2286456138
10/1997,15832.55072066555
11/1997,14753.60619247913
12/1997,15089.549342678081
01/1998,14341.014526252777
02/1998,15187.197038704253
03/1998,16191.479062957545
04/1998,16213.99254422445
05/1998,14554.475087364326
06/1998,13168.48715300684
07/1998,13511.976701387324
08/1998,10421.654932948291
09/1998,10340.664695767358
10/1998,10693.079106214387
11/1998,11864.091381652863
12/1998,12182.923754574693
01/1999,11956.847601418604
02/1999,12269.944555933247
03/1999,14062.334750762575
04/1999,15749.968842970273
05/1999,16068.486048343515
06/1999,17318.615748688255
07/1999,16536.953371009444
08/1999,17069.018961395384
09/1999,16495.195596746384
10/1999,16673.693933927738
11/1999,18326.382611992678
12/1999,19516.867808539344
01/2000,20352.946324714416
02/2000,20702.43388883651
03/2000,20445.959177467736
04/2000,19616.902308098877
05/2000,18653.41016334716
06/2000,18576.05121684523
07/2000,18717.81678445609
08/2000,19178.71306222765
09/2000,18507.019081919152
10/2000,18029.20560780811
11/2000,16695.82036026331
12/2000,16287.067635099755
01/2001,17558.434267630466
02/2001,16848.073184405548
03/2001,16318.452951302348
04/2001,16638.364770470078
05/2001,17518.50473491411
06/2001,17188.64227335128
07/2001,15904.729413873878
08/2001,15308.647213620765
09/2001,13702.863119551384
10/2001,14468.58470045389
11/2001,15708.439274088232
12/2001,16629.085638222146
01/2002,17422.315694643028
02/2002,17576.1089255396
03/2002,18388.452241505034
04/2002,17902.874362802064
05/2002,16972.372931865844
06/2002,15160.51406276809
07/2002,14869.667011516016
08/2002,15067.34106530169
09/2002,13927.81505564274
10/2002,14202.1802956725
11/2002,14763.073601360627
12/2002,13931.285905813598
01/2003,13459.445748060367
02/2003,13216.609537805936
03/2003,12918.478544677584
04/2003,13557.975233417706
05/2003,13591.617943877054
06/2003,14814.038725153827
07/2003,15735.87528712995
08/2003,17219.529310946466
09/2003,16395.304776465375
10/2003,17720.05605929301
11/2003,17379.983478931546
12/2003,17713.169518059007
01/2004,18310.433095845725
02/2004,18986.928268998032
03/2004,19721.356236149797
04/2004,19091.410428914653
05/2004,18415.305075707758
06/2004,18780.281408292445
07/2004,18912.174268463703
08/2004,19148.797772839258
09/2004,19861.487922894634
10/2004,19918.246857584032
11/2004,21062.98464577855
12/2004,21695.702599097418
01/2005,22601.195452253585
02/2005,23813.948233978444
03/2005,23124.63291935454
04/2005,22928.816112419907
05/2005,24635.37432478118
06/2005,26029.149145693627
07/2005,27630.639538220992
08/2005,27850.06039796681
09/2005,30100.761878425765
10/2005,28478.589977394695
11/2005,30888.22624872935
12/2005,32290.209588888647
