Data,IE00B9CQXS71
08/2013,10000
09/2013,10447.174270392588
10/2013,10689.145203128326
11/2013,10555.077391862698
12/2013,10575.973732885095
01/2014,10446.148654285944
02/2014,10731.928900560513
03/2014,10946.862141331125
04/2014,11237.473357716284
05/2014,11556.2091247993
06/2014,11721.046203086918
07/2014,11680.713546166002
08/2014,12000.925947490789
09/2014,11904.87537581818
10/2014,12217.73548044879
11/2014,12399.651493595626
12/2014,12504.715271482155
01/2015,13461.342395210237
02/2015,14215.724560832394
03/2015,14397.13359604629
04/2015,14293.202638544803
05/2015,14252.220377488155
06/2015,13693.97426893846
07/2015,14040.633904784861
08/2015,12897.80794686189
09/2015,12586.546500893344
10/2015,13487.947326225552
11/2015,13611.292674849457
12/2015,12735.34604034224
01/2016,12393.798799482433
02/2016,12448.47355961094
03/2016,13109.922391354572
04/2016,13414.662230868504
05/2016,13375.894530424148
06/2016,13660.811632248508
07/2016,14320.03603124739
08/2016,14013.27146986544
09/2016,14199.798978437606
10/2016,14058.095154765277
11/2016,14216.836563542942
12/2016,14824.54532312773
01/2017,14795.098568162639
02/2017,15313.558966810986
03/2017,15294.834788053562
04/2017,15211.823085910708
05/2017,15113.579757693451
06/2017,14861.869459580006
07/2017,14802.773030951228
08/2017,14660.899523049788
09/2017,14816.240422093175
10/2017,15054.202578708462
11/2017,15239.44357037277
12/2017,15417.811908958036
01/2018,15260.45472433449
02/2018,14717.579566721244
03/2018,14550.229730136285
04/2018,15072.275111654097
05/2018,15214.492833522952
06/2018,15318.088067337001
07/2018,15660.43401647595
08/2018,15498.863548770434
09/2018,15625.078190975355
10/2018,15124.214768766085
11/2018,15446.293799031911
12/2018,14595.897279844823
01/2019,15513.477511540179
02/2019,15811.829564867325
03/2019,16039.743467512479
04/2019,16397.98733717566
05/2019,15744.19514494658
06/2019,16296.223359966525
07/2019,16404.596556289274
08/2019,16128.986486531863
09/2019,17171.924508838645
10/2019,17220.58352849447
11/2019,17476.39321896575
12/2019,17804.643295621798
01/2020,17788.56735348957
02/2020,16302.931465114143
03/2020,12447.2135531367
04/2020,13550.170658560128
05/2020,13198.108688396924
06/2020,13436.004537998331
07/2020,12821.987718353856
08/2020,13434.510707753596
09/2020,13092.67695301252
10/2020,12836.83778414818
11/2020,14398.296164114454
12/2020,14596.337270887323
01/2021,14774.239144858451
02/2021,15337.291144649136
03/2021,16659.120840748335
04/2021,16635.95413504913
05/2021,17028.084264751455
06/2021,17147.26621346076
07/2021,17021.917553828112
08/2021,17171.951059499042
09/2021,17175.576535313856
10/2021,17314.9743633425
11/2021,17033.576673673273
12/2021,17975.97472987869
01/2022,18402.089391372487
02/2022,18205.999322363394
03/2022,18749.288701496025
04/2022,18926.887486750828
05/2022,19107.861038436844
06/2022,18457.191832769215
07/2022,18994.960807790558
08/2022,18654.005668432466
09/2022,17278.186967773097
10/2022,17376.589014205034
11/2022,18034.53580590864
12/2022,17580.01709006844
01/2023,18208.005300835943
02/2023,17865.229160970524
03/2023,17377.075665648303
04/2023,17506.605890234256
05/2023,16957.822634491087
06/2023,17196.324891217457
07/2023,17610.51655707835
08/2023,17311.32693644851
09/2023,17015.423596665656
10/2023,16375.79297374335
11/2023,17299.946155054025
12/2023,18241.790286719865
01/2024,18219.417842720006
02/2024,18088.71128181013
03/2024,18578.756986508397
04/2024,18368.44526240722
