Data,IE00B9F5YL18
03/2005,10000
04/2005,10078.81278572526
05/2005,10570.72278831864
06/2005,11275.959054062147
07/2005,11688.746131653907
08/2005,11564.94223629484
09/2005,12443.688973780158
10/2005,11753.037651909079
11/2005,12404.7547810522
12/2005,12656.093803261576
01/2006,13076.216932449004
02/2006,13277.689276145684
03/2006,13217.84067576019
04/2006,13711.857741307706
05/2006,12702.213980463071
06/2006,12885.513438302934
07/2006,13120.775200172535
08/2006,13497.739814615301
09/2006,13658.682127242706
10/2006,14469.83518244557
11/2006,14595.588698135007
12/2006,15360.715901496786
01/2007,15780.63121174284
02/2007,15738.024655832332
03/2007,16321.568862209679
04/2007,16671.217077111927
05/2007,17367.192342292594
06/2007,17843.503335782396
07/2007,17859.55068288001
08/2007,17755.235669286096
09/2007,19545.59377967138
10/2007,20929.902700955077
11/2007,19265.724825837817
12/2007,18941.69351733886
01/2008,16616.016290053507
02/2008,16643.112254459324
03/2008,15116.79564056998
04/2008,16688.156802982357
05/2008,16860.5225687968
06/2008,15295.944587560381
07/2008,14775.533803151468
08/2008,14764.083603692627
09/2008,12767.71517715588
10/2008,10697.950390132259
11/2008,10172.662976183841
12/2008,9911.850402153452
01/2009,9813.162210114868
02/2009,9411.897025543418
03/2009,10121.274517163236
04/2009,11420.317937892616
05/2009,12309.450461835857
06/2009,12784.389371074489
07/2009,14106.743416165244
08/2009,14164.553385100022
09/2009,15207.896808146188
10/2009,14920.777336087434
11/2009,14980.982515567886
12/2009,16286.347472493311
01/2010,15754.949435263987
02/2010,16398.32079296533
03/2010,17808.76860034114
04/2010,18388.86565869624
05/2010,17303.57758695756
06/2010,17369.472936093596
07/2010,17839.886586298115
08/2010,17967.44571723943
09/2010,18870.305321408086
10/2010,18938.699958280213
11/2010,19932.357341822335
12/2010,20850.365063822
01/2011,20424.894773199594
02/2011,20069.577563073122
03/2011,20466.85538036073
04/2011,20647.562170045858
05/2011,20693.24820859677
06/2011,20134.110800957977
07/2011,20409.45290636583
08/2011,18731.692460880782
09/2011,17126.0632204743
10/2011,18956.464475505483
11/2011,18295.59277987203
12/2011,18738.37071990385
01/2012,20419.37808709197
02/2012,20981.904257189715
03/2012,20600.48825873538
04/2012,20976.765261293855
05/2012,19863.91127709794
06/2012,20284.21157533612
07/2012,21995.93631276715
08/2012,21544.67817212073
09/2012,22122.53764192086
10/2012,22137.12750931621
11/2012,22477.942634624455
12/2012,22902.36085564822
01/2013,22848.187987772108
02/2013,24325.676820934947
03/2013,24319.252419049655
04/2013,24230.089020191233
05/2013,23074.329838774414
06/2013,21519.75952158904
07/2013,21760.093823280513
08/2013,22095.19459499967
09/2013,23000.13933717094
10/2013,23859.61598322028
11/2013,23407.99043078549
12/2013,22835.078907474777
01/2014,22070.705406810972
02/2014,22722.88188544749
03/2014,23201.789537984674
04/2014,23545.47114194734
05/2014,24431.348347008014
06/2014,24421.347195753075
07/2014,25768.271054641908
08/2014,26215.920021621696
09/2014,24809.413308636176
10/2014,25712.28518317167
11/2014,25020.223280457005
12/2014,25133.54732791772
01/2015,27102.88269107269
02/2015,28239.695950629364
03/2015,29267.94813723169
04/2015,29381.309087914884
05/2015,29391.996610288956
06/2015,27389.249528993187
07/2015,26772.91197264699
08/2015,23718.357032404816
09/2015,23286.39096353431
10/2015,25492.742976163896
11/2015,26154.506610359076
12/2015,25719.77793773583
01/2016,23215.105019347313
02/2016,23521.352239024534
03/2016,25229.494041550664
04/2016,25466.867356998715
05/2016,25441.85670310243
06/2016,25935.864631281544
07/2016,27484.747805223735
08/2016,27633.70803442343
09/2016,27972.072228296685
10/2016,27950.687691547704
11/2016,28673.807687946737
12/2016,28936.024412306735
01/2017,29844.976294568478
02/2017,31317.73941608937
03/2017,32081.10450504654
04/2017,31727.72632360355
05/2017,31203.076667028072
06/2017,31325.538245043164
07/2017,31489.673413396205
08/2017,31116.117299426158
09/2017,31262.48177285938
10/2017,32920.736275046074
11/2017,32553.458691900865
12/2017,33511.13776218223
01/2018,33515.54340724133
02/2018,32834.9155375
03/2018,31834.106415637892
04/2018,33297.90407983157
05/2018,34016.679887012106
06/2018,33021.98472686047
07/2018,33131.76921625249
08/2018,32999.1841286731
09/2018,33155.70020982827
10/2018,30203.94421697483
11/2018,31139.270954225412
12/2018,30222.43133802147
01/2019,32551.75481868306
02/2019,33476.58799828631
03/2019,33907.71117488595
04/2019,34401.93770955611
05/2019,33013.36259985523
06/2019,34554.10594845315
07/2019,34596.62885762997
08/2019,33038.12831090674
09/2019,34361.43774227932
10/2019,34690.49115696593
11/2019,35027.66138893621
12/2019,36076.79768641191
01/2020,35528.65938227012
02/2020,33091.21961292513
03/2020,27167.702073315726
04/2020,30194.06828181291
05/2020,30005.10779797844
06/2020,32138.375454158802
07/2020,31785.741560477796
08/2020,32935.806737440354
09/2020,32455.844888492265
10/2020,32610.889177912257
11/2020,36829.69446796901
12/2020,39265.64454996674
01/2021,39886.64052265614
02/2021,40727.92908545221
03/2021,42446.97332634711
04/2021,43045.455395299185
05/2021,43084.45725085558
06/2021,44188.74054961212
07/2021,42915.541245886656
08/2021,43086.2197950647
09/2021,41310.47287119484
10/2021,42574.61834085154
11/2021,41284.037965711315
12/2021,42792.609218761056
01/2022,40406.43345015941
02/2022,41058.995539791365
03/2022,43742.80850674253
04/2022,42954.553354372176
05/2022,42912.55626270475
06/2022,39183.55277878002
07/2022,41944.7538550037
08/2022,41751.41378657648
09/2022,37703.05689540431
10/2022,37982.44751952793
11/2022,41663.44495857058
12/2022,39885.62280650871
