Data,IE00BBQ2W338
12/1987,10000
01/1988,10628.298254931717
02/1988,11039.305391614093
03/1988,11496.592063794222
04/1988,11942.500412971092
05/1988,11988.118587589217
06/1988,13528.015289638788
07/1988,14486.962588940925
08/1988,13578.289135725076
09/1988,13572.752017866997
10/1988,13927.295902665037
11/1988,13540.362164397939
12/1988,13827.878195100064
01/1989,16093.480678365073
02/1989,16187.05757015844
03/1989,16630.57058082397
04/1989,17824.471000160454
05/1989,17764.649972337134
06/1989,16783.50896638122
07/1989,17478.95874246458
08/1989,17463.28671211022
09/1989,18908.66671758079
10/1989,17901.080154730105
11/1989,18381.245780709356
12/1989,18462.696786806973
01/1990,17900.376097677483
02/1990,18362.30184477115
03/1990,18789.493731677485
04/1990,17784.95240155983
05/1990,19213.241265860797
06/1990,19793.056099575653
07/1990,20355.210909675316
08/1990,16676.160247006836
09/1990,14158.94889997581
10/1990,14612.59204085797
11/1990,13800.19243735934
12/1990,14634.739253974163
01/1991,15463.326633568326
02/1991,17077.78077319334
03/1991,19458.18847218898
04/1991,20290.463510519192
05/1991,20843.899357767237
06/1991,21020.538696943448
07/1991,21755.806583468282
08/1991,20794.265601949275
09/1991,19648.26856914038
10/1991,19919.776811834432
11/1991,19781.338707050432
12/1991,20096.853936665182
01/1992,21651.424169067224
02/1992,22907.91932830126
03/1992,23341.540319076717
04/1992,23985.798455969096
05/1992,25128.50782708433
06/1992,24858.374956382057
07/1992,23045.10271728697
08/1992,21729.297710463026
09/1992,22684.953662545253
10/1992,25742.42722293454
11/1992,26429.804423418565
12/1992,25620.728314875952
01/1993,26939.3418677491
02/1993,29240.45614558886
03/1993,29394.21899048096
04/1993,30907.869036855867
05/1993,32787.22340230117
06/1993,32851.009887467655
07/1993,34455.97780170129
08/1993,37612.25857011985
09/1993,37497.12404073556
10/1993,44910.92697051847
11/1993,45789.921603407536
12/1993,56879.05882540623
01/1994,53691.01800393522
02/1994,50392.63244020597
03/1994,43963.72012941902
04/1994,46151.84618677344
05/1994,47068.09056676804
06/1994,44227.753040265576
07/1994,45242.03406526021
08/1994,48965.991624589515
09/1994,47643.007043546335
10/1994,47622.99073476702
11/1994,43710.182737091
12/1994,43485.92581940781
01/1995,38012.17081524265
02/1995,41381.515326584966
03/1995,39948.83101123397
04/1995,38798.69071109809
05/1995,44183.9072029667
06/1995,43139.84259558163
07/1995,43295.61883923991
08/1995,42467.9155983963
09/1995,43743.222094244455
10/1995,42392.13611559853
11/1995,42021.60703551194
12/1995,44795.462919745405
01/1996,49477.889547598
02/1996,49572.74832280197
03/1996,49921.30679286296
04/1996,51737.151668947154
05/1996,51835.737250762286
06/1996,50377.955072255856
07/1996,46019.242236788865
08/1996,47231.29405911286
09/1996,48826.134677317845
10/1996,48034.48178748654
11/1996,50114.84482759141
12/1996,50879.06800556081
01/1997,53003.336756270306
02/1997,55498.346909582346
03/1997,53053.19788248065
04/1997,51960.61586081953
05/1997,54412.46816288921
06/1997,56474.399661642856
07/1997,58307.233800198046
08/1997,48906.78594996146
09/1997,47247.89000155301
10/1997,35055.660621077615
11/1997,32137.254154666636
12/1997,31515.196567389557
01/1998,29513.229123111298
02/1998,36193.514484256375
03/1998,35426.64662346716
04/1998,31550.165382154115
05/1998,26245.902777035895
06/1998,23549.072988611148
07/1998,22941.03769489034
08/1998,19308.465442845
09/1998,20383.76873323327
10/1998,24983.67434134792
11/1998,28038.546578716643
12/1998,28241.537941484057
01/1999,28200.955327434855
02/1999,28611.11312869539
03/1999,32634.27093488177
04/1999,40706.867122985845
05/1999,39385.40687115364
06/1999,46775.838072049264
07/1999,43427.11698117689
08/1999,44626.41787245903
09/1999,40683.74571099263
10/1999,43492.4591620082
11/1999,49501.76120112035
12/1999,53346.35410982981
01/2000,53541.39929932001
02/2000,51101.687161211295
03/2000,54412.42401374934
04/2000,52536.34619110085
05/2000,47120.04804301357
06/2000,48037.51441771509
07/2000,47874.16831876299
08/2000,49043.984840950376
09/2000,44051.251102011694
10/2000,42273.9622411893
11/2000,38915.82055967474
12/2000,36232.94209025896
01/2001,41140.395736417304
02/2001,39320.46323310106
03/2001,36780.99339659988
04/2001,36727.285318916125
05/2001,38211.27835044814
06/2001,37397.08373331982
07/2001,34831.07502488132
08/2001,32753.616789825173
09/2001,27612.795127058645
10/2001,29305.776047095704
11/2001,33877.16223102899
12/2001,37289.925175708304
01/2002,39600.80023740779
02/2002,39632.6922172471
03/2002,42157.395947749945
04/2002,41394.47736043026
05/2002,38938.85644813849
06/2002,34661.63553133534
07/2002,34041.41974239851
08/2002,33108.76949899477
09/2002,29252.412369195874
10/2002,30793.259685822442
11/2002,32130.903258179093
12/2002,28313.199656649977
01/2003,27766.42371224192
02/2003,26622.937456996697
03/2003,25135.07819052032
04/2003,25492.530421371997
05/2003,26074.969811276955
06/2003,28538.41474013138
07/2003,31285.000441629632
08/2003,34772.10308005193
09/2003,32746.646576640876
10/2003,35599.54297951606
11/2003,33962.7790920593
12/2003,33927.38252262414
01/2004,36934.85411381589
02/2004,38193.99211653148
03/2004,38024.61771998534
04/2004,36629.17402695802
05/2004,35028.79838342256
06/2004,34803.97516721413
07/2004,34196.521036740516
08/2004,35769.07156489601
09/2004,36125.45518774803
10/2004,35329.9921426193
11/2004,36747.850483035334
12/2004,36829.46553006504
01/2005,38816.50336378146
02/2005,40395.09941820867
03/2005,39358.69285870637
04/2005,38978.76078825242
05/2005,41918.15872286107
06/2005,43735.25394332817
07/2005,46615.921910810765
08/2005,44723.0018092332
09/2005,47584.38484630903
10/2005,44654.45454152632
11/2005,48864.50505708512
12/2005,51585.55679653081
01/2006,53853.49138899754
02/2006,54807.25964832849
03/2006,54338.17492619705
04/2006,56193.35504917419
05/2006,51043.32521365289
06/2006,51343.4129727842
07/2006,51199.322589998985
08/2006,52364.51197035102
09/2006,54740.100435788954
10/2006,55995.9979085988
11/2006,58120.85567229874
12/2006,60813.9134788178
01/2007,60855.725721467905
02/2007,60123.14250962921
03/2007,60947.383891142745
04/2007,61828.168207700604
05/2007,66040.25792007321
06/2007,69392.84057997433
07/2007,73416.56947189124
08/2007,72624.34201073354
09/2007,78396.97713758772
10/2007,84596.78428344711
11/2007,75045.94780110191
12/2007,74163.73534516834
01/2008,63279.22968367477
02/2008,66353.23860963083
03/2008,60264.16768915294
04/2008,66096.98140554757
05/2008,64603.46999602295
06/2008,56513.94084857251
07/2008,56175.69974879224
08/2008,55049.46559439852
09/2008,47417.091323598295
10/2008,40608.31610985522
11/2008,38481.74111230144
12/2008,38735.40223304154
01/2009,39629.644807525656
02/2009,37707.68277384951
03/2009,40819.75553805718
04/2009,47652.643877754555
05/2009,51130.28800505809
06/2009,50859.69786055439
07/2009,57738.89089877153
08/2009,55186.08872744881
09/2009,58388.94504689437
10/2009,57690.72437849621
11/2009,57958.039129243974
12/2009,63111.30195459847
01/2010,61099.408835770104
02/2010,63127.504857226966
03/2010,67974.93162300633
04/2010,70230.70799947424
05/2010,69568.54237930498
06/2010,70711.98530719055
07/2010,70944.49901646102
08/2010,72090.45413111032
09/2010,74125.73471089973
10/2010,74996.54909767961
11/2010,79277.23973124643
12/2010,81152.30288972537
01/2011,79623.36319667316
02/2011,75557.76423805367
03/2011,77776.9282723281
04/2011,77573.92605642551
05/2011,79304.47206003919
06/2011,76755.35906299084
07/2011,79041.53970203614
08/2011,70503.08869729973
09/2011,64952.90282541962
10/2011,70392.09677371422
11/2011,67946.81985361615
12/2011,71318.46568119575
01/2012,76888.90507551329
02/2012,79963.61346475696
03/2012,78109.78723860958
04/2012,79330.24631027321
05/2012,76579.98777386654
06/2012,77422.7509524307
07/2012,81697.35005571757
08/2012,79054.52583212499
09/2012,81950.63896971998
10/2012,81600.82801992877
11/2012,83733.08423144426
12/2012,85224.13703494529
01/2013,84077.25930238116
02/2013,87298.76763940431
03/2013,87532.23727586768
04/2013,87029.06531928075
05/2013,86487.31867931603
06/2013,81166.5397173929
07/2013,81810.01795777593
08/2013,81499.78941316987
09/2013,83953.66668884133
10/2013,86304.9600131884
11/2013,86879.10772287412
12/2013,84458.74793739969
01/2014,81760.38237536956
02/2014,82759.66095609555
03/2014,83160.9372589141
04/2014,83507.04844179029
05/2014,87979.12644869472
06/2014,89559.2133289838
07/2014,95136.83371763997
08/2014,97009.26576750673
09/2014,95249.41983388337
10/2014,97342.89786157206
11/2014,97801.85232291099
12/2014,98847.35393235747
01/2015,108232.34671716382
02/2015,110893.22019630515
03/2015,116845.86201394923
04/2015,121684.60534370942
05/2015,120545.91370353804
06/2015,113400.14036278642
07/2015,107433.4160511182
08/2015,94615.77521343066
09/2015,92794.6908891816
10/2015,102547.68989853744
11/2015,103312.15920583422
12/2015,99618.91805138512
01/2016,91613.18124189248
02/2016,91663.82188114803
03/2016,97317.14709843748
04/2016,96123.03664509801
05/2016,96596.46588353251
06/2016,99855.83639852675
07/2016,104513.53093086074
08/2016,108105.22101222147
09/2016,109877.52926688927
10/2016,110173.89697580348
11/2016,110662.86680373056
12/2016,109160.82419068697
01/2017,113801.22885982404
02/2017,119057.75221505342
03/2017,121482.90993103776
04/2017,121406.41375826547
05/2017,123721.06836831622
06/2017,123972.04885919137
07/2017,126847.94954948284
08/2017,127806.79828390057
09/2017,128341.55622831026
10/2017,135935.7806575642
11/2017,134509.66787341502
12/2017,136177.05901970036
01/2018,141585.70448390243
02/2018,137437.66437531196
03/2018,134450.57923027914
04/2018,137600.5242953055
05/2018,140523.39551105179
06/2018,133739.24282519176
07/2018,133215.31251608898
08/2018,132502.9243433157
09/2018,132704.25634324734
10/2018,120389.34498372262
11/2018,125611.879376064
12/2018,120892.67718116452
01/2019,130601.86926296206
02/2019,134425.37439177796
03/2019,137805.6473381916
04/2019,140812.66013155432
05/2019,128121.98474712291
06/2019,134950.36638813635
07/2019,135900.118674437
08/2019,131069.01886346367
09/2019,134819.1529828824
10/2019,137587.02050007563
11/2019,140159.8174779852
12/2019,147006.81549976813
01/2020,142101.94864857776
02/2020,139667.19445669767
03/2020,125101.70961249816
04/2020,136415.35932495154
05/2020,131866.06400851443
06/2020,142348.99628101868
07/2020,145770.9879725162
08/2020,149771.32748864108
09/2020,150102.15665774347
10/2020,154628.20516404414
11/2020,162978.80781020602
12/2020,169336.76446476992
01/2021,179483.53976324486
02/2021,181096.0746293727
03/2021,181382.93026068155
04/2021,181062.86776815171
05/2021,179861.42572103257
06/2021,184572.71606425225
07/2021,168686.2497133457
08/2021,171305.05275869806
09/2021,166469.35768118524
10/2021,168288.955994249
11/2021,165507.8874801381
12/2021,167693.85499037648
01/2022,164420.9713592176
02/2022,160362.6305679326
03/2022,155593.93620035306
04/2022,154352.56600715566
05/2022,154273.096792917
06/2022,152664.95925583292
07/2022,150985.55600656284
08/2022,152765.05801306947
09/2022,134753.2577271255
10/2022,121931.29578153018
11/2022,142117.786858943
12/2022,139537.84562429518
01/2023,151618.32180874032
02/2023,143479.9751373053
03/2023,145543.66148993588
04/2023,139560.3657836225
05/2023,139540.5031602308
06/2023,140462.59057204163
07/2023,147884.87487367098
08/2023,139025.61199529938
09/2023,137486.1985608609
10/2023,131541.84844348137
11/2023,136696.9366605765
12/2023,138559.90244113162
01/2024,130855.36711257238
02/2024,139290.83350844355
03/2024,143680.2036662251
