Data,IE00BCHWNQ94
06/1994,10000
07/1994,10105.366711298986
08/1994,10525.514782954
09/1994,10094.415947705238
10/1994,10196.124877079881
11/1994,9937.681972809314
12/1994,10227.9124488628
01/1995,10075.155927674308
02/1995,10284.737415207794
03/1995,10268.23671870176
04/1995,10354.547614362238
05/1995,10895.97141757007
06/1995,10863.15474024676
07/1995,11084.61429710441
08/1995,11284.757465117738
09/1995,11913.182994625404
10/1995,11830.450184741143
11/1995,12237.177766673814
12/1995,12919.83009617906
01/1996,13366.938392017857
02/1996,13528.555094917243
03/1996,13566.37413844807
04/1996,13851.732581925095
05/1996,14243.59733340664
06/1996,14241.041467190971
07/1996,13760.018977467673
08/1996,13915.654923069658
09/1996,14555.600075647768
10/1996,15241.296450892669
11/1996,15993.450151260367
12/1996,16490.310404995773
01/1997,17317.002388079858
02/1997,18431.073279347715
03/1997,18417.057394971223
04/1997,18890.521153403395
05/1997,19847.102973009427
06/1997,20857.55161477782
07/1997,22641.72705393237
08/1997,22136.543393569857
09/1997,23147.039398798126
10/1997,21744.164494494664
11/1997,21799.485638355905
12/1997,23030.52984864825
01/1998,23758.47364686036
02/1998,25330.528149050195
03/1998,27005.91611416319
04/1998,26849.757128115627
05/1998,26270.05674233045
06/1998,26573.392025181918
07/1998,26510.771459259977
08/1998,23355.20729860695
09/1998,22837.729547392595
10/1998,23431.926266818104
11/1998,25215.164299845335
12/1998,25710.86352788259
01/1999,26584.83388158514
02/1999,27017.605572065237
03/1999,28267.702242898522
04/1999,30713.489940854837
05/1999,29904.24647925929
06/1999,30877.404752926548
07/1999,29606.509002376664
08/1999,29470.377122197977
09/1999,28532.54011593169
10/1999,30162.67135076791
11/1999,31478.933649301613
12/1999,32527.325021174354
01/2000,30862.46494452813
02/2000,29900.820858058618
03/2000,32803.35578432198
04/2000,33494.86520957367
05/2000,32876.05793269013
06/2000,31682.089973551
07/2000,32726.605834844908
08/2000,34644.47521604979
09/2000,35294.36882933143
10/2000,37530.07792345466
11/2000,35793.51072632941
12/2000,35552.074309052274
01/2001,35845.52574508713
02/2001,34888.15402039889
03/2001,34815.8019266183
04/2001,36413.10093383475
05/2001,38122.23176481457
06/2001,37290.353748822105
07/2001,36161.86745724674
08/2001,34094.97796668753
09/2001,31501.205030981517
10/2001,31712.645797406352
11/2001,33304.84471266451
12/2001,34422.00363376812
01/2002,34425.051684437174
02/2002,34788.23777412777
03/2002,36324.59640678118
04/2002,35171.66636307013
05/2002,34280.21080515887
06/2002,30997.524136902226
07/2002,28770.491924757298
08/2002,28913.03747085815
09/2002,25364.71414324902
10/2002,27125.585947708856
11/2002,27917.259096969676
12/2002,26013.67052152496
01/2003,24198.534843256504
02/2003,23762.857814357256
03/2003,23303.678152360157
04/2003,25039.021037459122
05/2003,24974.97916744506
06/2003,26395.677202275907
07/2003,26640.05756411471
08/2003,27699.496132109125
09/2003,26219.314677246322
10/2003,27617.061565740958
11/2003,27413.02420664035
12/2003,28109.104299471317
01/2004,28755.47353907563
02/2004,29455.514607053727
03/2004,29491.306199493763
04/2004,29837.478717732443
05/2004,29543.04940860696
06/2004,30113.008102009353
07/2004,30250.727584193784
08/2004,30650.026754845927
