Data,IE00BD34DK07
03/2006,10000
04/2006,10109.104245881188
05/2006,9799.972910598799
06/2006,9792.10465215757
07/2006,9829.053291072965
08/2006,10038.654312631183
09/2006,10279.75048436038
10/2006,10592.501360758757
11/2006,10766.284672046588
12/2006,10900.06907224381
01/2007,11048.679349350383
02/2007,10819.567406129016
03/2007,10923.461891786254
04/2007,11380.2908897017
05/2007,11766.299778925053
06/2007,11556.274303863864
07/2007,11188.506544560463
08/2007,11342.288022807028
09/2007,11731.706995973705
10/2007,11903.764802011523
11/2007,11405.077868361768
12/2007,11315.705756727553
01/2008,10636.980976002422
02/2008,10306.211986088194
03/2008,10270.996249681766
04/2008,10788.737984576812
05/2008,10940.149183423084
06/2008,10047.094901414583
07/2008,9972.712856661557
08/2008,10139.955960955547
09/2008,9206.934760044009
10/2008,7461.684679481025
11/2008,6935.282908401489
12/2008,7003.6142893692295
01/2009,6371.806340513159
02/2009,5688.950614136366
03/2009,6165.804710059496
04/2009,6756.3292261064325
05/2009,7109.686268774141
06/2009,7124.322113058495
07/2009,7655.989478147206
08/2009,7927.235230166571
09/2009,8215.918248797001
10/2009,8063.375365353176
11/2009,8537.823735825816
12/2009,8709.565504862432
01/2010,8384.858204181957
02/2010,8648.407959102207
03/2010,9173.628051417478
04/2010,9319.12828379173
05/2010,8514.20639297927
06/2010,8061.4547308511355
07/2010,8589.763952014135
08/2010,8190.825431961454
09/2010,8870.167810727831
10/2010,9202.06142066472
11/2010,9205.012078997219
12/2010,9801.318282256905
01/2011,10027.276272514924
02/2011,10370.230853911953
03/2011,10376.626126419857
04/2011,10674.37642198319
05/2011,10556.725560931778
06/2011,10388.315985902382
07/2011,10182.38738975492
08/2011,9635.276565772025
09/2011,8910.318556577324
10/2011,9847.572346296212
11/2011,9826.184659135219
12/2011,9925.328815558727
01/2012,10362.625495558219
02/2012,10798.674528989359
03/2012,11152.381590037512
04/2012,11078.396717420725
05/2012,10362.304289121577
06/2012,10775.045214624408
07/2012,10924.649548314797
08/2012,11159.05914527209
09/2012,11436.280140383615
10/2012,11221.069415541628
11/2012,11280.836994309706
12/2012,11376.386896766919
01/2013,11943.50513691633
02/2013,12107.719263568222
03/2013,12565.114751173063
04/2013,12796.057806402936
05/2013,13095.68477682676
06/2013,12915.925342106293
07/2013,13555.325386036391
08/2013,13156.073400352749
09/2013,13554.249983452968
10/2013,14171.040476577658
11/2013,14598.702156462794
12/2013,14961.423801039013
01/2014,14430.343321376839
02/2014,15072.110014694716
03/2014,15196.632266804694
04/2014,15306.499842180112
05/2014,15670.007195986831
06/2014,15990.898771325541
07/2014,15760.318628855752
08/2014,16396.346699681733
09/2014,16150.8464910403
10/2014,16542.307156051862
11/2014,16983.237410868343
12/2014,16933.32312771123
01/2015,16379.540561277865
02/2015,17319.683116801938
03/2015,17021.54289456227
04/2015,17180.212707711948
05/2015,17394.429234695835
06/2015,17053.90888256088
07/2015,17404.351733361345
08/2015,16356.936344787455
09/2015,15939.836809111901
10/2015,17290.572868148454
11/2015,17336.35908860245
12/2015,17051.71164043788
01/2016,16184.944191622559
02/2016,16148.467647905265
03/2016,17184.530889606092
04/2016,17232.34537559937
05/2016,17535.791464949234
06/2016,17557.91195148737
07/2016,18176.900696612196
08/2016,18178.713119396965
09/2016,18154.654532706067
10/2016,17789.034376504445
11/2016,18446.901105680514
12/2016,18776.053563126978
01/2017,19088.774982930787
02/2017,19839.859143104357
03/2017,19829.714688992735
04/2017,20001.39253656966
05/2017,20238.837877315615
06/2017,20324.49263172599
07/2017,20690.923088031028
08/2017,20713.30778141463
09/2017,21106.328890888537
10/2017,21569.847716573226
11/2017,22175.096246823105
12/2017,22364.434690645758
01/2018,23551.630705566815
02/2018,22621.513512817226
03/2018,21992.797875356104
04/2018,22031.71599292467
05/2018,22518.222835969962
06/2018,22597.722082099583
07/2018,23382.150238993363
08/2018,24089.178434599104
09/2018,24168.445904710417
10/2018,22408.719006840587
11/2018,22808.66171536757
12/2018,20692.218180396554
01/2019,22285.158082489423
02/2019,22952.415621660177
03/2019,23339.927982233527
04/2019,24224.244165292253
05/2019,22607.627702514215
06/2019,24108.093824316795
07/2019,24401.019937479028
08/2019,23940.64627275422
09/2019,24330.83377189066
10/2019,24781.070239436955
11/2019,25638.802668293072
12/2019,26330.616519535746
01/2020,26266.153873599153
02/2020,24029.40057183258
03/2020,21007.34762405884
04/2020,23674.07983562561
05/2020,24766.125802468247
06/2020,25231.860763266082
07/2020,26543.72926750807
08/2020,28405.143210846
09/2020,27281.736565498406
10/2020,26530.509749297893
11/2020,29345.001803013973
12/2020,30411.468335395053
01/2021,30074.112899375054
02/2021,30879.536151579377
03/2021,32233.007875211533
04/2021,33882.225154561136
05/2021,34094.197875531754
06/2021,34885.186931098295
07/2021,35685.15213432071
08/2021,36745.81859315779
09/2021,34974.43745758245
10/2021,37400.52942968836
11/2021,37098.5154168148
12/2021,38690.853587113554
01/2022,36629.36869676209
02/2022,35506.41077412453
03/2022,36783.597497391354
04/2022,33321.66478343819
05/2022,33349.19031780633
06/2022,30461.181063906653
07/2022,33263.441253572906
08/2022,31820.51424080287
09/2022,28740.852326075594
10/2022,30983.37406307498
11/2022,32590.38467154229
12/2022,30655.411568556985
01/2023,32476.602759165336
02/2023,31611.564580341757
03/2023,32680.0459541929
04/2023,33116.651222782144
05/2023,33210.54150934535
06/2023,35296.372723293185
07/2023,36350.643704821436
08/2023,35697.30184985558
09/2023,33886.56836416867
10/2023,33123.47056405323
11/2023,36003.937507448616
12/2023,37561.76124871335
01/2024,38142.987295546125
02/2024,40128.193649825735
03/2024,41364.40505798431
04/2024,39600.257432300095
