Data,IE00BD4TXS21
12/1978,10000
01/1979,10607.069347433475
02/1979,10294.218530569764
03/1979,10880.423377290908
04/1979,11005.655799945645
05/1979,10915.483723558613
06/1979,11206.624426868739
07/1979,10927.716895398675
08/1979,11506.170109112398
09/1979,11365.29519855605
10/1979,10683.996858189976
11/1979,11083.326983973326
12/1979,11012.455770567412
01/1980,11562.048181474294
02/1980,11552.291535063065
03/1980,11090.077150168549
04/1980,11710.891471340745
05/1980,11743.88120085333
06/1980,11948.016873673276
07/1980,12583.760532102617
08/1980,12922.535765399738
09/1980,13217.072757338774
10/1980,13892.25186759169
11/1980,15879.42321726135
12/1980,15810.323570590326
01/1981,15269.194974195907
02/1981,16655.143907144487
03/1981,17222.311892582038
04/1981,17352.691218600256
05/1981,18361.31530796562
06/1981,19026.41917100616
07/1981,19750.62841058706
08/1981,19128.762213871127
09/1981,17401.951118171237
10/1981,17725.140231251586
11/1981,18302.771444130554
12/1981,18063.356996648206
01/1982,18131.5192837336
02/1982,17768.13828764033
03/1982,17994.31148830354
04/1982,19073.724205316023
05/1982,17811.6124862484
06/1982,18609.077650226132
07/1982,18669.174559248957
08/1982,21095.546036946376
09/1982,21574.967086804936
10/1982,24264.01008188022
11/1982,25629.684043163717
12/1982,25018.733257516153
01/1983,25838.309426941956
02/1983,26874.269619106173
03/1983,27948.804346813384
04/1983,30582.352324143452
05/1983,30301.41431413192
06/1983,32444.191974649697
07/1983,31822.839248021
08/1983,33530.47257383054
09/1983,33992.42999415795
10/1983,33060.574710260706
11/1983,34679.61047365576
12/1983,35369.05943711626
01/1984,35765.51155964523
02/1984,33236.27537720687
03/1984,32650.34006344403
04/1984,33578.21181024008
05/1984,32878.9031874306
06/1984,33578.084997648126
07/1984,34581.593352417985
08/1984,38776.45949973835
09/1984,40678.21675330055
10/1984,41635.342440180175
11/1984,40156.34088370058
12/1984,42801.3716178555
01/1985,47374.39585941903
02/1985,49728.605889291786
03/1985,49982.31033494119
04/1985,46427.39408334605
05/1985,49652.86508195568
06/1985,49508.85532836685
07/1985,46958.48346951588
08/1985,44940.46812317845
09/1985,44229.46014392612
10/1985,43401.01849666619
11/1985,45524.55093450368
12/1985,46746.28516255001
01/1986,46071.87971215402
02/1986,47614.7234253389
03/1986,48888.46578191059
04/1986,48464.03075075963
05/1986,49967.07266816309
06/1986,50824.56657530349
07/1986,46703.96526913667
08/1986,48653.23480965291
09/1986,44169.86018411057
10/1986,46160.106139670075
11/1986,47730.72766222798
12/1986,45867.65661447025
01/1987,48843.15163601112
02/1987,49705.460062064674
03/1987,50963.0481562817
04/1987,49845.05292593826
05/1987,49520.54398643929
06/1987,53019.921690343435
07/1987,56344.84291003327
08/1987,59020.671871834486
09/1987,56257.03421440472
10/1987,43996.00120839131
11/1987,37843.08405508606
12/1987,39277.38127911253
01/1988,41390.27426865139
02/1988,44369.43855961557
03/1988,42302.639987214025
04/1988,42435.012050859514
05/1988,43220.15534104189
06/1988,46911.128322096694
07/1988,49120.7116553762
08/1988,48535.03902836402
09/1988,50238.85149324338
10/1988,50495.31077590458
11/1988,47744.60435041272
12/1988,48574.38439889217
01/1989,54338.70709027713
02/1989,53358.784529936616
03/1989,54921.27067404703
04/1989,58222.029134515935
05/1989,63061.76792604981
06/1989,63954.17015344737
07/1989,66767.38588251742
08/1989,68820.77279910419
09/1989,69722.05659482737
10/1989,65572.02756953068
11/1989,65964.46482289779
12/1989,64671.45105190592
01/1990,58699.4137242076
02/1990,58779.85238798043
03/1990,61222.216667745764
04/1990,59204.455660273125
05/1990,63619.67379708041
06/1990,63810.26675830207
07/1990,61787.375415655144
08/1990,53662.76540793249
09/1990,51257.25329572825
10/1990,49601.08396418931
11/1990,51812.46586806684
12/1990,53880.85002573529
01/1991,56589.65440926562
02/1991,59492.36614732813
03/1991,66330.19737379001
04/1991,70136.39128616171
05/1991,74024.55439793602
06/1991,73263.1976996451
07/1991,76789.39033690671
08/1991,76915.65023002315
09/1991,73519.00249771889
10/1991,74683.35185182578
11/1991,68979.76815480686
12/1991,74412.55259949116
01/1992,73681.67202230211
02/1992,76164.61971139426
03/1992,76752.38369482761
04/1992,78279.18070699756
05/1992,77090.01026702892
06/1992,73733.93600202062
07/1992,73149.03213789364
08/1992,69588.86448070557
09/1992,71964.39576890273
10/1992,75409.30001119491
11/1992,83013.94894585374
12/1992,83868.5384891153
01/1993,86251.22861825103
02/1993,89555.21958278684
03/1993,91841.72857710313
04/1993,86751.82838423281
05/1993,89182.95957922265
06/1993,92063.868790463
07/1993,95858.00366094467
08/1993,100071.77073308449
09/1993,95140.16172268109
10/1993,97943.49505585355
11/1993,99888.9990107904
12/1993,101049.2076187794
01/1994,106139.89754208215
02/1994,102757.46760528303
03/1994,96274.6411900323
04/1994,97926.42962825751
05/1994,97415.4121377031
06/1994,93141.36514000241
07/1994,93323.27808138082
08/1994,97113.15806208673
09/1994,94045.1960353815
10/1994,94373.80547549011
11/1994,92514.86386978644
12/1994,95802.39696305161
01/1995,96443.06073166963
02/1995,99159.89471780394
03/1995,97871.91793703607
04/1995,99024.66117729948
05/1995,104493.65068880703
06/1995,106182.89615041469
07/1995,108525.49234665289
08/1995,111831.98631742003
09/1995,118360.38280493632
10/1995,116476.0498471704
11/1995,121872.0469434696
12/1995,125685.81388922819
01/1996,131763.40668734015
02/1996,133913.46516260807
03/1996,135196.7751999233
04/1996,138379.59181248772
05/1996,143811.78699746044
06/1996,143551.53960862992
07/1996,135163.496628611
08/1996,136951.0593914375
09/1996,145890.1921832597
10/1996,150098.7633994298
11/1996,159385.01187012752
12/1996,159840.7549341088
01/1997,175449.17317977617
02/1997,184402.44473077438
03/1997,178207.3692484353
04/1997,190995.4117173579
05/1997,201211.3452275777
06/1997,212759.5866953413
07/1997,235986.91344798624
08/1997,228325.04596794714
09/1997,233961.48888003858
10/1997,223467.36645562976
11/1997,229482.22829401703
12/1997,239174.1052671848
01/1998,247844.23290476418
02/1998,264663.6293845822
03/1998,279428.7077872572
04/1998,280802.01679751294
05/1998,270986.7014439533
06/1998,284698.6040356809
07/1998,282558.0566952337
08/1998,242243.98596382773
09/1998,246130.96542401827
10/1998,255392.4699178569
11/1998,280636.8422845481
12/1998,295307.22907084826
01/1999,318109.9942178671
02/1999,319470.70008316723
03/1999,341277.322429606
04/1999,358431.24980380724
05/1999,354778.48873765033
06/1999,378463.10437813686
07/1999,353627.8723783963
08/1999,355384.2176892489
09/1999,341825.0319486865
10/1999,371536.75940122805
11/1999,392850.468148733
12/1999,422343.8426626026
01/2000,410093.3302701565
02/2000,403479.5676657736
03/2000,451197.20615347696
04/2000,459050.1128019605
05/2000,436393.90814915707
06/2000,434991.0191768696
07/2000,441641.5236823417
08/2000,482143.8908280065
09/2000,463204.4903286656
10/2000,478876.1512271875
11/2000,427447.18665576563
12/2000,398255.7480274034
01/2001,413305.5185613984
02/2001,378155.483957838
03/2001,370680.26852305577
04/2001,397537.16704194277
05/2001,418559.1112719227
06/2001,408931.58155037556
07/2001,392345.30171082873
08/2001,350125.4359831969
09/2001,324273.86292664247
10/2001,332222.6769034396
11/2001,363579.5256099796
12/2001,369376.4682485214
01/2002,371545.265781879
02/2002,363657.6229354073
03/2002,374019.07098079764
04/2002,338690.4447258203
05/2002,322558.8104018131
06/2002,280374.3393808419
07/2002,265293.0468338783
08/2002,265169.5975063804
09/2002,234572.3398821648
10/2002,255749.17736466991
11/2002,269393.18335995864
12/2002,239576.46553532672
01/2003,226651.50439790808
02/2003,223879.22873546352
03/2003,223594.40915567923
04/2003,237112.51010003494
05/2003,235204.37651397267
06/2003,246323.39145909873
07/2003,253285.08115543445
08/2003,267241.4920141479
09/2003,247689.2437811526
10/2003,262474.98787386634
11/2003,256766.02376484213
12/2003,256476.70811362632
01/2004,266280.4277916256
02/2004,268742.35562224523
03/2004,268640.0585838372
04/2004,270617.10864114825
05/2004,268542.67449343187
06/2004,274552.417736701
07/2004,267727.59306982334
08/2004,267467.3899395711
09/2004,263879.3638119648
10/2004,260984.70851228174
11/2004,260282.29908592996
12/2004,262928.0041444204
01/2005,267915.5784509868
02/2005,268891.73881596484
03/2005,270546.0482387854
04/2005,265769.798082672
05/2005,288360.32317905006
06/2005,294763.09552571183
07/2005,305778.83255022933
08/2005,300296.11517421016
09/2005,306757.88857706165
10/2005,302166.4741898644
11/2005,321125.8121118509
12/2005,320506.11127996474
01/2006,320494.9964457469
02/2006,327347.8090579363
03/2006,325235.40503701905
04/2006,318103.9809420017
05/2006,300713.5606152353
06/2006,304686.2697615336
07/2006,304375.07073964464
08/2006,309654.69446215767
09/2006,322292.4645046386
10/2006,332323.6176633974
11/2006,325938.92069888423
12/2006,330610.97221215157
01/2007,342176.6298936008
02/2007,329343.5545611126
03/2007,330192.56923730305
04/2007,337043.9652951021
05/2007,352749.2592639996
06/2007,345474.5076298708
07/2007,329807.00358353386
08/2007,334825.4974750145
09/2007,335877.6987562627
10/2007,335163.1618263557
11/2007,314147.64162132377
12/2007,313166.02803284855
01/2008,291175.8176622538
