Data,IE00BD5FCF91
03/2005,10000
04/2005,9927.65485077829
05/2005,10295.694999954203
06/2005,10678.993910933319
07/2005,10808.725686519223
08/2005,11025.863319165068
09/2005,11423.644181268108
10/2005,11159.05782848069
11/2005,11481.62875835486
12/2005,11827.615982969259
01/2006,12239.501925460661
02/2006,12437.003456642067
03/2006,12588.105648785322
04/2006,12803.37353474472
05/2006,12319.933830797168
06/2006,12451.620659341228
07/2006,12770.903371408096
08/2006,13054.783961980713
09/2006,13139.70985704419
10/2006,13728.54585755921
11/2006,13588.890452199972
12/2006,14096.50896855639
01/2007,14240.722083083543
02/2007,13968.830390840649
03/2007,14325.749147188264
04/2007,14602.84288174151
05/2007,15073.974083080253
06/2007,15099.200378963555
07/2007,14593.028779919525
08/2007,14496.18361124531
09/2007,14312.978012513242
10/2007,14972.725486604428
11/2007,13890.927149476653
12/2007,13538.17159282291
01/2008,12188.988497778822
02/2008,11974.68111690713
03/2008,11248.736810896715
04/2008,12130.90880868638
05/2008,12081.080105095147
06/2008,11155.505048638293
07/2008,10808.311598018146
08/2008,11080.902022246491
09/2008,9787.964016825257
10/2008,8675.083246956227
11/2008,8091.829789999592
12/2008,7277.459493921202
01/2009,7372.915638059669
02/2009,6881.97497889326
03/2009,6826.948810644117
04/2009,7770.150934002251
05/2009,8270.759782719511
06/2009,8221.66617760511
07/2009,8898.485309808915
08/2009,9294.234221247627
09/2009,9369.62660208908
10/2009,9397.170706188432
11/2009,9466.6504530694
12/2009,10157.84982134997
01/2010,10044.851343136113
02/2010,10040.17630657565
03/2010,10782.91273315858
04/2010,10910.950935828521
05/2010,10408.861329179696
06/2010,10322.766513585559
07/2010,10890.421661999491
08/2010,10903.70122421596
09/2010,11116.953564902447
10/2010,11348.406184226176
11/2010,11513.364102676584
12/2010,11976.385027613724
01/2011,12009.501064115071
02/2011,12384.34573079377
03/2011,11798.49739787435
04/2011,12084.059215127505
05/2011,12198.355192222969
06/2011,11744.851342189184
07/2011,11881.650342576651
08/2011,10905.633017864284
09/2011,10673.86835884932
10/2011,11480.4472980565
11/2011,11532.201339627258
12/2011,11889.582091768514
01/2012,12313.811092979051
02/2012,12712.956245656767
03/2012,12650.642862467243
04/2012,12893.679961183414
05/2012,12198.591714127548
06/2012,12703.01428850222
07/2012,13247.951981005108
08/2012,13401.225322237937
09/2012,13485.130407540579
10/2012,13490.356120231365
11/2012,13600.753848821507
12/2012,13656.74192418434
01/2013,13833.620590005788
02/2013,14057.589724772099
03/2013,14541.622384323462
04/2013,14606.746628867995
05/2013,14875.62686975351
06/2013,14126.161235051753
07/2013,14757.068156586003
08/2013,14776.862655063005
09/2013,15252.346845542266
10/2013,15701.036122049692
11/2013,15885.832197405743
12/2013,16133.905752028162
01/2014,15877.148216860907
02/2014,16631.62614558896
03/2014,16146.59040393262
04/2014,16607.558043120716
05/2014,16986.364032367106
06/2014,17040.76687178932
07/2014,17154.182107049604
08/2014,17515.244731134808
09/2014,17335.474190956906
10/2014,17113.50611464324
11/2014,17352.064992610824
12/2014,17429.833558611703
01/2015,18534.601229840882
02/2015,19849.13959168178
03/2015,19634.632578867953
04/2015,20075.666954776843
05/2015,20994.445453012246
06/2015,19718.740048361244
07/2015,20241.183541643775
08/2015,18527.720956392437
09/2015,17559.820403744565
10/2015,19310.529927709566
11/2015,19738.29723827867
12/2015,18623.244838178136
01/2016,16996.066798401112
02/2016,17135.178645608077
03/2016,17217.940801822464
04/2016,17593.52907366352
05/2016,18128.20528327446
06/2016,17056.57868301619
07/2016,17604.504906008064
08/2016,17765.378312415953
09/2016,17777.972046024035
10/2016,17191.563319262772
11/2016,17926.80400934565
12/2016,18533.764206473217
01/2017,18485.463107377564
02/2017,19183.50063868277
03/2017,19400.513463897118
04/2017,19604.104001479922
05/2017,19778.128959417412
06/2017,19123.24984414427
07/2017,18943.490425970424
08/2017,18672.554048223465
09/2017,19414.92780025551
10/2017,19878.9493202898
11/2017,19470.535116773237
12/2017,20277.602035380838
01/2018,20212.413988953485
02/2018,19271.090049124734
03/2018,19105.284917409932
04/2018,20304.070766917477
05/2018,20872.336490795795
06/2018,20681.81791179003
07/2018,20740.287006794795
08/2018,20116.634251649844
09/2018,20432.191874846787
10/2018,19362.197761312505
11/2018,19034.917034884398
12/2018,18145.551730734624
01/2019,19416.50533075515
02/2019,20210.722318516604
03/2019,20617.157787325097
04/2019,21218.08259791783
05/2019,20031.32800650749
06/2019,20478.620765789317
07/2019,20540.705451134483
08/2019,19976.689986166053
09/2019,20940.57469838742
10/2019,21231.398099829996
11/2019,21954.615166476542
12/2019,22712.112229522616
01/2020,22243.956002470128
02/2020,19767.08547527577
03/2020,16360.281746900604
04/2020,17464.50862861109
05/2020,17406.46608820981
06/2020,17530.2552147019
07/2020,17066.859813367002
08/2020,17637.812538553866
09/2020,17014.687993673022
10/2020,16520.700709796773
11/2020,18702.600519690594
12/2020,19361.799921331596
01/2021,19491.60802048335
02/2021,20261.54488084306
03/2021,21473.653919971643
04/2021,21895.573923595297
05/2021,22428.714122184847
06/2021,22486.830844679982
07/2021,22761.116302871138
08/2021,23221.16230798351
09/2021,22887.381979709808
10/2021,23786.134610349185
11/2021,23043.75717456926
12/2021,24453.6524227136
01/2022,24520.54795109592
02/2022,23582.337453516066
03/2022,24505.131224875942
04/2022,24381.781925724954
05/2022,24475.222297912715
06/2022,22750.78856351648
07/2022,24112.854703963323
08/2022,23228.5484015642
09/2022,21211.352105917205
10/2022,22651.732285250404
11/2022,24145.95192070584
12/2022,23202.99042003006
