Data,IE00BD8PGZ49
12/2004,10000
01/2005,10343.49868867372
02/2005,10210.961700582602
03/2005,10137.768204267153
04/2005,10534.349181207517
05/2005,10858.741840367398
06/2005,11076.324781981615
07/2005,10741.955198358133
08/2005,11106.25078067962
09/2005,10701.658287017206
10/2005,10468.446989305676
11/2005,10542.169118040358
12/2005,10839.685350266624
01/2006,10701.65422988009
02/2006,10829.903177333585
03/2006,10333.007632958625
04/2006,10041.577376121546
05/2006,10049.25249547085
06/2006,10144.502669796138
07/2006,10353.790182165665
08/2006,10688.971742393871
09/2006,10886.91708192843
10/2006,10984.032730154433
11/2006,11241.164372417581
12/2006,10925.839960075908
01/2007,10809.338948266899
02/2007,11191.251678722852
03/2007,10990.09173131136
04/2007,11085.887671273967
05/2007,10841.694017287253
06/2007,10727.15154626833
07/2007,11067.642365207003
08/2007,11275.303093386085
09/2007,11307.35264824654
10/2007,11489.62461074952
11/2007,12092.279509002738
12/2007,12036.558335548034
01/2008,12289.230094299885
02/2008,12249.937694222725
03/2008,12484.812619690454
04/2008,12179.39214879365
05/2008,11853.601952085588
06/2008,12156.83882803042
07/2008,12078.92847243961
08/2008,12446.692084086215
09/2008,12652.071775704972
10/2008,12418.853597984782
11/2008,14186.489636104296
12/2008,16084.982526924667
01/2009,13978.33273662838
02/2009,13761.272652541833
03/2009,14337.766583747325
04/2009,13352.079796421982
05/2009,12867.767993900638
06/2009,12986.344278133029
07/2009,13028.575634673452
08/2009,13341.703845882806
09/2009,13665.307697131326
10/2009,13327.797387798679
11/2009,13467.625864809394
12/2009,12623.930844522583
01/2010,12956.06879525996
02/2010,12964.7485858228
03/2010,12646.295426153662
04/2010,13067.07631456045
05/2010,13746.050302667983
06/2010,14502.138842927065
07/2010,14410.264120234337
08/2010,15577.37555011455
09/2010,15222.173181983495
10/2010,14516.228840555335
11/2010,14331.582343863876
12/2010,13797.152946726925
01/2011,13374.770518041698
02/2011,13573.350153834308
03/2011,13579.865662414171
04/2011,13846.899901390585
05/2011,14356.418908020829
06/2011,14028.868171633514
07/2011,14670.688890485746
08/2011,16128.176835464941
09/2011,18123.835217075903
10/2011,17316.15094636644
11/2011,17842.99253679606
12/2011,18456.847274168987
01/2012,18382.426427959035
02/2012,17963.56798221796
03/2012,17215.740746417276
04/2012,18006.505325791248
05/2012,19527.268172057116
06/2012,19246.58140863547
07/2012,19953.18858762655
08/2012,19695.482182027812
09/2012,19231.51944634514
10/2012,19213.08336753618
11/2012,19476.185782979454
12/2012,19064.659956454678
01/2013,18317.832523941695
02/2013,18547.49247538462
03/2013,18504.641977953266
04/2013,19328.09996862247
05/2013,18005.48392106172
06/2013,17431.311095695557
07/2013,17047.917844707423
08/2013,16928.453984501964
09/2013,16946.246049103214
10/2013,17183.820595532547
11/2013,16729.101435279837
12/2013,16394.497536533243
01/2014,17368.546764209827
02/2014,17520.34957607585
03/2014,17657.516392626098
04/2014,18041.58309664888
05/2014,18584.4078085041
06/2014,18543.7424728207
07/2014,18672.828416144555
08/2014,19486.44334506895
09/2014,19096.39896737917
10/2014,19645.237132327882
11/2014,20219.696030564446
12/2014,20866.875126047915
01/2015,22855.86021626755
02/2015,21475.14828356513
03/2015,21739.68506505531
04/2015,21016.51330287176
05/2015,20622.575027108367
06/2015,19770.87223142181
07/2015,20496.268042785414
08/2015,20507.529069081327
09/2015,20809.582460532078
10/2015,20700.686718096324
11/2015,20519.060943017445
12/2015,20512.099486063795
01/2016,21586.92666176704
02/2016,22265.029499659053
03/2016,22249.843348596576
04/2016,22122.629242109422
05/2016,22321.32840059284
06/2016,23800.83983904631
07/2016,24322.377404226674
08/2016,24088.941773723465
09/2016,23662.81631239311
10/2016,22652.18907952852
11/2016,20906.244032528542
12/2016,20788.304698183205
01/2017,20867.924018154303
02/2017,21204.82169676724
03/2017,21077.76912923192
04/2017,21407.730186350927
05/2017,21849.688537020407
06/2017,21953.130662470445
07/2017,21796.113241933417
08/2017,22581.148881183275
09/2017,22071.94291724315
10/2017,22059.701605779275
11/2017,22232.204832218984
12/2017,22635.491242426113
01/2018,21881.920435580476
02/2018,21204.767060376616
03/2018,21869.266001238062
04/2018,21435.813716316185
05/2018,21904.50281724181
06/2018,21952.93378849621
07/2018,21604.884126726527
08/2018,21951.93435858658
09/2018,21280.201436093987
10/2018,20599.806530633672
11/2018,20986.92138890498
12/2018,22165.15197722948
01/2019,22300.284101167606
02/2019,22023.856072746446
03/2019,23206.08562318843
04/2019,22771.27482331762
05/2019,24310.056905367106
06/2019,24621.392561594854
07/2019,24662.71597513328
08/2019,27347.49179182042
09/2019,26620.254606797724
10/2019,26373.5227581392
11/2019,26243.95978053839
12/2019,25485.164757268707
01/2020,27284.402200723755
02/2020,29159.304360690556
03/2020,31208.414876275525
04/2020,31571.476349974073
05/2020,30926.446496450677
06/2020,30982.461021793406
07/2020,32346.6335101367
08/2020,30865.947743484434
09/2020,31023.814260464813
10/2020,30061.16736827057
11/2020,30443.29895256199
12/2020,30059.28003081694
