Data,IE00BDDRF700
09/2013,10000
10/2013,9844.485078337986
11/2013,10157.636435405833
12/2013,10407.25005696966
01/2014,10563.554728202605
02/2014,10936.07998043767
03/2014,10483.254340214315
04/2014,9965.28086995775
05/2014,10359.017990061191
06/2014,10817.789007055298
07/2014,10809.939213012769
08/2014,11399.091855092076
09/2014,11676.462688902426
10/2014,12041.868300803855
11/2014,12435.282147675694
12/2014,12777.314339931603
01/2015,13734.31588252724
02/2015,15093.06255337252
03/2015,15824.412158075362
04/2015,15638.753586154642
05/2015,16801.568482574752
06/2015,15864.919138628742
07/2015,15912.202649038527
08/2015,14397.879646923744
09/2015,13952.916189972639
10/2015,15540.294932533037
11/2015,16506.39534310916
12/2015,15755.622280000216
01/2016,13677.853485031588
02/2016,13774.23303327664
03/2016,14267.782040451955
04/2016,14375.240323337453
05/2016,15334.635316562053
06/2016,15282.742055440907
07/2016,16477.008822628613
08/2016,16807.730404593745
09/2016,17485.118178357923
10/2016,17138.99774463864
11/2016,18273.00954278757
12/2016,18045.079509987598
01/2017,19069.610478302482
02/2017,20126.62314124666
03/2017,20206.44959365901
04/2017,20250.28456638217
05/2017,20206.837294078912
06/2017,20184.586319701077
07/2017,20335.28494314524
08/2017,21175.171130537216
09/2017,22062.21982635415
10/2017,23121.006705819007
11/2017,22485.21318918125
12/2017,22308.664995088537
01/2018,23506.373816301122
02/2018,24020.004879969645
03/2018,23223.405612333976
04/2018,23405.732297500726
05/2018,24900.258556987836
06/2018,24551.249452568674
07/2018,24399.89408364959
08/2018,25038.18073902301
09/2018,24785.570563233472
10/2018,22502.916601673383
11/2018,22930.136921226043
12/2018,21092.424492013397
01/2019,23472.982490169765
02/2019,24912.122485361608
03/2019,25729.41674413904
04/2019,26490.89890834289
05/2019,23811.003063735425
06/2019,25410.6468626775
07/2019,26490.312624129194
08/2019,25584.13685735451
09/2019,26135.450762296008
10/2019,26295.557963213218
11/2019,28010.440172952975
12/2019,28500.07488412915
01/2020,29274.275565215954
02/2020,27985.320709629963
03/2020,24984.375038758266
04/2020,28787.929632759104
05/2020,30137.16620619601
06/2020,32020.426871950378
07/2020,33294.77696922137
08/2020,34946.12483801889
09/2020,35287.162006264865
10/2020,35272.023075738834
11/2020,39780.28411310212
12/2020,41810.563346484305
01/2021,44041.38517824602
02/2021,46871.72025873538
03/2021,47776.75220581102
04/2021,47719.08944170788
05/2021,45665.395445622875
06/2021,49103.58427212563
07/2021,48191.10972376945
08/2021,50243.211461537256
09/2021,47418.82288441658
10/2021,52007.45827252724
11/2021,52332.06057968067
12/2021,49139.387699846135
01/2022,42897.5292269088
02/2022,42123.339009324074
03/2022,41698.05455060094
04/2022,37339.153753914274
05/2022,35819.886668624014
06/2022,33654.37915610604
07/2022,36428.11477654395
08/2022,35750.416436997824
09/2022,32139.688092803404
10/2022,32395.617228603
11/2022,31575.3957650133
12/2022,28537.233097357006
01/2023,32578.478891536564
02/2023,32474.889616887227
03/2023,34030.49789161766
04/2023,32908.82360196295
05/2023,35966.03630137164
06/2023,37467.621582727355
07/2023,40283.492453943625
08/2023,36534.91177774207
09/2023,34978.62430345379
10/2023,32964.960204662224
11/2023,36339.47997924357
12/2023,40327.28917057296
01/2024,37983.78876471043
02/2024,41376.71613654749
03/2024,42153.77867307253
04/2024,39234.099734655116
