Data,IE00BF2B0K52
10/2003,10000
11/2003,9999.590087902168
12/2003,10517.616655429305
01/2004,10862.698426395182
02/2004,11225.951879037815
03/2004,11659.774357908673
04/2004,11019.803472096366
05/2004,10468.488659389162
06/2004,10748.034766115052
07/2004,11024.175049985004
08/2004,11294.704940804208
09/2004,11799.011450960716
10/2004,11860.525776119466
11/2004,12617.741884501187
12/2004,12906.468753886902
01/2005,13556.095722454775
02/2005,14352.090335688534
03/2005,13794.17479495195
04/2005,13500.471291227806
05/2005,14490.468130374446
06/2005,15256.88860283415
07/2005,16251.68192620993
08/2005,16264.757863026363
09/2005,17852.24791094007
10/2005,16586.602200123954
11/2005,18206.784249825963
12/2005,19349.279051502213
01/2006,20952.9092735815
02/2006,21431.452519590577
03/2006,21646.683949217193
04/2006,22153.85485315548
05/2006,19140.4628095118
06/2006,19034.20979748703
07/2006,19344.128216940375
08/2006,19578.396374172706
09/2006,20086.239592538754
10/2006,21224.945371090973
11/2006,21704.532770248334
12/2006,22440.964881412798
01/2007,23068.424081144927
02/2007,22810.821704619513
03/2007,23593.773103090185
04/2007,24655.55581741873
05/2007,26453.351735825578
06/2007,27182.164376681063
07/2007,28100.422049012457
08/2007,27449.258479555254
09/2007,29470.67537193726
10/2007,31583.505465712846
11/2007,28647.114424932824
12/2007,28709.83865261366
01/2008,25586.229287740167
02/2008,27317.547309546186
03/2008,25383.764997473485
04/2008,27436.087826135376
05/2008,27638.16792595772
06/2008,25067.756715873078
07/2008,24390.56259452391
08/2008,24429.253063195072
09/2008,21291.371532138983
10/2008,18325.48268252737
11/2008,17341.48095059756
12/2008,17095.602345432148
01/2009,17213.433434114653
02/2009,16682.98957756497
03/2009,18150.385919090644
04/2009,20940.463863315643
05/2009,22492.906174338554
06/2009,22490.615590222416
07/2009,25013.80212082441
08/2009,24995.390237183947
09/2009,26247.74464364996
10/2009,25793.573322710658
11/2009,26250.91573410132
12/2009,28762.74786041085
01/2010,28663.04555414894
02/2010,29746.92032764474
03/2010,32263.861623392422
04/2010,33393.70600654131
05/2010,33455.70241238587
06/2010,33874.45033493535
07/2010,34633.38408403713
08/2010,35445.99512606179
09/2010,36850.464469048624
