Data,IE00BF2QSQ20
10/2016,10000
11/2016,10585.581969610323
12/2016,10888.931693458862
01/2017,10798.21410940894
02/2017,11466.119521967137
03/2017,11354.867198800646
04/2017,11164.77260179717
05/2017,11036.353318458257
06/2017,10908.585448195958
07/2017,10710.835173675927
08/2017,10671.1675460744
09/2017,10966.564262960004
10/2017,11440.126828136275
11/2017,11645.717049366025
12/2017,11628.139841934673
01/2018,11702.549052927418
02/2018,11590.42404761564
03/2018,11329.724626894158
04/2018,11397.80075948595
05/2018,12081.972307327433
06/2018,12112.300348226603
07/2018,12479.061515600297
08/2018,13022.881934325447
09/2018,13245.41692941089
10/2018,12526.461817712101
11/2018,12594.821978529177
12/2018,11399.941738669013
01/2019,12312.555412837002
02/2019,12914.154561880156
03/2019,13455.581425049904
04/2019,13982.56427351868
05/2019,13125.136148444477
06/2019,13778.587207051249
07/2019,14244.523414196188
08/2019,14137.505935481637
09/2019,14569.728861963782
10/2019,14538.835347509686
11/2019,15409.150347946525
12/2019,15495.055677327522
01/2020,15637.265493965628
02/2020,14413.96689123752
03/2020,12783.354874865046
04/2020,14464.49630779474
05/2020,14901.112805242275
06/2020,14848.288127039079
07/2020,14705.28960118752
08/2020,15602.10862108638
09/2020,15403.182066797643
10/2020,14982.242061658322
11/2020,16296.631741785577
12/2020,16495.482047625876
01/2021,16198.23349077689
02/2021,16742.3619934634
03/2021,18129.132356799186
04/2021,18444.443985389727
05/2021,18457.175605340843
06/2021,19577.20070582617
07/2021,20223.437495924798
08/2021,20888.363739545053
09/2021,19974.792909109863
10/2021,21378.389714978075
11/2021,21761.059311668923
12/2021,22591.434360750085
01/2022,21351.804562100173
02/2022,20370.15532636283
03/2022,21314.11615937806
04/2022,20632.04384245224
05/2022,20249.03026094869
06/2022,18985.803585011075
07/2022,21098.593743264584
08/2022,20422.67461515002
09/2022,18885.167623381858
10/2022,20092.175429783343
11/2022,20687.092468487524
12/2022,18992.634386152713
01/2023,20007.72708960229
02/2023,19852.444328904054
03/2023,20308.516173770302
04/2023,20441.602685362224
05/2023,21138.97915401402
06/2023,22125.05532261079
07/2023,22618.847510889096
08/2023,22835.79397389484
09/2023,22224.716751469452
10/2023,21855.20707955944
11/2023,23033.818589858023
12/2023,23866.820093293223
01/2024,24876.535290304833
02/2024,26515.902085081463
03/2024,27248.881157082917
04/2024,26261.49893530928
