Data,IE00BF4RFH31
12/2000,10000
01/2001,10382.576769252844
02/2001,10128.204408921254
03/2001,10022.552185877184
04/2001,10760.535007034507
05/2001,11388.348009144514
06/2001,11360.262936111196
07/2001,10636.299324986237
08/2001,10144.965640179102
09/2001,8840.760170813614
10/2001,9523.560945357054
11/2001,10286.018286656075
12/2001,10651.020037792581
01/2002,10642.61355094994
02/2002,10532.384202322557
03/2002,11259.120840727111
04/2002,11077.044900045968
05/2002,10599.938417879013
06/2002,9455.821191529458
07/2002,8591.64902272705
08/2002,8506.214677398331
09/2002,7841.078818062754
10/2002,7930.9550649080475
11/2002,8323.923796217407
12/2002,7519.107493295191
01/2003,7159.383189201701
02/2003,7055.571939163209
03/2003,6998.048567303695
04/2003,7556.684900636666
05/2003,7857.02841481772
06/2003,8392.200368531121
07/2003,8811.295485400457
08/2003,9696.65692732094
09/2003,9261.773295517787
10/2003,10102.796329900213
11/2003,9962.717091070786
12/2003,9856.583262243155
01/2004,10482.075951842153
02/2004,10666.76973295325
03/2004,11141.148200786469
04/2004,10880.276144530637
05/2004,10703.207021066763
06/2004,11216.996096713912
07/2004,10739.86034983826
08/2004,10660.436069773968
09/2004,10784.421838700935
10/2004,10811.436354138039
11/2004,11181.951449393153
12/2004,11361.193462594516
01/2005,11718.69401747881
02/2005,11893.174796302112
03/2005,11883.047460709922
04/2005,11420.566306076971
05/2005,12372.955814989971
06/2005,12988.983757750922
07/2005,13658.119371342284
08/2005,13675.454544692731
09/2005,14203.129963158477
10/2005,13747.640116167127
11/2005,14613.610224285816
12/2005,15175.188065980095
01/2006,15887.503348525875
02/2006,16079.952277280969
03/2006,16511.834337190565
04/2006,16357.096784522484
05/2006,15043.586061408432
06/2006,14989.109898627898
07/2006,14505.850419674636
08/2006,14811.995173150763
09/2006,15085.476976814394
10/2006,15699.853166774097
11/2006,15623.28378184945
12/2006,15924.035747557025
01/2007,16480.22837178504
02/2007,16282.465654535312
03/2007,16555.562955553287
04/2007,16734.92970976531
05/2007,17358.439553085263
06/2007,17158.11395687142
07/2007,16339.847931842785
08/2007,15875.361297316202
09/2007,15663.052565821394
10/2007,16121.344890649809
11/2007,14582.060894840093
12/2007,14355.750318596447
01/2008,13082.451884351316
02/2008,12928.930880580683
03/2008,12279.019967977412
04/2008,13001.063600109901
05/2008,13500.974888103641
06/2008,12211.062249603867
07/2008,12108.514112627148
08/2008,12819.671407328504
09/2008,11452.63569205442
10/2008,9933.132422064486
11/2008,9110.374763391625
12/2008,8835.686736949956
01/2009,8860.453312966147
02/2009,8044.520425669894
03/2009,8275.316435444403
04/2009,9669.562572481338
05/2009,9900.521048122875
06/2009,9988.112033206999
07/2009,10861.988339001737
08/2009,11415.952295626414
09/2009,11782.328120801674
10/2009,11196.280550242835
11/2009,11290.327394575757
12/2009,12313.511893783136
01/2010,12393.710805069048
02/2010,13050.420730142083
03/2010,14154.808688803816
04/2010,14881.875707626534
05/2010,14555.861241851755
06/2010,13919.631489734966
07/2010,14127.235026976035
08/2010,13846.443726489817
09/2010,14346.09012572317
10/2010,14686.405580357252
11/2010,15735.985337387947
12/2010,16745.557220629074
01/2011,16486.31714458849
02/2011,16975.8636862099
03/2011,16727.81486406416
04/2011,16598.375823169004
05/2011,16798.578613530834
06/2011,16357.916345563162
07/2011,16191.32767206249
08/2011,14659.12009578354
09/2011,13928.381480519776
10/2011,15019.642731602164
11/2011,15295.800500313555
12/2011,15732.15437539546
01/2012,16613.554694389106
02/2012,17022.89193337065
03/2012,17302.290729433185
04/2012,17364.285293103963
05/2012,16853.99282779539
06/2012,17207.102376513732
07/2012,17608.817025791817
08/2012,17715.964671408852
09/2012,17886.57791561436
10/2012,17694.756447149724
11/2012,17881.197136553157
12/2012,18164.122091688
01/2013,18715.13049387984
02/2013,19472.33031681561
03/2013,20657.150724264855
04/2013,20485.174468864934
05/2013,20804.854962141722
06/2013,20245.42475401247
07/2013,21229.6556899638
08/2013,20883.69488238622
09/2013,21882.908757524063
10/2013,22328.451441993217
11/2013,22783.657292609747
12/2013,23020.032727188962
01/2014,23049.418392261752
02/2014,23739.65016424533
03/2014,23681.46548156566
04/2014,23181.451503616518
05/2014,23865.45677024124
06/2014,24711.404762068894
07/2014,24206.2983175097
08/2014,25312.598901115172
09/2014,25045.21061483121
10/2014,25587.05573036474
11/2014,25784.674834983143
12/2014,26663.529773114464
01/2015,28114.125759244194
02/2015,30019.790843039988
03/2015,31432.64769664655
04/2015,30436.22449429319
05/2015,31572.057180737913
06/2015,30677.00975741946
07/2015,31157.713805943113
08/2015,28852.80301787625
09/2015,27657.128963894716
10/2015,29734.963333260755
11/2015,31314.488601525005
12/2015,29667.002845919786
01/2016,27278.031993172965
02/2016,27547.12231003238
03/2016,28571.938004126983
04/2016,29199.441331981947
05/2016,30217.94369317665
06/2016,29790.430554982962
07/2016,31398.354738634447
08/2016,31391.34412692875
09/2016,31784.55041318228
10/2016,31211.7480790758
11/2016,33471.55567850067
12/2016,34581.40531145732
01/2017,34669.541441578775
02/2017,35933.38730278361
03/2017,35893.03022233662
04/2017,35815.414374553824
05/2017,35118.14671052088
06/2017,35075.134974152934
07/2017,34903.23812046499
08/2017,34592.28391080238
09/2017,36021.04394918629
10/2017,37065.95985818685
11/2017,37201.84432471248
12/2017,37312.24984518649
01/2018,37188.07016633368
02/2018,36408.24292989415
03/2018,36122.70289087643
04/2018,37189.022165235634
05/2018,39431.74152519764
06/2018,39447.06142095448
07/2018,39656.57257010825
08/2018,40823.33126655354
09/2018,40506.581587356086
10/2018,37319.42062525567
11/2018,37422.80417440254
12/2018,33694.371620095124
01/2019,37037.8249928354
02/2019,38669.14831908152
03/2019,39060.43638537856
04/2019,40344.34487345921
05/2019,37943.62978644896
06/2019,39351.228091284655
07/2019,40386.040470822525
08/2019,39415.6646633291
09/2019,40780.032245968716
10/2019,40907.84914380213
11/2019,42895.20426444002
12/2019,43391.218448163134
01/2020,42875.73400025136
02/2020,39198.58716032706
03/2020,31126.557365488654
04/2020,35570.76002505753
05/2020,37202.19231608919
06/2020,37953.70267281227
07/2020,37270.17403678897
08/2020,39093.91896403072
09/2020,39011.526441168695
10/2020,39033.12569171339
11/2020,43980.50015836365
12/2020,46105.191233905956
01/2021,47575.50851852389
02/2021,50009.543118862755
03/2021,52803.309083690314
04/2021,53231.27154100587
05/2021,53165.879822100185
06/2021,54700.32922418897
07/2021,54288.79669868454
08/2021,55876.83590909503
09/2021,55338.50463274796
10/2021,57004.512193814604
11/2021,55584.645951747894
12/2021,57836.03987136305
01/2022,54270.925829412736
02/2022,54176.428180422234
03/2022,55179.84788018126
04/2022,53586.09039467144
05/2022,52629.55991713304
06/2022,48872.6615788132
07/2022,54311.173778920616
08/2022,53585.43516025274
09/2022,49340.92075289024
10/2022,52411.84649266101
11/2022,53167.7573126966
12/2022,49954.49496864958
01/2023,53737.366945052636
02/2023,53703.958117118826
03/2023,51114.06935647299
04/2023,50575.48519208172
05/2023,50561.6437669185
06/2023,52841.53780497852
07/2023,54640.90455358161
08/2023,53311.5362619022
09/2023,51833.421812266184
10/2023,48531.97186868493
11/2023,51543.186691537514
12/2023,55902.46237105657
01/2024,55415.26894261278
02/2024,57325.27609445377
03/2024,59661.94625303385
04/2024,57077.75489248439
