Data,IE00BF51K249
03/2009,10000
04/2009,10292.808866506086
05/2009,10532.368125480372
06/2009,10766.500749843699
07/2009,11137.280021640923
08/2009,11264.94708839525
09/2009,11435.678739616835
10/2009,11533.007531470063
11/2009,11633.685498719666
12/2009,11628.00468525906
01/2010,11816.147209432565
02/2010,11883.12946163586
03/2010,12004.60402802429
04/2010,12072.905004505643
05/2010,12006.639975024302
06/2010,12033.893503383093
07/2010,12178.857947962391
08/2010,12408.546513852503
09/2010,12373.212429976416
10/2010,12366.12889267961
11/2010,12197.661373630668
12/2010,12167.732571049986
01/2011,12113.604918216795
02/2011,12210.074409238005
03/2011,12168.724147910145
04/2011,12288.026124837937
05/2011,12398.570904875101
06/2011,12343.101957335935
07/2011,12488.567092612551
08/2011,12325.911412032412
09/2011,12175.62992889059
10/2011,12407.629701427284
11/2011,12026.716237345856
12/2011,12336.174356103571
01/2012,12697.67431335011
02/2012,12927.387880836151
03/2012,13036.632730262741
04/2012,13051.223389192975
05/2012,13066.541097275407
06/2012,13035.456570988721
07/2012,13352.093451245339
08/2012,13490.041065891459
09/2012,13592.700883630545
10/2012,13746.283705359616
11/2012,13862.62287608455
12/2012,13999.124105376724
01/2013,13828.290896799848
02/2013,14002.405032125036
03/2013,14073.571483895452
04/2013,14266.578426523558
05/2013,14239.196471134504
06/2013,14003.931082209605
07/2013,14121.27972232514
08/2013,14090.850745871296
09/2013,14184.171057948155
10/2013,14346.067468075553
11/2013,14379.762901734412
12/2013,14316.644183143464
01/2014,14510.206566835113
02/2014,14590.671385738424
03/2014,14650.835823340494
04/2014,14784.450309322398
05/2014,14915.152717746305
06/2014,14997.79025036152
07/2014,15071.021333117496
08/2014,15244.143318064567
09/2014,15269.764437461969
10/2014,15335.027559380238
11/2014,15420.267377949673
12/2014,15503.161270266064
01/2015,15644.34308793784
02/2015,15734.07220115834
03/2015,15710.05013825091
04/2015,15630.70933158067
05/2015,15558.512590149476
06/2015,15250.51449194305
07/2015,15439.683188122543
08/2015,15315.075931701082
09/2015,15206.691507015054
10/2015,15424.173834988536
11/2015,15528.515375027882
12/2015,15400.45720138114
01/2016,15490.54865471883
02/2016,15560.212202520992
03/2016,15776.01399425088
04/2016,15816.740373376137
05/2016,15869.351913561466
06/2016,16020.231521125985
07/2016,16287.62994769551
08/2016,16324.884807140268
09/2016,16311.559503644927
10/2016,16190.892812902004
11/2016,16012.208263605944
12/2016,16112.438376821574
01/2017,16020.180926098614
02/2017,16211.780996410847
03/2017,16151.577680886174
04/2017,16237.253417560476
05/2017,16296.73371692547
06/2017,16204.885971633272
07/2017,16329.891849668038
08/2017,16418.257384130597
09/2017,16383.578403206438
10/2017,16563.211412210123
11/2017,16533.34308187682
12/2017,16484.653592797382
01/2018,16439.124301256525
02/2018,16434.02959976551
03/2018,16415.628415237596
04/2018,16421.162638738893
05/2018,16379.370278549053
06/2018,16370.474095908616
07/2018,16414.654547550206
08/2018,16415.291182822548
09/2018,16366.871065933326
10/2018,16335.855146837073
11/2018,16229.47909075142
12/2018,16261.975185070982
01/2019,16437.300225730494
02/2019,16548.920309575045
03/2019,16777.4291054826
04/2019,16896.559736658262
05/2019,16869.1416472908
06/2019,17134.98724178589
07/2019,17378.36048866402
08/2019,17487.600147595094
09/2019,17352.448550675683
10/2019,17314.853030488153
11/2019,17269.967226202367
12/2019,17259.608777004556
01/2020,17457.678724556674
02/2020,17386.269859248794
03/2020,16193.897551372771
04/2020,16796.930354454842
05/2020,16824.71967101123
06/2020,17045.236229188064
07/2020,17300.289883041616
08/2020,17329.147777640617
09/2020,17380.47816895291
10/2020,17513.84153122575
11/2020,17692.195025678357
12/2020,17720.268000702123
01/2021,17697.90600445005
02/2021,17559.40282152612
03/2021,17594.907988705763
04/2021,17596.36065544485
05/2021,17571.01257517041
06/2021,17642.209240235792
07/2021,17841.987260828533
08/2021,17767.87225848266
09/2021,17651.91281805017
10/2021,17519.4496659611
11/2021,17552.13384983709
12/2021,17531.609468541577
01/2022,17298.523249176018
02/2022,16862.13189896653
03/2022,16658.0969818645
04/2022,16200.106754852997
05/2022,15999.477457909225
06/2022,15440.419477435607
07/2022,16164.911020821744
08/2022,15479.970916658975
09/2022,14964.429276208062
10/2022,14978.744414741077
11/2022,15398.21221514254
12/2022,15123.975438059077
01/2023,15458.730191647517
02/2023,15234.11376295399
03/2023,15384.982224048807
04/2023,15491.338576956452
05/2023,15516.369571139732
06/2023,15446.6301958524
07/2023,15607.556630138308
08/2023,15630.724040360952
09/2023,15495.166041921899
10/2023,15556.237253624997
11/2023,15912.863686084
12/2023,16345.940953040945
01/2024,16366.896707394553
02/2024,16221.090821506437
03/2024,16417.916837051398
04/2024,16277.454847035442
