Data,IE00BFMXYX26
03/2005,10000
04/2005,9810.16478057563
05/2005,10175.912114215836
06/2005,10358.50030845225
07/2005,10412.945070944254
08/2005,10998.722418624566
09/2005,12304.062877893834
10/2005,12279.861750678232
11/2005,12950.539293577527
12/2005,14026.209085613436
01/2006,14301.99448681624
02/2006,14429.843908080224
03/2006,14592.4577802131
04/2006,14427.925773129942
05/2006,13263.222078503852
06/2006,13189.557130444397
07/2006,13146.272011881025
08/2006,13294.974628863098
09/2006,13197.471941754697
10/2006,13314.223377981169
11/2006,12892.556125921908
12/2006,13230.910156184296
01/2007,13519.655512638446
02/2007,13809.454535644087
03/2007,13489.436407264175
04/2007,12910.582500184011
05/2007,13330.360912320228
06/2007,13231.369703668672
07/2007,12986.422742448112
08/2007,12653.972007981965
09/2007,12362.521016050398
10/2007,12146.227589909982
11/2007,11795.500174007515
12/2007,11346.773418612618
01/2008,10735.576766491326
02/2008,10520.737391582285
03/2008,9700.915534045056
04/2008,10591.595198801886
05/2008,10868.18486479633
06/2008,9988.97688365313
07/2008,9745.519797754201
08/2008,9919.629927304033
09/2008,9253.577472140189
10/2008,8757.522692304266
11/2008,8634.599717131103
12/2008,8510.590161672715
01/2009,8585.86538353745
02/2009,7603.170755907004
03/2009,7449.648217152784
04/2009,8166.234100777346
05/2009,8431.430310808113
06/2009,8667.632895548104
07/2009,8927.052051874878
08/2009,9173.466563264261
09/2009,8828.015328906007
10/2009,8512.859088369043
11/2009,8282.998483005153
12/2009,8711.248213092747
01/2010,9159.883319559898
02/2010,9440.744404326442
03/2010,10011.083576053215
04/2010,10172.78228442677
05/2010,10134.43752910132
06/2010,9951.56404007114
07/2010,9675.35138466489
08/2010,9683.713188738639
09/2010,9412.996608564297
10/2010,9418.54813959213
11/2010,10265.179771162191
12/2010,10735.152777399717
01/2011,10504.365798189872
02/2011,10911.518678433693
03/2011,9666.900819051314
04/2011,9285.483667035578
05/2011,9419.715147610315
06/2011,9491.998843261628
07/2011,9918.728376921681
08/2011,9107.945864099092
09/2011,9636.126509930149
10/2011,9240.318113618947
11/2011,9151.440597375678
12/2011,9576.446661552574
01/2012,9917.177128970907
02/2012,10170.576221927853
03/2012,10349.496801912968
04/2012,10082.199971337433
05/2012,9830.772220678571
06/2012,10074.634753316703
07/2012,10138.536994157515
08/2012,9829.95001661307
09/2012,9861.831526401867
10/2012,9605.837714512842
11/2012,9787.359843995002
12/2012,10176.264886697396
01/2013,10243.652692313204
02/2013,10912.426923880179
03/2013,11642.794125731167
04/2013,12324.215663438918
05/2013,11826.136062588364
06/2013,11997.266867882565
07/2013,11829.494182432702
08/2013,11672.046573646961
09/2013,12312.874304626957
10/2013,12272.606312110585
11/2013,12435.528765545181
12/2013,12377.994460661637
01/2014,12165.958583551044
02/2014,11810.792578315715
03/2014,11706.205181983767
04/2014,11334.352629307195
05/2014,11994.73228918613
06/2014,12602.58810381425
07/2014,12975.25308045541
08/2014,12898.445830175657
09/2014,13446.390803260261
10/2014,13272.52796965459
11/2014,13379.054135078779
12/2014,13611.775934534677
01/2015,14968.526188626125
02/2015,15976.686154359279
03/2015,16982.53070156145
04/2015,16833.14770190023
05/2015,17509.161871786993
06/2015,16929.96209423773
07/2015,17160.197610975807
08/2015,15965.777599685327
09/2015,15188.36535597821
10/2015,16637.686969335107
11/2015,17261.313039894816
12/2015,16827.792314471073
01/2016,15194.062799262761
02/2016,14952.004128142076
03/2016,14970.293175368219
04/2016,15579.542005821202
05/2016,15897.421289637366
06/2016,15526.87682878777
07/2016,16431.60566351908
08/2016,16533.573806326232
09/2016,16713.50265502239
10/2016,17388.813506350907
11/2016,17512.21386619191
12/2016,17926.554053255513
01/2017,18001.747265922717
02/2017,18541.772844029685
03/2017,18399.860931102397
04/2017,18293.63553768929
05/2017,18251.4739797547
06/2017,18191.546187155127
07/2017,17953.449964821964
08/2017,17801.05197186548
09/2017,18311.56146614554
10/2017,19404.908874378994
11/2017,19543.64354829533
12/2017,19556.492902740083
01/2018,20061.291465016566
02/2018,19796.260303653387
03/2018,19273.817844500427
04/2018,19754.422925523046
05/2018,20243.509889014807
06/2018,19906.160457476464
07/2018,19751.066308459154
08/2018,19880.215761137875
09/2018,20286.01717322524
10/2018,19217.0914166696
11/2018,19347.68275495758
12/2018,17847.34208678641
01/2019,18860.390915433818
02/2019,19011.407576919457
03/2019,19413.053960862133
04/2019,19695.631424110074
05/2019,18966.148776448113
06/2019,19227.033864165365
07/2019,19686.77240097713
08/2019,19685.166181622877
09/2019,20722.189163022114
10/2019,21235.817485727526
11/2019,21608.37805899224
12/2019,21679.102883716005
01/2020,21593.93829354631
02/2020,19746.96453460554
03/2020,18471.26362504638
04/2020,19531.561427822966
05/2020,20390.548698390885
06/2020,20175.011823211255
07/2020,18785.676945031802
08/2020,20031.577697539542
09/2020,20702.563114734818
10/2020,20473.855475956825
11/2020,22352.892219019643
12/2020,22760.41836204864
01/2021,22699.536802208135
02/2021,23043.813495246937
03/2021,24192.99151303808
04/2021,23229.944517762586
05/2021,23224.553288296956
06/2021,23881.57526767548
07/2021,23577.405495165036
08/2021,24383.591094145446
09/2021,25486.770405783805
10/2021,24659.844305414226
11/2021,24591.042330587436
12/2021,24825.901135618646
01/2022,23981.934348842336
02/2022,23530.20953846501
03/2022,23819.63743288649
04/2022,22753.029681176868
05/2022,22939.301599448187
06/2022,21764.39788368696
07/2022,23558.935346035112
08/2022,23266.977060476012
09/2022,22021.5559432721
10/2022,21879.221568043646
11/2022,23012.259394097753
12/2022,22330.860619926163
