Data,IE00BG13YJ64
06/1994,10000
07/1994,10309.063839960807
08/1994,10582.545686187297
09/1994,10138.41607772308
10/1994,10291.61213814967
11/1994,9877.257915123762
12/1994,10205.690589781329
01/1995,9927.575491530419
02/1995,9984.57568263534
03/1995,9933.651358068937
04/1995,10254.51444767475
05/1995,10674.288404078281
06/1995,10958.515203710886
07/1995,11475.966076461718
08/1995,11597.246557701337
09/1995,12442.695815836045
10/1995,12294.810950314959
11/1995,12511.06337883037
12/1995,12899.176712131413
01/1996,12945.256097545389
02/1996,13301.62962188781
03/1996,13707.306096071365
04/1996,13804.419236837377
05/1996,14224.972236774263
06/1996,14460.648082371232
07/1996,13874.183272971737
08/1996,14228.671223472269
09/1996,14567.094060445219
10/1996,14887.053130616267
11/1996,15326.227391310485
12/1996,16004.5569121145
01/1997,16453.460524446065
02/1997,17511.227356567102
03/1997,18180.552907819052
04/1997,18340.02262769128
05/1997,19476.229994676523
06/1997,20855.123584628152
07/1997,22839.278006614404
08/1997,21751.376050540443
09/1997,23393.32624355412
10/1997,21552.830881922346
11/1997,20891.17740938985
12/1997,22642.39514281981
01/1998,24227.81657330663
02/1998,26074.56046779383
03/1998,27933.165261395592
04/1998,28476.07720281121
05/1998,29126.266459624036
06/1998,29970.885039688557
07/1998,32325.620075732048
08/1998,26841.75294050328
09/1998,24116.683160708555
10/1998,23838.980190409944
11/1998,25705.85932306271
12/1998,27561.19537957409
01/1999,28978.247017160877
02/1999,28762.62012873289
03/1999,28847.05639872842
04/1999,29228.340941682618
05/1999,28501.61273560862
06/1999,29740.904198021377
07/1999,29282.711877837344
08/1999,29745.85541202266
09/1999,29589.98567619377
10/1999,31774.2262942358
11/1999,36103.33494063455
12/1999,42776.90048175086
01/2000,42873.891727747774
02/2000,48526.53266551575
03/2000,47975.76494605532
04/2000,47299.24649092553
05/2000,44385.97582574983
06/2000,44039.71182738558
07/2000,43757.492577968136
08/2000,44834.69347841554
09/2000,41413.88783754104
10/2000,41694.14519979522
11/2000,36526.64249123858
12/2000,36581.671887802055
01/2001,34599.193969088694
02/2001,34231.75615450966
03/2001,33675.820187978235
04/2001,34485.04656823149
05/2001,35318.561311112564
06/2001,35446.069024187185
07/2001,33971.1971440828
08/2001,32790.4271716448
09/2001,30012.959016884815
10/2001,30115.228974031983
11/2001,30985.01772391227
12/2001,32500.50440975818
01/2002,32801.3235680174
02/2002,32830.016450097864
03/2002,34150.12809222971
04/2002,34329.885538890696
05/2002,32938.842476678736
06/2002,30637.64388059952
07/2002,28806.00645639594
08/2002,28643.503949655813
09/2002,26554.504792615066
10/2002,27237.10287540524
11/2002,27203.620703212167
12/2002,25373.327507019145
01/2003,23619.89656800822
02/2003,23609.896987887503
03/2003,22976.50338678527
04/2003,24806.454326572835
05/2003,24845.350538112973
06/2003,25445.36761818116
07/2003,25895.435854596755
08/2003,26671.601015286913
09/2003,25981.435686814515
