Data,IE00BGBN6P67
07/2017,10000
08/2017,10363.92895701198
09/2017,10560.646020430013
10/2017,11713.95947594313
11/2017,11638.352328307314
12/2017,11681.608110695564
01/2018,12287.068164293742
02/2018,12121.92047199082
03/2018,11761.633015700103
04/2018,11902.930187185308
05/2018,12575.40635404992
06/2018,11945.417432211949
07/2018,12113.862619392492
08/2018,12297.688124863054
09/2018,12188.608607135408
10/2018,10865.80817356292
11/2018,10608.71784448696
12/2018,9609.893364348047
01/2019,10221.217807320649
02/2019,10805.060556210728
03/2019,10974.314467618111
04/2019,11290.074982675182
05/2019,10823.56859933373
06/2019,11240.423953052545
07/2019,11713.418043050773
08/2019,11505.001950112402
09/2019,11807.091827115992
10/2019,11932.806077578733
11/2019,12457.376151717392
12/2019,12514.631650449744
01/2020,12658.572422088218
02/2020,11960.29788606959
03/2020,10428.314937272484
04/2020,12709.952870230782
05/2020,13114.966286031586
06/2020,13894.867624798702
07/2020,16179.924273503619
08/2020,17032.060813696167
09/2020,17043.149124741467
10/2020,16489.555417938147
11/2020,20370.905410315427
12/2020,22142.5703542451
01/2021,23639.99205713912
02/2021,30071.17984435848
03/2021,32770.67379176932
04/2021,30658.973987916732
05/2021,27819.68021273551
06/2021,29185.1384452338
07/2021,27744.87666788753
08/2021,29410.037323763805
09/2021,28024.853905325166
10/2021,31948.81090617093
11/2021,32868.0305720931
12/2021,29707.29919475503
01/2022,26074.468169296186
02/2022,26094.525698553836
03/2022,27404.290935505214
04/2022,24022.099814082172
05/2022,21565.55703435021
06/2022,18588.406934349878
07/2022,20518.126178304276
08/2022,20134.298488236665
09/2022,17501.606918992748
10/2022,16988.57774040719
11/2022,16355.135816078715
12/2022,15049.722241712356
01/2023,17418.37057915324
02/2023,17304.881352725482
03/2023,16731.091370883016
04/2023,16343.301195724654
05/2023,16846.395185291567
06/2023,17391.19411923802
07/2023,19129.692086846633
08/2023,16938.29843816794
09/2023,16459.441256464714
10/2023,16447.853517187497
11/2023,18862.464040424926
12/2023,22677.009684064826
01/2024,20533.519672873666
02/2024,24996.070071867136
03/2024,27718.237577658845
04/2024,23298.267959493805
