Data,IE00BGDQ0L74
10/2012,10000
11/2012,10116.892440064617
12/2012,10253.893170799745
01/2013,9928.874238423232
02/2013,10069.143432587549
03/2013,10157.952375731309
04/2013,10833.094909056936
05/2013,10980.993706906156
06/2013,10259.026280873646
07/2013,10772.399172906946
08/2013,10298.213304926332
09/2013,10893.66226164321
10/2013,11409.350046232717
11/2013,11390.196920154467
12/2013,11405.097450124571
01/2014,11566.890957979902
02/2014,12242.323825519246
03/2014,11967.333948881476
04/2014,12321.91272573116
05/2014,12842.708198297138
06/2014,12951.240223464212
07/2014,12952.2422981724
08/2014,13299.211800217718
09/2014,13018.809199146344
10/2014,13355.806811519868
11/2014,13848.33615880386
12/2014,14087.087271589877
01/2015,15966.944500675932
02/2015,16839.544074116864
03/2015,16800.81581115371
04/2015,16461.68227693092
05/2015,16324.15454182828
06/2015,15593.905848458002
07/2015,16659.64303958922
08/2015,16094.457115871954
09/2015,16122.159379990477
10/2015,17385.273135977604
11/2015,17156.377817926656
12/2015,16555.337474544525
01/2016,15687.291600346502
02/2016,15189.06721085944
03/2016,16085.532912357226
04/2016,16083.555452967092
05/2016,16595.92607933652
06/2016,15581.049703157993
07/2016,16516.771253708317
08/2016,16533.723311245263
09/2016,16131.097401913386
10/2016,15012.4285570756
11/2016,14865.629033087622
12/2016,15618.836928081964
01/2017,15097.833621512975
02/2017,15772.886767849845
03/2017,15794.29682465609
04/2017,16363.036817287133
05/2017,16688.27349863808
06/2017,16362.888625101254
07/2017,16293.865211206154
08/2017,16349.865465356248
09/2017,16522.736454807186
10/2017,16687.574207903795
11/2017,16797.486546131273
12/2017,17491.060127385197
01/2018,17302.20988680618
02/2018,16331.94308645292
03/2018,16904.974439419188
04/2018,17626.453055055983
05/2018,17700.13440077844
06/2018,17739.244289038008
07/2018,17952.045399676026
08/2018,18027.51274365283
09/2018,17482.6505363025
10/2018,16936.45228531553
11/2018,16774.311027507294
12/2018,15941.231286817545
01/2019,17585.035923256964
02/2019,17368.15172926941
03/2019,18074.329204921134
04/2019,17892.913573473117
05/2019,17818.422149595423
06/2019,17292.737282688897
07/2019,17376.71299566611
08/2019,17944.718541969105
09/2019,18753.107284739624
10/2019,19327.926960099412
11/2019,19811.13254408857
12/2019,20405.737173559733
01/2020,20738.876939798014
02/2020,19181.10392841856
03/2020,15075.727779133524
04/2020,15612.775814742192
05/2020,15840.861634183844
06/2020,15988.352439593567
07/2020,16151.144364352665
08/2020,16488.810243675933
09/2020,16208.037441365685
10/2020,15514.12520861094
11/2020,17485.36964600501
12/2020,18140.759644290134
01/2021,17639.094289317996
02/2021,17425.345843447332
03/2021,18031.829124966232
04/2021,18909.69430078161
05/2021,19655.44124186615
06/2021,19737.688954734862
07/2021,21022.469904646867
08/2021,21567.560239546983
09/2021,19726.313273417785
10/2021,20808.889218187767
11/2021,20864.199767305945
12/2021,21240.888695255748
01/2022,20638.437385994395
02/2022,19979.471688208483
03/2022,20130.114457809635
04/2022,18981.32363927898
05/2022,18174.380975208092
06/2022,15278.322671009468
07/2022,17172.646416328105
08/2022,15307.317290497907
09/2022,12751.062841977506
10/2022,13213.728246172099
11/2022,13532.423238413918
12/2022,13317.078522149068
01/2023,14495.643732440143
02/2023,14332.078537654494
03/2023,12681.031166548368
04/2023,13393.858201811789
05/2023,12385.78805278988
06/2023,12211.440288123127
07/2023,13319.563715590637
08/2023,13191.39312524083
09/2023,12715.619477489634
10/2023,12265.997216086504
11/2023,13965.754637356726
12/2023,15432.45616394572
01/2024,14980.781714798459
02/2024,13815.148211135855
03/2024,14981.212840760027
04/2024,14686.451792131516
