Data,IE00BGL86Z12
06/2012,10000
07/2012,10228.528293416683
08/2012,10517.488755635964
09/2012,10316.923136347574
10/2012,10281.254445103585
11/2012,10722.970658483804
12/2012,11422.568270165606
01/2013,11476.53762158444
02/2013,12017.399422157241
03/2013,12663.76304154638
04/2013,12791.418406724688
05/2013,14717.568051325161
06/2013,14477.914991941743
07/2013,15485.94438679466
08/2013,15509.205980477971
09/2013,16260.211962342726
10/2013,16487.233518529996
11/2013,16853.182206131976
12/2013,16948.916261266277
01/2014,17103.13755042467
02/2014,18201.0806170028
03/2014,18151.776350206383
04/2014,18184.756040163815
05/2014,18806.364061818185
06/2014,19334.19070611605
07/2014,19167.98812161639
08/2014,19777.287231400507
09/2014,19143.146552649
10/2014,19392.500264462222
11/2014,19971.73201163195
12/2014,20534.054381223537
01/2015,22090.376367675966
02/2015,23742.00740745054
03/2015,24488.336827272822
04/2015,23950.793240841354
05/2015,24729.055989045766
06/2015,23320.43450946956
07/2015,22405.363987732144
08/2015,20538.452590873087
09/2015,20315.216814185547
10/2015,22810.673941152432
11/2015,24036.205794185167
12/2015,23418.514777061228
01/2016,21003.06247478228
02/2016,20239.95675425748
03/2016,20861.065218142263
04/2016,20976.90872737071
05/2016,22003.545994069395
06/2016,20534.091756173526
07/2016,22540.87632263265
08/2016,22845.887845512498
09/2016,22915.48833840894
10/2016,23657.315666213373
11/2016,24327.713181711217
12/2016,25587.528354929913
01/2017,26211.328804710134
02/2017,27287.685135204134
03/2017,27988.95832248531
04/2017,27605.37325756712
05/2017,27690.344678388607
06/2017,27198.674151474246
07/2017,27294.853444915425
08/2017,27299.054249533605
09/2017,29105.512484116243
10/2017,30573.714582826877
11/2017,30540.198529786132
12/2017,30732.492961139647
01/2018,31344.71563571586
02/2018,30570.03071758147
03/2018,29371.663602269993
04/2018,29982.037897414702
05/2018,30779.016492487786
06/2018,29189.9957668842
07/2018,29696.551941876944
08/2018,29377.277213083336
09/2018,28716.37621556261
10/2018,25876.8494906807
11/2018,25642.682626280202
12/2018,23786.03324205634
01/2019,25493.702502994933
02/2019,26065.183323071207
03/2019,25149.36828614306
04/2019,27018.510578079437
05/2019,23312.356046621793
06/2019,25136.995391882752
07/2019,25416.213627787947
08/2019,24126.195951849382
09/2019,26065.09801335935
10/2019,26719.22249976641
11/2019,27405.910533746268
12/2019,27772.713378583878
01/2020,26554.15645233409
02/2020,24269.552181241816
03/2020,18882.430127217252
04/2020,21849.20682018703
05/2020,23177.02369936215
06/2020,23755.11993548163
07/2020,23657.82339561746
08/2020,26380.704521630196
09/2020,27025.76715582019
10/2020,27567.104859255716
11/2020,32203.207090563268
12/2020,33816.15481630266
01/2021,35528.14315350436
02/2021,36161.74738157184
03/2021,37759.86908060689
04/2021,36611.00493334885
05/2021,38000.70556386081
06/2021,39918.154028110555
07/2021,39465.293683193195
08/2021,39313.78157928241
09/2021,38710.409071056216
10/2021,41214.06394279853
11/2021,41641.1393534545
12/2021,42384.85044785136
01/2022,39987.18318202596
02/2022,38331.78418923459
03/2022,37272.6836154793
04/2022,35683.04472139719
05/2022,36142.864468349515
06/2022,33146.853916660264
07/2022,37786.02409518697
08/2022,36614.90752264113
09/2022,32985.65622537884
10/2022,34773.10662960899
11/2022,36820.435576742864
12/2022,32589.201069390147
01/2023,36835.620938754684
02/2023,37891.44520563926
03/2023,38378.250912751384
04/2023,35319.55300300194
05/2023,37875.53808651656
06/2023,40277.61308338602
07/2023,43174.02394371565
08/2023,40286.38521233624
09/2023,39154.52849688079
10/2023,34210.62407412845
11/2023,37129.605170251394
12/2023,39656.93520007396
01/2024,37847.14708326589
02/2024,40519.325272344235
03/2024,41791.75821370162
04/2024,40183.32134973445
