Data,IE00BGV5VN51
02/2019,10000
03/2019,10281.672498912369
04/2019,10770.900046535135
05/2019,9741.890223126384
06/2019,10211.1722021336
07/2019,10544.532465681468
08/2019,10147.299621703289
09/2019,10418.498787568484
10/2019,10457.349551926698
11/2019,11118.19652549072
12/2019,11133.30934972927
01/2020,11205.40543899442
02/2020,10498.098033190548
03/2020,9277.794262853226
04/2020,10595.295145665537
05/2020,11083.709472076962
06/2020,11438.254311735167
07/2020,11439.832162208591
08/2020,11932.545745164904
09/2020,11824.988974239948
10/2020,11546.938825256537
11/2020,13119.917133040224
12/2020,13996.055514420612
01/2021,14798.85190758926
02/2021,15474.109558391341
03/2021,16280.71676257162
04/2021,16480.34944623656
05/2021,16131.743916801122
06/2021,17449.54878846834
07/2021,17037.208375291437
08/2021,17501.99585538222
09/2021,16940.605891286556
10/2021,17971.690104416015
11/2021,18249.800785610103
12/2021,18805.732271455185
01/2022,17342.20187264653
02/2022,16584.900877027478
03/2022,17045.120662076642
04/2022,16222.888384323933
05/2022,15532.463745800897
06/2022,14543.518163244089
07/2022,15759.169622207866
08/2022,15211.176662222613
09/2022,13525.199094639822
10/2022,13890.480398240448
11/2022,14432.923620392126
12/2022,13090.60557026754
01/2023,14518.623138229113
02/2023,14703.438799412104
03/2023,15783.936219996718
04/2023,15569.815123415518
05/2023,17694.218029858243
06/2023,18382.68819776698
07/2023,18928.585939968823
08/2023,19052.64753623171
09/2023,18649.723441054583
10/2023,18478.94247368111
11/2023,20402.267181960244
12/2023,21155.039300303684
01/2024,22460.919036073567
02/2024,23772.33799359179
03/2024,24496.6245576941
04/2024,23118.76608502559
