Data,IE00BH4GPZ28
08/2013,10000
09/2013,10056.635654229996
10/2013,10346.50815650649
11/2013,10671.761528379551
12/2013,10741.580640205982
01/2014,10525.293060602444
02/2014,10723.34887727639
03/2014,10969.220410202171
04/2014,11004.805948607962
05/2014,11402.359174690693
06/2014,11581.532955161869
07/2014,11701.209585062663
08/2014,12279.347481433826
09/2014,12716.860319166246
10/2014,12980.3545539427
11/2014,13391.30068556501
12/2014,13732.604924349213
01/2015,14060.511483761775
02/2015,14996.071898256338
03/2015,15374.210941358093
04/2015,15081.032761612989
05/2015,15590.670889333285
06/2015,14957.668149711093
07/2015,15438.324075777917
08/2015,14133.161461077058
09/2015,13818.606488662439
10/2015,15249.443932200878
11/2015,15863.061432332555
12/2015,15148.31900677918
01/2016,14330.818108474657
02/2016,14396.17754103101
03/2016,14739.865467682932
04/2016,14714.565391283606
05/2016,15242.464428901181
06/2016,15329.109085158938
07/2016,15940.630464142607
08/2016,15931.040281923915
09/2016,15873.531360128676
10/2016,15864.878106685292
11/2016,16936.925826195344
12/2016,17440.48433494356
01/2017,17378.359045267658
02/2017,18314.949762073833
03/2017,18166.962886714515
04/2017,17926.65855345334
05/2017,17628.478933058737
06/2017,17523.84620909792
07/2017,17429.784217158576
08/2017,17297.8260968134
09/2017,17691.97914232477
10/2017,18379.52988689669
11/2017,18515.22926076327
12/2017,18516.627907725007
01/2018,18835.361230463855
02/2018,18540.601959302094
03/2018,17802.91521906822
04/2018,18330.14801693677
05/2018,19332.440587425364
06/2018,19422.373517879347
07/2018,20071.5115663136
08/2018,21015.09172073612
09/2018,21227.75450316137
10/2018,20176.259828093505
11/2018,20521.396598682975
12/2018,18518.111463181714
01/2019,19791.46346890423
02/2019,20512.358673870312
03/2019,21292.10979345934
04/2019,22240.568398269887
05/2019,20860.12131998722
06/2019,21876.88744948855
07/2019,22829.417435365183
08/2019,22659.482597579252
09/2019,23436.98993213212
10/2019,23501.04885424944
11/2019,24773.522827627057
12/2019,25007.32685955129
01/2020,25437.725779277134
02/2020,23504.111823634965
03/2020,20871.789018790096
04/2020,23727.657942008642
05/2020,24340.714553859845
06/2020,24929.942277754617
07/2020,24930.9004888078
08/2020,26834.94564297905
09/2020,26170.226329383484
10/2020,25497.995047690118
11/2020,27476.452001955917
12/2020,27638.807570400255
01/2021,27657.339733019235
02/2021,28214.95541037277
03/2021,30643.1594043153
04/2021,31473.45993853445
05/2021,31300.755786779617
06/2021,32979.32188130343
07/2021,33706.91088543259
08/2021,34986.76988709943
09/2021,34046.074559633176
10/2021,36781.830360482665
11/2021,37676.34103338604
12/2021,39159.752265968134
01/2022,37731.38742808366
02/2022,36350.43654511777
03/2022,38014.70311078038
04/2022,36339.942067313954
05/2022,35677.73241890845
06/2022,33874.347514236404
07/2022,37611.90490719731
08/2022,36656.201962285144
09/2022,33932.66844454849
10/2022,36417.37277891571
11/2022,36894.55811787349
12/2022,33734.574125747036
01/2023,35503.67762288938
02/2023,35333.35860950004
03/2023,36179.92711434323
04/2023,36535.27066690394
05/2023,38025.4252524108
06/2023,39916.541576099175
07/2023,40783.904892786275
08/2023,40694.360240926544
09/2023,39671.216541326685
10/2023,38739.40125130948
11/2023,41104.31164184984
12/2023,42407.210071297806
01/2024,43878.0682459657
02/2024,46109.9570763342
03/2024,47745.168595458425
04/2024,46363.92903793503
