Data,IE00BHZRQZ17
03/2021,10000
04/2021,9621.716251376618
05/2021,10352.539614919773
06/2021,10646.610987493905
07/2021,10730.967139115959
08/2021,11826.4792012501
09/2021,12256.879507822096
10/2021,12041.569004535246
11/2021,11987.517584798346
12/2021,12480.018360682154
01/2022,12482.960188089206
02/2022,11888.896954434917
03/2022,12471.723155469774
04/2022,13084.765576812708
05/2022,11935.897554572628
06/2022,11490.808523519749
07/2022,12737.814994709059
08/2022,13521.487454297549
09/2022,12996.485405355286
10/2022,13089.385512772285
11/2022,13136.187656687778
12/2022,12121.427448130135
01/2023,11629.340038612918
02/2023,11306.942991323118
03/2023,11146.592104455334
04/2023,11504.492329989582
05/2023,12183.670834118118
06/2023,12639.19386401277
07/2023,12875.219856582919
08/2023,12936.74697209558
09/2023,13549.635544515348
10/2023,13082.204161131249
11/2023,13627.946983376409
12/2023,14632.914293074418
01/2024,15294.61825069499
02/2024,15719.60544363024
03/2024,15821.355719040474
04/2024,16452.579997215762
