Data,IE00BJ5JP105
10/2019,10000
11/2019,10127.485850013592
12/2019,10667.464214436452
01/2020,9695.6459113626
02/2020,8337.530136607758
03/2020,5886.319251556532
04/2020,6839.335356347815
05/2020,6931.49259577911
06/2020,6857.934117770821
07/2020,6596.245956294169
08/2020,6691.303085617425
09/2020,5760.45395919771
10/2020,5453.112468009034
11/2020,7037.67607341066
12/2020,7297.617785645965
01/2021,7507.584942196033
02/2021,8685.63587303968
03/2021,8883.243348208734
04/2021,8915.525264959699
05/2021,9370.786181453606
06/2021,9650.819736475052
07/2021,9048.481825200504
08/2021,8936.102996081094
09/2021,9773.002222076795
10/2021,10557.684981445525
11/2021,9826.605674619377
12/2021,10205.470062710257
01/2022,11783.580524787028
02/2022,12373.98303292022
03/2022,13327.828897377109
04/2022,13130.524445907962
05/2022,14876.922867981146
06/2022,12639.238015591267
07/2022,13507.443323079158
08/2022,13739.638063397053
09/2022,12451.903077126473
10/2022,14943.90271845041
11/2022,15408.187335042649
12/2022,14874.703150957743
01/2023,15326.425761384366
02/2023,14606.185865938833
03/2023,14359.542933760478
04/2023,14906.542446509546
05/2023,13413.03566575898
06/2023,14279.881142946108
07/2023,15206.77183651139
08/2023,15467.82222426084
09/2023,15880.025824311007
10/2023,15183.653151398308
11/2023,15232.968577352864
12/2023,15224.49774404865
01/2024,15067.021429580487
02/2024,15307.52956929355
03/2024,16701.782299150622
04/2024,16751.686699684815
