Data,IE00BJK9HD13
10/2008,10000
11/2008,10387.406666666666
12/2008,10511.281042134895
01/2009,10383.575722376348
02/2009,10464.800151917532
03/2009,10594.475048850929
04/2009,10663.853228194752
05/2009,10524.05331092372
06/2009,10655.189829730089
07/2009,10853.649995508296
08/2009,10900.94968348106
09/2009,10969.833583297413
10/2009,10977.241861738405
11/2009,11050.403548931628
12/2009,10954.804523254543
01/2010,11004.742645423186
02/2010,11134.922648236654
03/2010,11208.406119017045
04/2010,11133.885710842073
05/2010,11300.098475269942
06/2010,11217.195844438347
07/2010,11318.791028208207
08/2010,11621.958259866762
09/2010,11482.372402087947
10/2010,11419.28402637532
11/2010,11124.337767337065
12/2010,11075.460319208109
01/2011,11009.627608441373
02/2011,11007.00396917198
03/2011,10939.272273344952
04/2011,10973.835095860004
05/2011,11108.103264997593
06/2011,11065.285587476206
07/2011,11069.43996736752
08/2011,11408.005484005027
09/2011,11502.574831331465
10/2011,11279.332986288005
11/2011,11017.813371976561
12/2011,11469.820139644899
01/2012,11658.604655347957
02/2012,11864.322872276047
03/2012,11867.619929213553
04/2012,11839.613049815647
05/2012,12001.667035940673
06/2012,11882.190420851803
07/2012,12078.36875483466
08/2012,12165.42274545689
09/2012,12310.211331923454
10/2012,12398.257457430647
11/2012,12578.660288442445
12/2012,12676.768228707017
01/2013,12600.813093508052
02/2013,12625.384392256343
03/2013,12708.5979558404
04/2013,13035.56342448455
05/2013,12862.04105985035
06/2013,12668.14103877144
07/2013,12760.331016489177
08/2013,12691.409383625854
09/2013,12783.870504618193
10/2013,12967.120472391054
11/2013,13007.224325447427
12/2013,12928.703347424253
01/2014,13217.162294121601
02/2014,13301.900998139521
03/2014,13425.478680191025
04/2014,13558.912367496356
05/2014,13689.519230987094
06/2014,13837.905135498155
07/2014,13967.44281135289
08/2014,14232.878877789266
09/2014,14243.006943725675
10/2014,14280.23320180362
11/2014,14479.015652530537
12/2014,14643.513053322375
01/2015,14978.74223288471
02/2015,15085.639606006907
03/2015,15273.099910852554
04/2015,15049.62968549387
05/2015,14816.072551206142
06/2015,14432.232521522452
07/2015,14769.436543667875
08/2015,14608.53203873844
09/2015,14804.94576479463
10/2015,14949.018227637918
11/2015,15021.99358055981
12/2015,14872.510442945613
01/2016,15166.060525544237
02/2016,15311.673038996621
03/2016,15388.445367756409
04/2016,15205.657671667394
05/2016,15363.944925987456
06/2016,15726.954550964541
07/2016,15847.867914935972
08/2016,15793.408651309934
09/2016,15828.04119484777
10/2016,15479.657451564548
11/2016,15235.836712376235
12/2016,15340.163715472783
01/2017,15015.733771683741
02/2017,15192.612808946064
03/2017,15100.721976820509
04/2017,15179.489920841706
05/2017,15262.567912621505
06/2017,15180.05351463283
07/2017,15211.028994895105
08/2017,15340.348305903617
09/2017,15265.024280417327
10/2017,15434.003313034296
11/2017,15482.191649069562
12/2017,15347.62275666101
01/2018,15286.760360466713
02/2018,15318.39183699185
03/2018,15565.48513477655
04/2018,15503.44051776712
05/2018,15311.11506822165
06/2018,15426.68809241936
07/2018,15365.145671398299
08/2018,15278.310427453582
09/2018,15254.4199386261
10/2018,15246.00963464878
11/2018,15336.232815152618
12/2018,15477.54481108056
01/2019,15649.471295869187
02/2019,15588.262124923425
03/2019,15869.934362128519
04/2019,15864.653167373934
05/2019,16039.389525756062
06/2019,16407.00198204898
07/2019,16688.48319934986
08/2019,17102.04539317928
09/2019,17032.80583991918
10/2019,16837.021257027394
11/2019,16681.66432967976
12/2019,16535.64986086811
01/2020,16930.934288088203
02/2020,17012.073070700237
03/2020,16566.26084089157
04/2020,16657.48096146202
05/2020,16690.229451348427
06/2020,16859.05274931183
07/2020,17039.986025162732
08/2020,16901.22322284178
09/2020,17144.127266583662
10/2020,17315.72216449936
11/2020,17335.77071937018
12/2020,17369.539609267707
01/2021,17247.818872299253
