Data,IE00BK5BC891
03/2013,10000
04/2013,9794.55421425232
05/2013,10031.888741799323
06/2013,9672.44210751126
07/2013,10167.773442640186
08/2013,9905.576594125352
09/2013,10613.357668350083
10/2013,10986.787458661527
11/2013,11303.972905763752
12/2013,11670.830431398268
01/2014,11262.796325859596
02/2014,11951.645565299192
03/2014,11733.32525737093
04/2014,11499.23133630274
05/2014,11544.363494006127
06/2014,11905.23599844853
07/2014,11304.91374300709
08/2014,11761.133550086617
09/2014,11225.035484839294
10/2014,11806.21837685968
11/2014,11853.091960030828
12/2014,11765.77318887195
01/2015,11505.687809153012
02/2015,11811.76634334463
03/2015,11841.680775542687
04/2015,12297.17885753352
05/2015,12292.157509500026
06/2015,11952.077789413943
07/2015,11563.72412729815
08/2015,10964.720947679598
09/2015,10651.350419296297
10/2015,11534.696121694538
11/2015,11737.72936139189
12/2015,11333.438337122903
01/2016,10742.666356873786
02/2016,10964.534766338571
03/2016,11918.04701774822
04/2016,12359.416172076657
05/2016,12521.148501265214
06/2016,12807.04167137629
07/2016,13424.020575205754
08/2016,13399.811117838633
09/2016,13718.496723723034
10/2016,13308.10627901751
11/2016,13880.557798128255
12/2016,13803.051497507318
01/2017,14157.44353312738
02/2017,14341.438004292195
03/2017,14467.29000377527
04/2017,14985.054212729143
05/2017,15047.683106580023
06/2017,15163.270936683803
07/2017,15379.837648680144
08/2017,15378.462146064658
09/2017,16226.214775757357
10/2017,16766.507092826563
11/2017,17672.790238536272
12/2017,17704.74877906094
01/2018,17787.584968268864
02/2018,16944.617376800416
03/2018,17271.24993386548
04/2018,17246.59772766459
05/2018,17567.95029135599
06/2018,17574.45435063039
07/2018,18366.116949223444
08/2018,18482.594109944326
09/2018,18436.01512183013
10/2018,16591.810902521713
11/2018,17202.183421666407
12/2018,16009.104173021677
01/2019,17621.59664238725
02/2019,18311.63055562992
03/2019,18461.84436272771
04/2019,19025.461180565522
05/2019,18015.891672710008
06/2019,19555.30997457042
07/2019,19418.070529927634
08/2019,19208.082418463702
09/2019,19622.640202619437
10/2019,20447.44446732694
11/2019,20781.599976819463
12/2019,21715.836664761373
01/2020,21447.143291029668
02/2020,19710.48111722022
03/2020,16855.513857931794
04/2020,18603.02208589425
05/2020,19645.54181687221
06/2020,19951.9491737386
07/2020,20935.06517387718
08/2020,21734.685994682994
09/2020,21219.454272790066
10/2020,21408.804416752824
11/2020,24418.324455845424
12/2020,25874.476208049557
01/2021,25838.82554145326
02/2021,27334.703677528887
03/2021,27930.894172933888
04/2021,29585.667501954966
05/2021,30393.350404853376
06/2021,30506.118330448713
07/2021,31553.39651375759
08/2021,32621.958091610126
09/2021,30291.756152001155
10/2021,31579.11581282828
11/2021,31020.39489249208
12/2021,32660.855735114343
01/2022,29634.443655395025
02/2022,28601.160553884336
03/2022,28989.531521956516
04/2022,26730.83761797845
05/2022,26990.231135994134
06/2022,24812.82464450806
07/2022,27160.61980127748
08/2022,25780.48845645796
09/2022,23194.783456473047
10/2022,25872.191989680658
11/2022,27671.667404716227
12/2022,26662.50206437925
01/2023,29026.75301815285
02/2023,28676.813678137416
03/2023,28518.087457149766
04/2023,28198.216295759346
05/2023,28135.193206028962
06/2023,29900.031934047576
07/2023,30844.74577438465
08/2023,29815.584234479873
09/2023,27645.427108961052
10/2023,26930.67562196707
11/2023,30111.05390861366
12/2023,32334.949222091564
01/2024,31032.45528975142
02/2024,33287.4377011876
03/2024,34247.63446384041
04/2024,33042.77477760601
