Data,IE00BK5BQT80
09/2003,10000
10/2003,10629.985121795247
11/2003,10451.405579274318
12/2003,10537.634508260662
01/2004,10942.86740804975
02/2004,11125.435488900608
03/2004,11242.952192591503
04/2004,11226.116475112744
05/2004,11077.98919658242
06/2004,11325.643653772802
07/2004,11076.639581799405
08/2004,11086.293376488351
09/2004,11048.55162175265
10/2004,11025.411911717652
11/2004,11142.466224957974
12/2004,11293.01710402291
01/2005,11553.250021084103
02/2005,11753.85696005792
03/2005,11752.832954930454
04/2005,11500.486086072226
05/2005,12333.229478839525
06/2005,12719.158349930429
07/2005,13198.529436997016
08/2005,13177.129169078724
09/2005,13736.372118194786
10/2005,13398.913994455937
11/2005,14178.69827615407
12/2005,14492.013054788917
01/2006,14808.384174238581
02/2006,15098.905577536389
03/2006,15133.648836468663
04/2006,15089.17670419291
05/2006,14130.239165837495
06/2006,14310.184793540591
07/2006,14362.98235756544
08/2006,14642.126478303171
09/2006,15045.548023892736
10/2006,15559.750007139353
11/2006,15392.213080018806
12/2006,15781.309599275399
01/2007,16195.101571488822
02/2007,15788.19823998906
03/2007,15975.966047021875
04/2007,16345.024460299754
05/2007,17040.44824076541
06/2007,16931.509279906335
07/2007,16433.3350953383
08/2007,16389.927842707475
09/2007,16688.113160116587
10/2007,17037.03231835321
11/2007,15972.490330223929
12/2007,15826.354265765238
01/2008,14387.4310950278
02/2008,14136.07636565415
03/2008,13360.139169708413
04/2008,14349.901050685487
05/2008,14595.108305775913
06/2008,13142.486304584463
07/2008,12957.242908815288
08/2008,13423.495858676943
09/2008,12126.883162596027
10/2008,10885.328204269774
11/2008,10199.070827283162
12/2008,9674.939218657766
01/2009,9588.825656222745
02/2009,8774.071168565415
03/2009,9040.173545885342
04/2009,10152.32558530409
05/2009,10524.193313902828
06/2009,10439.97204340705
07/2009,11362.023193943516
08/2009,11669.527869191299
09/2009,11893.83390394125
10/2009,11581.900772813058
11/2009,11873.813179404886
12/2009,12631.670805817968
01/2010,12467.408700549066
02/2010,12979.286100269554
03/2010,13916.06486989652
04/2010,14107.604703619289
05/2010,13798.311254532277
06/2010,13430.644358350586
07/2010,13678.114992003399
08/2010,13557.826597852303
09/2010,13813.528070837894
10/2010,14084.698347352145
11/2010,14654.917427574232
12/2010,15309.999087749724
01/2011,15165.066785651963
02/2011,15429.672279799137
03/2011,15020.338939675157
04/2011,14945.160524300898
05/2011,15096.633087903103
06/2011,14793.020600299282
07/2011,14738.65017334514
08/2011,13474.528049721637
09/2011,13042.396153697815
10/2011,13926.973875130296
11/2011,14078.121686711067
12/2011,14556.975872078576
01/2012,15148.804936643259
02/2012,15593.409207201432
03/2012,15782.481425290496
04/2012,15763.91008086028
05/2012,15283.483441682134
06/2012,15799.083791543433
07/2012,16415.417165722858
08/2012,16331.5414875192
09/2012,16435.46285862409
10/2012,16256.846080188598
11/2012,16470.991453681363
12/2012,16593.326959429083
01/2013,16897.352478579498
02/2013,17424.43623223297
03/2013,18174.344083456283
04/2013,18315.605005662495
05/2013,18358.510654877122
06/2013,17720.26800863382
07/2013,18287.37420831029
08/2013,17957.698386477405
09/2013,18510.423413865046
10/2013,19057.381165789444
11/2013,19363.66129594533
12/2013,19434.595704610652
01/2014,19034.181409356843
02/2014,19501.076286590356
03/2014,19636.740663076456
04/2014,19726.790643950433
05/2014,20509.717428811433
06/2014,20822.015572322518
07/2014,20997.193497198787
08/2014,21766.883503718553
09/2014,22076.06197698438
10/2014,22327.038526928984
11/2014,22770.302385544244
12/2014,22959.035248311076
01/2015,24285.682689210127
02/2015,25770.027218381198
03/2015,26506.3368254244
04/2015,26166.669772502253
05/2015,26727.61859125923
06/2015,25583.691383517482
07/2015,26315.476618278713
08/2015,23979.56754860657
09/2015,23130.594839373403
10/2015,25354.436534108812
11/2015,26183.952181625256
12/2015,24994.015969143227
01/2016,23404.776715302043
02/2016,23301.0730976512
03/2016,23948.840583794128
04/2016,24259.68225097297
05/2016,24829.457141803283
06/2016,24785.8697821222
07/2016,25825.836687442265
08/2016,25855.85765346053
09/2016,25937.84357318265
10/2016,26009.221149722023
11/2016,26969.211373091013
12/2016,27817.571668181678
01/2017,27994.411699853372
02/2017,29215.8939006796
03/2017,29305.960152479536
04/2017,29105.9823814812
05/2017,28964.29681398543
06/2017,28589.91792021228
07/2017,28576.797785225874
08/2017,28447.225967452552
09/2017,29038.839375358682
10/2017,30069.930752588
11/2017,30106.97650739377
12/2017,30245.305766631518
01/2018,30744.112450654102
02/2018,30043.815334413594
03/2018,29131.24817864275
04/2018,29995.280108898372
05/2018,30974.63253434222
06/2018,30889.503827926346
07/2018,31606.45905641601
08/2018,32055.14597978784
09/2018,32409.18311059223
10/2018,30661.65574204272
11/2018,30991.816950748165
12/2018,28584.420707479985
01/2019,30701.537989091157
02/2019,31698.929014369467
03/2019,32611.040225505658
04/2019,33754.649632706845
05/2019,31947.9948956862
06/2019,33322.7821864081
07/2019,34091.69931790848
08/2019,33630.751748786875
09/2019,34823.71467950436
10/2019,34938.56806975393
11/2019,36334.88865767709
12/2019,36782.291646947175
01/2020,36952.61835507236
02/2020,34188.32880783985
03/2020,29615.07958639343
04/2020,32998.89907377256
05/2020,33645.84163131931
06/2020,34505.676755035056
07/2020,34287.16069825076
08/2020,36125.76058861835
09/2020,35649.87605360225
10/2020,34787.33304904503
11/2020,38164.044567494195
12/2020,38980.70241356157
01/2021,39229.78338594282
02/2021,40187.158868453575
03/2021,42693.53941651871
04/2021,43210.69269277676
05/2021,43465.915754427624
06/2021,45156.10304336819
07/2021,45407.42181694218
08/2021,46751.939737536646
09/2021,45828.2632889803
10/2021,47834.33508310484
11/2021,47774.69319920305
12/2021,49894.80125769521
01/2022,48212.34065470652
02/2022,46795.577044965474
03/2022,48212.494899031764
04/2022,46756.98778465932
05/2022,46046.46743135385
06/2022,43494.80101338059
07/2022,47318.340502782434
08/2022,46505.18652220861
09/2022,43132.383584622294
10/2022,44919.5214305244
11/2022,46264.0114524813
12/2022,43310.784034279626
01/2023,45650.11321997915
02/2023,45221.901960071635
03/2023,45480.957402348475
04/2023,45707.703870127385
05/2023,46469.626665702934
06/2023,48269.740875195
07/2023,49312.72607264851
08/2023,48640.57098542645
09/2023,47874.55098527487
10/2023,46315.04059171086
11/2023,49112.93848456748
12/2023,50892.90219988654
01/2024,52185.84787470294
02/2024,54424.166989275975
03/2024,56158.91027636597
04/2024,54806.89246688793
