Data,IE00BK5BQX27
03/2005,10000
04/2005,9833.241603928536
05/2005,10325.959695275846
06/2005,10683.10425331415
07/2005,11047.168975084023
08/2005,11075.129733910288
09/2005,11564.930314905974
10/2005,11292.32728482192
11/2005,11666.395627097736
12/2005,12070.475153848289
01/2006,12498.853041193064
02/2006,12763.164679129517
03/2006,13076.925691751616
04/2006,13207.891329783195
05/2006,12625.503664215752
06/2006,12735.227100266167
07/2006,12973.281780366211
08/2006,13344.747490826894
09/2006,13600.123162794556
10/2006,14083.016202644749
11/2006,14032.954074657002
12/2006,14551.451256658715
01/2007,14853.408486340362
02/2007,14562.134155218999
03/2007,14970.848541755882
04/2007,15580.006996395517
05/2007,16117.527480147552
06/2007,16070.326656695333
07/2007,15522.290957742767
08/2007,15406.273372531115
09/2007,15515.204213040915
10/2007,15973.860932747313
11/2007,15274.711413952255
12/2007,15060.44344759548
01/2008,13317.602090440627
02/2008,13209.527737870418
03/2008,12721.555773449189
04/2008,13557.488457256468
05/2008,13682.703822732557
06/2008,12302.875622680755
07/2008,12073.23135307288
08/2008,12285.977383096935
09/2008,10952.445333231717
10/2008,9516.562245117459
11/2008,8882.985831464513
12/2008,8555.01596326563
01/2009,8230.535049953736
02/2009,7464.900049471465
03/2009,7652.431585968723
04/2009,8776.0340189495
05/2009,9238.036948565525
06/2009,9137.823537105382
07/2009,10001.705947206267
08/2009,10532.153511397924
09/2009,10822.779092793342
10/2009,10577.311164449351
11/2009,10704.570175644509
12/2009,11371.33743624859
01/2010,11038.296747869304
02/2010,11004.020374836566
03/2010,11837.348335845212
04/2010,11739.34916204346
05/2010,11176.656715526695
06/2010,11108.6434521211
07/2010,11672.713688824051
08/2010,11506.191906613582
09/2010,11911.270225895672
10/2010,12208.680387601531
11/2010,12037.08618747968
12/2010,12682.055943432772
01/2011,12924.097986763114
02/2011,13247.602336452424
03/2011,12792.263955639633
04/2011,13232.545921497063
05/2011,13221.331031905569
06/2011,12871.761919224273
07/2011,12522.134774341337
08/2011,11228.159481810604
09/2011,10692.369500298439
10/2011,11542.772424571995
11/2011,11411.665768333487
12/2011,11630.20657363224
01/2012,12102.988733279031
02/2012,12603.951537444736
03/2012,12587.899557198214
04/2012,12385.32656328975
05/2012,11646.41275835797
06/2012,12247.14031908627
07/2012,12762.433066961621
08/2012,13032.811154919862
09/2012,13147.899462150577
10/2012,13248.220406766146
11/2012,13547.304024801715
12/2012,13751.125194678842
01/2013,14143.04018189679
02/2013,14278.801374880013
03/2013,14520.239896471123
04/2013,14780.829338017305
05/2013,15104.12692552672
06/2013,14335.389254134721
07/2013,15070.075087050733
08/2013,14987.190950169614
09/2013,15649.43521208142
10/2013,16245.653895165988
11/2013,16424.93356455096
12/2013,16588.880878078715
01/2014,16300.20848296846
02/2014,17079.638897029563
03/2014,16956.300245882314
04/2014,17276.639020181367
05/2014,17747.59775337183
06/2014,17677.787109860405
07/2014,17399.477133753408
08/2014,17751.27739133057
09/2014,17711.682997586
10/2014,17495.975732888062
11/2014,18057.02441081442
12/2014,17804.461125264643
01/2015,19088.152728493325
02/2015,20337.507118569953
03/2015,20773.011827020546
04/2015,20807.21020616571
05/2015,21623.08125546514
06/2015,20190.239754625552
07/2015,20996.89061227855
08/2015,19243.114550522732
09/2015,18095.329534494787
10/2015,19951.36760354281
11/2015,20497.77726112401
12/2015,19432.669779602253
01/2016,17819.753038474842
02/2016,17825.075180543576
03/2016,18094.114599133354
04/2016,18464.13383627434
05/2016,18933.355060743925
06/2016,18118.01015355199
07/2016,18757.733470929194
08/2016,18893.05469681617
09/2016,18884.181359643047
10/2016,18709.087674924216
11/2016,18908.62239402965
12/2016,19952.80575706943
01/2017,19947.808487340677
02/2017,20493.9886180227
03/2017,21235.331173017275
04/2017,21638.743463237468
05/2017,22006.300308465718
06/2017,21458.88490555889
07/2017,21406.72092854569
08/2017,21215.923176195756
09/2017,21950.56802271093
10/2017,22482.386102327186
11/2017,22038.824658509195
12/2017,22227.69349026381
01/2018,22621.623705528986
02/2018,21708.443365687126
03/2018,21293.67478825368
04/2018,22317.970153549813
05/2018,22382.036073821844
06/2018,22237.23522325374
07/2018,22929.50167968816
08/2018,22422.74212639428
09/2018,22722.301473437128
10/2018,21313.753506976293
11/2018,21102.436064692425
12/2018,19952.503505264882
01/2019,21209.069499056743
02/2019,22081.629290034492
03/2019,22544.725771459933
04/2019,23415.502988738786
05/2019,22288.44830889513
06/2019,23285.822680085945
07/2019,23363.920152903873
08/2019,23017.493519659085
09/2019,23883.856512182414
10/2019,24114.65705382779
11/2019,24763.970669281618
12/2019,25296.086911491206
01/2020,24976.87532491909
02/2020,22873.60827645001
03/2020,19571.36637017412
04/2020,20835.85555038453
05/2020,21522.91497665922
06/2020,22172.49273442601
07/2020,21918.05587167199
08/2020,22585.965056838893
09/2020,22269.69903396259
10/2020,21136.672651576755
11/2020,24097.221366908496
12/2020,24712.043671913387
01/2021,24537.35836345016
02/2021,25160.005024217688
03/2021,26775.356725419504
04/2021,27382.004334544992
05/2021,28126.700063995795
06/2021,28592.586265566042
07/2021,29142.136540470277
08/2021,29740.254104333584
09/2021,28834.963374821436
10/2021,30166.972263728083
11/2021,29395.59699950288
12/2021,30990.063290660415
01/2022,29954.13639748943
02/2022,28117.622482747218
03/2022,29563.728039632406
04/2022,28888.292991331633
05/2022,28909.327051540124
06/2022,26623.27061635294
07/2022,28301.609567991076
08/2022,27220.991379215837
09/2022,25141.18659279088
10/2022,27059.239607463107
11/2022,28935.16877270025
12/2022,27945.04677021193
