Data,IE00BK5BR733
03/2005,10000
04/2005,9785.22812215222
05/2005,10615.403876043054
06/2005,11208.079125455939
07/2005,11966.110831607251
08/2005,11880.796000092903
09/2005,13268.224086955997
10/2005,12499.142363094774
11/2005,13772.122789310248
12/2005,14686.750673736928
01/2006,15860.990695060667
02/2006,16153.149718049568
03/2006,16066.25163982557
04/2006,16517.616525479625
05/2006,14528.267352433246
06/2006,14544.709627730912
07/2006,14766.843286884765
08/2006,15180.16421609868
09/2006,15437.771064368306
10/2006,16045.079823758666
11/2006,16577.645231252445
12/2006,17451.658799451856
01/2007,17523.78585128261
02/2007,17177.57767194473
03/2007,17733.84838348628
04/2007,18219.264485649965
05/2007,19489.437419886617
06/2007,20186.49006992875
07/2007,20931.911410595094
08/2007,20495.95583239671
09/2007,21704.924785903673
10/2007,23626.525030907374
11/2007,21729.718025128735
12/2007,21946.554925734286
01/2008,19126.30678361354
02/2008,19947.910845060116
03/2008,18179.826425241303
04/2008,19934.050719911087
05/2008,20416.832094838293
06/2008,18093.096986911598
07/2008,17644.312279011814
08/2008,17246.628881799094
09/2008,14978.889360797146
10/2008,11959.838590752086
11/2008,11043.439490694873
12/2008,10848.348502149787
01/2009,11013.845629321844
02/2009,10446.023075338853
03/2009,11498.935541105106
04/2009,13578.343009641161
05/2009,14909.35021241838
06/2009,14805.754145198567
07/2009,16256.523024746384
08/2009,16107.964579398476
09/2009,17271.498913950196
10/2009,17266.31581711128
11/2009,17763.802207227116
12/2009,19148.063069285792
01/2010,18665.00688579208
02/2010,19088.630210889572
03/2010,20795.102666322247
04/2010,21366.05593797891
05/2010,21278.87111388007
06/2010,21170.627519294285
07/2010,21551.70163920747
08/2010,21707.243592894978
09/2010,22418.187775900667
10/2010,22689.07247583697
11/2010,23539.497262217727
12/2010,24483.646504732584
01/2011,23053.63564614537
02/2011,22935.970311853296
03/2011,23396.847100977116
04/2011,22883.709479114135
05/2011,22993.142454608005
06/2011,22502.419535846348
07/2011,22561.597691955674
08/2011,20755.67791874902
09/2011,19058.422244753234
10/2011,20589.742920771117
11/2011,19923.737007760265
12/2011,20459.604469678427
01/2012,22645.085176894365
02/2012,23492.207312980943
03/2012,22674.77290800901
04/2012,22426.81516879147
05/2012,21357.22651644481
06/2012,21646.82441591754
07/2012,22714.84220420474
08/2012,22149.076892994228
09/2012,22985.35682980541
10/2012,22745.645775607398
11/2012,22858.569733730314
12/2012,23708.459300552015
01/2013,23539.366998535355
02/2013,23848.764252278146
03/2013,23946.137274703906
04/2013,23668.86835214851
05/2013,23354.288342295946
06/2013,21851.805906198177
07/2013,21521.326208872353
08/2013,21063.70090133414
09/2013,21900.869879899947
10/2013,22929.48954245672
11/2013,22400.78624694892
12/2013,21841.21952685957
01/2014,20822.46165629146
02/2014,20943.036010153268
03/2014,21804.007971534753
04/2014,21761.274286300995
05/2014,22950.9329813343
06/2014,23615.800805127874
07/2014,24672.27374511779
08/2014,25816.167609038115
09/2014,24995.5861245439
10/2014,25743.764729544888
11/2014,25678.178075623426
12/2014,25203.656731329895
01/2015,27225.1529603243
02/2015,28324.234787770853
03/2015,28925.33209775688
04/2015,29919.13655800898
05/2015,30274.040806098565
06/2015,28425.98050915678
07/2015,26710.04491879921
08/2015,23854.277302114904
09/2015,22693.094585704082
10/2015,24783.4484880677
11/2015,24960.02335153165
12/2015,23748.045256393118
01/2016,21359.85478152282
02/2016,22199.784153395376
03/2016,24004.553506328684
04/2016,24101.429022043412
05/2016,23895.40719747502
06/2016,25068.017474471897
07/2016,26157.59991795618
08/2016,26743.160412288144
09/2016,26773.832857959955
10/2016,27817.388359490164
11/2016,27359.76558783372
12/2016,27685.112249558057
01/2017,28293.735487497695
02/2017,29913.977115061352
03/2017,30101.929718817802
04/2017,30131.746379677035
05/2017,29634.312343390666
06/2017,29376.262086620813
07/2017,30104.116828724855
08/2017,30720.830674205874
09/2017,30407.16411415545
10/2017,31812.977622234597
11/2017,31145.340250800462
12/2017,32185.679077535748
01/2018,33730.65066072504
02/2018,33040.28171518586
03/2018,31868.754972248687
04/2018,32152.82412295052
05/2018,32073.715765634166
06/2018,30437.932698859942
07/2018,31807.481854163958
08/2018,30908.804119424127
09/2018,30688.608543276696
10/2018,29177.60606581139
11/2018,30407.765178076872
12/2018,29334.957768551514
01/2019,31633.294899049313
02/2019,32036.37595186805
03/2019,32966.781189378264
04/2019,33796.37526069456
05/2019,31875.459266479884
06/2019,32924.893486970286
07/2019,33516.11619519125
08/2019,32379.589510614
09/2019,33112.81183412093
10/2019,33713.729330981085
11/2019,34203.87859414172
12/2019,35940.11900290362
01/2020,34740.11956048628
02/2020,33276.30020670666
03/2020,27855.606961595007
04/2020,30491.233898135506
05/2020,30311.865721420978
06/2020,32222.180992069443
07/2020,33371.305522480725
08/2020,33722.65250373168
09/2020,33722.78852651727
10/2020,34757.88330616266
11/2020,36614.238177833344
12/2020,37996.58432986124
01/2021,39512.15828258476
02/2021,39980.58014823035
03/2021,40651.52170117946
04/2021,40699.756270688995
05/2021,41107.81667555563
06/2021,42382.38351173275
07/2021,39596.625825337
08/2021,41105.48769317163
09/2021,40333.685523836604
10/2021,40989.359164788344
11/2021,40568.48851802728
12/2021,40825.455445902066
01/2022,41244.6541243882
02/2022,39797.34249083809
03/2022,39642.79477714657
04/2022,38880.79864622325
05/2022,38908.156259710064
06/2022,37776.36459515055
07/2022,38764.428789350095
08/2022,39449.22791799895
09/2022,36199.92254051074
10/2022,34437.78561568092
11/2022,37694.05503907652
12/2022,36063.0990207537
