Data,IE00BK5H8015
03/2014,10000
04/2014,10105.702880977784
05/2014,10341.355282468032
06/2014,10237.518590441461
07/2014,10070.66972927433
08/2014,10302.376000932814
09/2014,10467.137810778562
10/2014,10301.284814897608
11/2014,10790.745899019694
12/2014,10610.35415117742
01/2015,11476.690536780188
02/2015,12225.60269002389
03/2015,12616.81645292677
04/2015,12470.222067554016
05/2015,12737.328954041515
06/2015,12176.151339829205
07/2015,12843.261178714964
08/2015,11811.494242375184
09/2015,11391.96714618485
10/2015,12250.672133559663
11/2015,12572.826857116
12/2015,12030.396846846717
01/2016,11199.611404704063
02/2016,10868.43634988076
03/2016,11001.874230433965
04/2016,11122.70527293745
05/2016,11473.803939282641
06/2016,10821.516492176746
07/2016,11247.064840531995
08/2016,11297.208254504481
09/2016,11191.61804639423
10/2016,11026.086936102982
11/2016,11025.951358363249
12/2016,11694.934204895897
01/2017,11633.820438930472
02/2017,12026.12264759995
03/2017,12498.579716817703
04/2017,12764.100255709503
05/2017,13055.662671873073
06/2017,12756.715055055414
07/2017,12601.802230561436
08/2017,12478.804177069134
09/2017,12951.899631089838
10/2017,13052.032652736545
11/2017,12788.006152827718
12/2017,12797.351026231097
01/2018,13023.008922517267
02/2018,12485.800196771668
03/2018,12215.178104928662
04/2018,12625.21604121598
05/2018,12491.70681897369
06/2018,12437.371272535065
07/2018,12936.054463255503
08/2018,12700.261698199249
09/2018,12702.851347366975
10/2018,12053.220428369972
11/2018,12107.968906939064
12/2018,11369.784859179868
01/2019,11961.828885817433
02/2019,12504.571386440986
03/2019,12697.152875679658
04/2019,13198.25380500244
05/2019,12610.73058175201
06/2019,13176.33057299092
07/2019,13172.121068420052
08/2019,13131.285565386443
09/2019,13654.260095367166
10/2019,13889.95783425708
11/2019,14243.16505651088
12/2019,14531.749038862685
01/2020,14426.249928119687
02/2020,13335.324886680337
03/2020,11619.518382122982
04/2020,12360.888437961255
05/2020,12659.140998556999
06/2020,13113.32299594398
07/2020,12937.745036458933
08/2020,13245.47843337454
09/2020,13111.314058219745
10/2020,12330.369658045902
11/2020,13861.289953550366
12/2020,14063.916145448698
01/2021,13893.157725810142
02/2021,14041.860695718058
03/2021,15081.378219210486
04/2021,15422.32260377911
05/2021,15881.507110149774
06/2021,16238.65463145995
07/2021,16590.923037960398
08/2021,16964.276115866673
09/2021,16376.07955049275
10/2021,17177.190940110875
11/2021,16822.681846288528
12/2021,17740.8548247556
01/2022,16895.239223690733
02/2022,16311.187207898925
03/2022,16522.874708332984
04/2022,16550.04641581767
05/2022,16227.516302167955
06/2022,15116.393679052271
07/2022,16225.223321485384
08/2022,15279.514465246517
09/2022,14389.698481598809
10/2022,15239.005064579726
11/2022,16170.71660527611
12/2022,15627.643575091735
01/2023,16766.47642297065
02/2023,16920.293774671223
03/2023,17147.98065692997
04/2023,17509.013449010312
05/2023,17242.42516552441
06/2023,17579.38970401226
07/2023,17876.95339719924
08/2023,17506.80606972148
09/2023,17195.24285566502
10/2023,16619.996908952788
11/2023,17850.617872045594
12/2023,18559.367180863555
01/2024,19189.356208354235
02/2024,19596.802535571496
03/2024,20361.728441017553
04/2024,20121.980614764216
