Data,IE00BKBF6H24
09/2010,10000
10/2010,10278.589899999999
11/2010,10244.516115088089
12/2010,10812.348245312545
01/2011,11014.657972493731
02/2011,11334.27824797637
03/2011,11189.654645148516
04/2011,11436.628513620773
05/2011,11291.397106277469
06/2011,11113.72087342687
07/2011,10811.165206048729
08/2011,10083.515154791496
09/2011,9446.924246789431
10/2011,10242.966428111065
11/2011,10098.815588362775
12/2011,10164.906813863336
01/2012,10598.541419849531
02/2012,11083.987671354174
03/2012,11273.509527862087
04/2012,11093.026686059135
05/2012,10297.339168129594
06/2012,10725.915767464798
07/2012,10879.493953330459
08/2012,11086.532415487183
09/2012,11313.387445886217
10/2012,11255.338506800565
11/2012,11411.956367646528
12/2012,11617.334632277329
01/2013,12212.56870097899
02/2013,12392.609401564268
03/2013,12722.338260581166
04/2013,13060.892298022058
05/2013,13242.31417014172
06/2013,12915.714399810635
07/2013,13509.71294976053
08/2013,13223.3052809599
09/2013,13704.97695797714
10/2013,14238.726129484634
11/2013,14539.731603333992
12/2013,14834.268624704398
01/2014,14339.621926541542
02/2014,14931.78731167129
03/2014,14955.599230932612
04/2014,15059.499481781286
05/2014,15399.56359753886
06/2014,15606.984909806994
07/2014,15475.982441383178
08/2014,15880.639494096804
09/2014,15709.914971226022
10/2014,15882.614218028935
11/2014,16328.057492531325
12/2014,16192.770207528245
01/2015,16069.207982895532
02/2015,17012.66967960995
03/2015,16924.860197563037
04/2015,17091.043408422393
05/2015,17300.163887497216
06/2015,16783.89117513354
07/2015,17194.681485494602
08/2015,16052.29272114029
09/2015,15470.286779644248
10/2015,16694.06090927466
11/2015,16795.32849210074
12/2015,16425.468698638888
01/2016,15525.581284084961
02/2016,15273.380392385041
03/2016,16040.587949718329
04/2016,16161.15564755158
05/2016,16436.354114409784
06/2016,16194.60095390933
07/2016,16839.96258900153
08/2016,16892.302728415216
09/2016,16905.19597922711
10/2016,16767.9952263062
11/2016,17201.452104219552
12/2016,17652.908266101553
01/2017,17850.99039840577
02/2017,18394.265328098547
03/2017,18546.991249497118
04/2017,18736.984912404252
05/2017,18983.547021191796
06/2017,18958.793890371446
07/2017,19196.479543794278
08/2017,19196.184943430882
09/2017,19616.367799448144
10/2017,20092.870793471648
11/2017,20371.271200915107
12/2017,20556.55618085106
01/2018,21276.979021014053
02/2018,20480.658567040526
03/2018,19970.292836750566
04/2018,20325.407028508173
05/2018,20549.53738714837
06/2018,20576.704972108106
07/2018,21186.355085450028
08/2018,21429.974330066358
09/2018,21544.60388423608
10/2018,20007.600235049154
11/2018,20198.429955626758
12/2018,18571.624549357628
01/2019,19878.10119524168
02/2019,20507.47479373719
03/2019,20798.146076835495
04/2019,21539.306569569766
05/2019,20259.862606306648
06/2019,21395.562856764795
07/2019,21610.91887644883
08/2019,21138.335703770255
09/2019,21593.93494002711
10/2019,21947.05165805931
11/2019,22607.058293915692
12/2019,23069.21903883231
01/2020,22971.32159559065
02/2020,21066.077772424625
03/2020,18352.202174417638
04/2020,20266.726288974947
05/2020,21196.806466596343
06/2020,21677.77420173752
07/2020,22354.309835870972
08/2020,23724.140424279634
09/2020,23009.952076934056
10/2020,22287.027639395143
11/2020,24894.75477854027
12/2020,25727.98398169038
01/2021,25505.99830944574
02/2021,26161.682090176306
03/2021,27257.16467723256
04/2021,28315.483988642856
05/2021,28587.363816978912
06/2021,29249.840177545357
07/2021,29728.87161574832
08/2021,30502.589052766398
09/2021,29337.140457783775
10/2021,30936.675527896507
11/2021,30446.916641007694
12/2021,31617.93606310355
01/2022,30014.658122641868
02/2022,29198.360558741195
03/2022,30076.248422438573
04/2022,27862.812481553145
05/2022,27773.276751349076
06/2022,25527.242535048834
07/2022,27556.283501381913
08/2022,26550.25649728598
09/2022,24257.16706648074
10/2022,25931.031684118996
11/2022,27319.6128012705
12/2022,25889.81947120881
01/2023,27510.245486230186
02/2023,27038.369266579684
03/2023,27660.355707714447
04/2023,28059.856435171896
05/2023,27966.268870775082
06/2023,29489.196801631737
07/2023,30303.221032105543
08/2023,29728.75071115799
09/2023,28569.9629269626
10/2023,27794.335562283904
11/2023,30017.40530602303
12/2023,31224.2556419964
01/2024,31754.603851131335
02/2024,33187.6967687415
03/2024,34282.32717945338
04/2024,33136.80515707645
