Data,IE00BKFB6K94
11/2008,10000
12/2008,8907.154378934085
01/2009,10479.938838401533
02/2009,11077.728352641618
03/2009,11984.215308060642
04/2009,12630.132558461011
05/2009,12338.291883831153
06/2009,14386.31583965349
07/2009,16984.748579257703
08/2009,12726.503523408936
09/2009,13188.353844906276
10/2009,14075.430548131051
11/2009,14717.364283753615
12/2009,15657.273502372886
01/2010,14234.225255293717
02/2010,14901.690261240843
03/2010,15308.461236998748
04/2010,14154.864026143654
05/2010,13829.18968100583
06/2010,13100.224336207646
07/2010,13752.25065073926
08/2010,14033.114227099626
09/2010,13360.09538027482
10/2010,15236.278140762408
11/2010,14984.723828409393
12/2010,14790.160320493504
01/2011,14327.950436248264
02/2011,14764.301497770686
03/2011,14434.93558614664
04/2011,13868.207031302776
05/2011,13573.1943044385
06/2011,13894.172387917199
07/2011,13744.308866935871
08/2011,13065.40358903007
09/2011,12808.188124196407
10/2011,13002.887967999244
11/2011,12652.020233745363
12/2011,12612.94261104629
01/2012,13014.368707187625
02/2012,13512.810019591701
03/2012,12698.01305916203
04/2012,13679.546905040717
05/2012,14411.667950864978
06/2012,13588.62492632341
07/2012,13362.115796358985
08/2012,12313.810701683607
09/2012,12629.298103697089
10/2012,12483.986254210304
11/2012,11977.846141044602
12/2012,13765.860366325214
01/2013,14155.703342221808
02/2013,14485.103767242326
03/2013,13909.210117717532
04/2013,13468.8868558317
05/2013,14385.626949561782
06/2013,12334.80127513894
07/2013,12242.272266932612
08/2013,12958.731181517145
09/2013,13215.285946379316
10/2013,12941.027109149707
11/2013,13354.889869643104
12/2013,12685.245872140325
01/2014,12214.712726860938
02/2014,11621.647017478559
03/2014,11352.76598894322
04/2014,11274.607659469499
05/2014,11488.4472619994
06/2014,11679.23498268743
07/2014,13186.526637964876
08/2014,13352.620291159128
09/2014,14620.045822523714
10/2014,15134.955274716367
11/2014,16839.71688853727
12/2014,21377.1087586212
01/2015,22214.211422920805
02/2015,23168.829063464644
03/2015,27855.06887729089
04/2015,31738.454858357185
05/2015,33082.88384615304
06/2015,30017.779248763385
07/2015,26226.012955058857
08/2015,22017.280064224808
09/2015,20957.737612992358
10/2015,23875.223679600913
11/2015,24785.806805334745
12/2015,24591.108172665907
01/2016,18891.66861168753
02/2016,18689.240756365452
03/2016,20282.000633231804
04/2016,19707.292389079346
05/2016,19849.009245722773
06/2016,19940.866090405605
07/2016,20629.59903688348
08/2016,21223.86842652155
09/2016,20651.73764555188
10/2016,21294.397951529198
11/2016,22753.795838875903
12/2016,21454.28044621967
01/2017,21749.39253555716
02/2017,22578.466434167432
03/2017,22326.928276205093
04/2017,21803.358703724687
05/2017,21618.17510070369
06/2017,22585.30031603229
07/2017,22880.358012958885
08/2017,23626.30524371152
09/2017,23725.74399524191
10/2017,25044.366202631576
11/2017,24268.602061620357
12/2017,24454.652851858555
01/2018,25577.095354321482
02/2018,24303.299956746054
03/2018,23501.170226444203
04/2018,22896.111517754933
05/2018,23329.551317451
06/2018,20990.347747747863
07/2018,20487.715289140684
08/2018,19337.451854673196
09/2018,19958.866614899023
10/2018,18364.978462641797
11/2018,18521.516383401424
12/2018,17834.282744242108
01/2019,19333.08932491848
02/2019,22179.70034522665
03/2019,23782.353859045517
04/2019,23851.605097019186
05/2019,21789.349601944465
06/2019,22679.232257871732
07/2019,23315.621194463594
08/2019,22693.785737791422
09/2019,23127.297255506364
10/2019,23263.793284691645
11/2019,23366.109786742458
12/2019,24722.066153245047
01/2020,24668.799037659297
02/2020,24723.456461991103
03/2020,23001.379901233653
04/2020,24761.48246961613
05/2020,23704.04266610313
06/2020,26037.53647764711
07/2020,28321.333956686747
08/2020,29448.15586623093
09/2020,28723.73746081871
10/2020,29683.885492891837
11/2020,30771.24780088641
12/2020,32374.422392825065
01/2021,33961.40604626629
02/2021,33486.42831064034
03/2021,32439.106342163006
04/2021,32816.6817453076
05/2021,34528.70340389202
06/2021,34945.75948392721
07/2021,32641.733743188695
08/2021,33162.47406129488
09/2021,34299.98734068575
10/2021,34793.951224462595
11/2021,35548.14134486457
12/2021,36148.017953983544
01/2022,33460.75970481859
02/2022,34183.11855943707
03/2022,31491.602176508746
04/2022,29955.26151706039
05/2022,30287.024751751964
06/2022,34233.14309424007
07/2022,32727.17680223211
08/2022,32131.91379593349
09/2022,29827.918059600575
10/2022,26536.52128823076
11/2022,28642.435824176875
12/2022,28415.396542981518
01/2023,30633.11217977704
02/2023,29862.55759585759
03/2023,29149.417767078296
04/2023,28268.429837448275
05/2023,26729.979891786854
06/2023,26073.506839743128
07/2023,27450.30888964459
08/2023,25624.472842645675
09/2023,25810.290768496052
10/2023,24752.620603083105
11/2023,24377.80740326584
12/2023,23716.309963147498
01/2024,22161.574413940627
02/2024,24393.04558759409
03/2024,24393.608744947123
