Data,IE00BKWQ0M75
12/2000,10000
01/2001,10548.907403421928
02/2001,10187.685806020372
03/2001,9694.623707424114
04/2001,10231.601150365166
05/2001,10696.096996910552
06/2001,10199.15672277847
07/2001,9720.880732001877
08/2001,9365.939348445258
09/2001,7815.347380994339
10/2001,8399.770172380273
11/2001,9231.425635818672
12/2001,9480.404969099583
01/2002,9506.67046991213
02/2002,9521.071646139415
03/2002,10084.703020929579
04/2002,10072.759629848733
05/2002,9746.487191308486
06/2002,8856.587105572851
07/2002,8058.825198803966
08/2002,7890.201483102168
09/2002,7010.873361065574
10/2002,7296.023075649722
11/2002,7564.908830349707
12/2002,6979.895253428879
01/2003,6553.694946987313
02/2003,6311.26120215018
03/2003,6239.643228821745
04/2003,6992.050331689502
05/2003,7325.620958169151
06/2003,7737.471919210798
07/2003,8163.0273346154
08/2003,8750.75219482915
09/2003,8584.484395733389
10/2003,9317.125751079857
11/2003,9370.658290140573
12/2003,9374.202772418053
01/2004,10146.913451600367
02/2004,10571.392306041991
03/2004,10486.945708056885
04/2004,10496.623126340788
05/2004,10309.124117530524
06/2004,10711.871771037473
07/2004,10360.544649068566
08/2004,10272.038200441311
09/2004,10507.158390353301
10/2004,10654.374075222806
11/2004,11240.840791844075
12/2004,11548.556502996
01/2005,12245.483599153617
02/2005,12695.92284309497
03/2005,12712.588215284923
04/2005,12290.762187389637
05/2005,13015.036033618999
06/2005,13632.106234487921
07/2005,14404.438574456624
08/2005,14765.571019893345
09/2005,15327.165826947115
10/2005,14453.263004598639
11/2005,15107.517448323972
12/2005,15875.315670375772
01/2006,17035.240835062566
02/2006,17807.157028383055
03/2006,18380.969337376897
04/2006,18927.388539760876
05/2006,17656.376042392836
06/2006,17551.562282209736
07/2006,17302.29395047734
08/2006,17663.204964346973
09/2006,18230.463357760316
10/2006,19171.768247019474
11/2006,19693.210328701563
12/2006,20665.1801309557
01/2007,21437.34239559126
02/2007,21098.64950769007
03/2007,21970.330429771864
04/2007,22749.81389197585
05/2007,23341.639611560437
06/2007,22892.78961952024
07/2007,22399.676709646385
08/2007,21444.534508246958
09/2007,20646.242944520913
10/2007,21767.87960397741
11/2007,19494.555300282413
12/2007,18961.970280028938
01/2008,16741.01397531083
02/2008,17263.690569937746
03/2008,16731.0746153744
04/2008,17342.77528569143
05/2008,17612.027503397145
06/2008,15862.95054143372
07/2008,15196.552023438084
08/2008,15663.813682300744
09/2008,12919.362488528355
10/2008,10425.131596231688
11/2008,9546.595105444627
12/2008,9191.648175868397
01/2009,9344.344811298446
02/2009,8806.898315321012
03/2009,8961.888091925419
04/2009,10932.891672180478
05/2009,11689.615808436272
06/2009,11594.974055788018
07/2009,12641.045336135647
08/2009,13777.622839036594
09/2009,14367.97090376497
10/2009,13961.836670083674
11/2009,13889.292350115518
12/2009,14645.959989010305
01/2010,14948.200473915107
02/2010,14856.047952573326
03/2010,16208.933056657355
04/2010,16581.465863196445
05/2010,15402.107653774818
06/2010,15328.585562554612
07/2010,16168.466521792205
08/2010,15946.280563628216
09/2010,16859.172794752165
10/2010,17540.034219998695
11/2010,17499.543097635527
12/2010,19189.372172636547
01/2011,19060.245943403686
02/2011,19241.307298463867
03/2011,19038.707006350924
04/2011,19615.502659676255
05/2011,19692.40716704949
06/2011,18961.45961303866
07/2011,18448.388129006864
08/2011,16318.38841875578
09/2011,15126.562915947632
10/2011,16181.933095372982
11/2011,15813.886258078597
12/2011,15844.744962244737
01/2012,17114.371679306292
02/2012,18159.65237928889
03/2012,18214.849971798187
04/2012,18351.4305066654
05/2012,16994.779608943296
06/2012,17563.560587768912
07/2012,18094.901710169554
08/2012,18457.61973979126
09/2012,18964.525969779195
10/2012,19219.83197429947
11/2012,19406.52300612306
12/2012,20067.62579031375
01/2013,20704.965244806073
02/2013,21369.19177641711
03/2013,21792.29138412585
04/2013,22074.14649065923
05/2013,22633.401329412252
06/2013,21583.826977701287
07/2013,23135.082344832244
08/2013,23296.25007321728
09/2013,24685.94515459039
10/2013,25668.606440404295
11/2013,26239.058917675433
12/2013,26791.812805847345
01/2014,26965.469820848914
02/2014,28787.186792933313
03/2014,28446.051816621755
04/2014,28139.75636491698
05/2014,28893.910132227647
06/2014,28589.893923416595
07/2014,27801.151959918356
08/2014,28173.196399863184
09/2014,27854.053516513093
10/2014,27348.082211212804
11/2014,27927.80864206052
12/2014,28466.374803678485
01/2015,30281.653790087257
02/2015,32992.35723136728
03/2015,33634.83308977991
04/2015,34141.54108891829
05/2015,35418.495778006465
06/2015,34240.18231328676
07/2015,35819.57692555481
08/2015,33657.526188475495
09/2015,32509.968184353034
10/2015,34785.17037917867
11/2015,36051.4067039029
12/2015,35220.88288593688
01/2016,32105.818563126013
02/2016,32149.259863543797
03/2016,33305.107473739416
04/2016,33703.53206072767
05/2016,34930.666950533465
06/2016,31901.820773782172
07/2016,33858.71491349083
08/2016,34172.415592428144
09/2016,34727.72785073085
10/2016,33648.57125802687
11/2016,33898.422108321975
12/2016,35658.45617358759
01/2017,36124.40340257438
02/2017,37213.63724936598
03/2017,38123.51093229612
04/2017,39830.81959956261
05/2017,40519.575438527885
06/2017,39426.61698775204
07/2017,40082.269330731804
08/2017,39832.40659440796
09/2017,41460.800353466904
10/2017,42300.46187427225
11/2017,41731.7006056914
12/2017,42520.667215251415
01/2018,43286.527906839896
02/2018,41969.79335301481
03/2018,41242.807941021674
04/2018,43072.70783269087
05/2018,43729.278291404145
06/2018,43416.345794339555
07/2018,43795.345362573986
08/2018,43624.49963058786
09/2018,43002.44437392124
10/2018,39640.58870170113
11/2018,38111.64915929388
12/2018,35716.76484608102
01/2019,38939.36545746571
02/2019,40192.27362225379
03/2019,40825.815415877725
04/2019,42731.09543257456
05/2019,40289.79715689705
06/2019,41534.580477967
07/2019,41374.96655278506
08/2019,40642.27781029068
09/2019,42214.57483381039
10/2019,43220.866145332344
11/2019,45369.290278794
12/2019,47059.39470479474
01/2020,46404.39162203586
02/2020,42574.14194209954
03/2020,33541.89386021541
04/2020,37585.013052734954
05/2020,39225.29003169485
06/2020,39917.232326578756
07/2020,40158.929611647036
08/2020,42599.320054083815
09/2020,42334.431903875695
10/2020,40239.744464691605
11/2020,46454.472509607156
12/2020,49152.27261878959
01/2021,49540.340415415834
02/2021,51463.247843035686
03/2021,54177.34409504561
04/2021,55888.19000769171
05/2021,57419.59415108429
06/2021,56871.4717862457
07/2021,58924.177283465186
08/2021,60978.12646475308
09/2021,58458.922092034074
10/2021,60093.999024812394
11/2021,57983.32632595693
12/2021,61335.70592980395
01/2022,57225.89200832241
02/2022,54862.23954594514
03/2022,55232.75522503443
04/2022,54163.65432279154
05/2022,53274.71248113461
06/2022,47313.214610913696
07/2022,51623.0144100413
08/2022,48319.08758282708
09/2022,43006.27099776969
10/2022,45650.50625376665
11/2022,48311.0503497461
12/2022,47482.65605041777
01/2023,51111.19843023124
02/2023,52311.13282179515
03/2023,50199.57118985615
04/2023,51384.02812276881
05/2023,49785.13109120903
06/2023,50514.86515512353
07/2023,52010.840271919085
08/2023,50402.3518694009
09/2023,48872.36157413212
10/2023,45802.607838636184
11/2023,50055.209831749424
12/2023,53629.271777637936
01/2024,53306.66776763188
02/2024,53181.27716475605
03/2024,55464.374986069764
04/2024,54998.80015242663
