Data,IE00BKX55Q28
03/2005,10000
04/2005,9626.24219490853
05/2005,10178.65166457584
06/2005,10612.922426195526
07/2005,10739.841759163517
08/2005,11063.60095540564
09/2005,11411.746837315603
10/2005,11153.82489211634
11/2005,12016.000837412736
12/2005,12596.498057029063
01/2006,13224.610503430284
02/2006,13684.71924187258
03/2006,13946.86774666654
04/2006,14126.206883793982
05/2006,13483.471759272192
06/2006,13571.971145520045
07/2006,13660.831238736373
08/2006,14264.258906664034
09/2006,14760.360173714625
10/2006,15554.570348260917
11/2006,15917.360942438954
12/2006,16760.71080826818
01/2007,16877.144209558766
02/2007,16569.26200950604
03/2007,17375.913697922264
04/2007,17706.127296421575
05/2007,18105.405204584553
06/2007,17428.700761792712
07/2007,17160.923667280196
08/2007,17085.60841719562
09/2007,16199.29957528174
10/2007,17204.818713007095
11/2007,15456.854064159803
12/2007,14923.085098014997
01/2008,13659.628582802448
02/2008,13575.0801640716
03/2008,12989.939581525578
04/2008,13416.914450990884
05/2008,13337.205232239563
06/2008,12094.119443425772
07/2008,11799.730781056476
08/2008,12243.717961744798
09/2008,10519.79462022732
10/2008,8457.305708849388
11/2008,7799.230281746909
12/2008,7087.883659605892
01/2009,7501.888667939038
02/2009,7263.34435545571
03/2009,7374.241705421755
04/2009,9065.161268444424
05/2009,9338.764109253427
06/2009,9409.5725955813
07/2009,10159.735787982127
08/2009,10886.772523425812
09/2009,10899.26686912449
10/2009,10838.793223562257
11/2009,10657.198060069166
12/2009,11464.720906308472
01/2010,11681.821143120998
02/2010,11441.81184766911
03/2010,12571.651531379383
04/2010,13201.218891001961
05/2010,12510.124735529793
06/2010,12676.54874154404
07/2010,13307.308676986931
08/2010,13217.215184006373
09/2010,13603.625986491932
10/2010,13962.422127342104
11/2010,14199.11897843946
12/2010,15052.576530111899
01/2011,15075.298004294738
02/2011,15394.226174273992
03/2011,14782.80213835222
04/2011,15278.734470063804
05/2011,15650.675447147352
06/2011,15020.897577407131
07/2011,15066.087174522907
08/2011,13582.97300270683
09/2011,13098.571924855127
10/2011,13959.568177108808
11/2011,13885.143807870243
12/2011,13935.68009064575
01/2012,14994.391674187369
02/2012,15802.121226444226
03/2012,16033.242803448891
04/2012,16293.370825743721
05/2012,15369.30670694389
06/2012,15850.06350277055
07/2012,16652.307248068028
08/2012,16937.207172270082
09/2012,17392.05158187119
10/2012,17557.00648301488
11/2012,17565.75447385422
12/2012,17992.223570317103
01/2013,18067.276488841588
02/2013,18900.26119818619
03/2013,19634.594807237245
04/2013,19736.81773748508
05/2013,20164.654450363625
06/2013,19426.31296368408
07/2013,20514.14542960985
08/2013,20714.329004708317
09/2013,21605.135460851714
10/2013,22193.218072219468
11/2013,22620.10776329263
12/2013,23296.323946343102
01/2014,23278.21595606029
02/2014,24744.200804954144
03/2014,24049.36915364678
04/2014,23645.866893441536
05/2014,24223.6510490895
06/2014,24228.376738450657
07/2014,24153.332596332246
08/2014,24830.369176492604
09/2014,24468.10833587995
10/2014,24641.710396027353
11/2014,24865.404861004237
12/2014,25809.888143854496
01/2015,27137.521621779408
02/2015,29660.39315153948
03/2015,29633.483568275184
04/2015,30214.074012304744
05/2015,32404.83679313849
06/2015,31321.491626383864
07/2015,31715.31049561522
08/2015,29768.694332220377
09/2015,28639.16511528927
10/2015,30630.429665203614
11/2015,31725.97579048406
12/2015,30391.91009438766
01/2016,27254.760657140305
02/2016,27319.752698473
03/2016,27533.464363261875
04/2016,27741.26192108682
05/2016,29131.18583622856
06/2016,25310.40037366102
07/2016,26720.442928533186
08/2016,27211.255750490043
09/2016,27091.46848007767
10/2016,25619.036784939144
11/2016,27196.31599993056
12/2016,27672.5978477245
01/2017,27808.502141607358
02/2017,28870.332478741606
03/2017,29349.109329915627
04/2017,30911.12367086007
05/2017,30526.685293627634
06/2017,29375.330190985052
07/2017,29413.520014387148
08/2017,28763.747965844006
09/2017,30149.56927227518
10/2017,30996.351867762645
11/2017,30501.10822665821
12/2017,31545.302805462736
01/2018,31339.288682971048
02/2018,30067.004936161287
03/2018,30100.548242069304
04/2018,31478.510574935946
05/2018,32447.958819607553
06/2018,32322.701013410053
07/2018,32059.77476987271
08/2018,31785.589832136695
09/2018,31530.044431415987
10/2018,29448.7903959422
11/2018,28816.984142569658
12/2018,27077.663828098575
01/2019,29787.25337136107
02/2019,31098.967623200733
03/2019,30869.10076797372
04/2019,32245.906159882197
05/2019,30136.649620440734
06/2019,30574.001785991062
07/2019,30451.50491738046
08/2019,30382.690243699682
09/2019,31901.747593645858
10/2019,33016.83688398413
11/2019,34782.50634567504
12/2019,36691.87179949163
01/2020,35936.54670946314
02/2020,32073.93900097038
03/2020,24464.92562063512
04/2020,27187.21375378136
05/2020,27164.700403832492
06/2020,27107.217768766994
07/2020,27103.08263456108
08/2020,28834.103552542318
09/2020,27589.86223921849
10/2020,27726.908590522173
11/2020,31338.54941428057
12/2020,33138.88067029049
01/2021,33244.72995411828
02/2021,35054.45553880733
03/2021,36818.24926155043
04/2021,37764.03370378327
05/2021,38655.04496619435
06/2021,38240.17599225609
07/2021,39545.955554273714
08/2021,41365.992828657465
09/2021,39499.33874263312
10/2021,40417.73687690389
11/2021,39092.517811972364
12/2021,41389.73449909095
01/2022,38925.797983031036
02/2022,36012.64740685982
03/2022,37279.146421604055
04/2022,36436.80152568571
05/2022,35904.53318433882
06/2022,32542.120978328723
07/2022,35629.303695825285
08/2022,33246.486298359014
09/2022,28635.593897000297
10/2022,31522.321666172273
11/2022,33658.05699099976
12/2022,32365.07929017906
