Data,IE00BKY4W127
03/2005,10000
04/2005,9420.073793622367
05/2005,9820.191801579413
06/2005,10181.041726125071
07/2005,10635.099035566796
08/2005,11337.693028007843
09/2005,12017.212899499082
10/2005,11277.96073233189
11/2005,11549.021988198117
12/2005,11887.295604411116
01/2006,11784.556861063245
02/2006,11270.842346609646
03/2006,11302.030394717103
04/2006,11649.428933580688
05/2006,11456.609129333023
06/2006,11414.270122723008
07/2006,11729.080395453337
08/2006,11230.704129940263
09/2006,10711.90146200135
10/2006,11186.409847483072
11/2006,11346.046596964316
12/2006,10847.694533685924
01/2007,11050.035232044149
02/2007,11198.303536862139
03/2007,11214.816332259674
04/2007,11103.474666114218
05/2007,11241.70282884171
06/2007,11040.11283793528
07/2007,11101.485077887171
08/2007,10698.128679329824
09/2007,11166.538733508081
10/2007,11322.718085032606
11/2007,10732.641810866877
12/2007,11258.659771894832
01/2008,11614.950136458263
02/2008,12784.521615045356
03/2008,11483.25067872603
04/2008,12098.625517519658
05/2008,12453.222687316222
06/2008,13363.789263056264
07/2008,11892.84099092058
08/2008,11680.343430788664
09/2008,10644.06219574029
10/2008,9392.317727949028
11/2008,8757.887186182545
12/2008,7648.3904639391385
01/2009,7857.972010586751
02/2009,7610.6235313362495
03/2009,7490.122681257986
04/2009,7562.494113911443
05/2009,8046.008939777505
06/2009,7871.414112478142
07/2009,8122.219414002567
08/2009,7997.728958663304
09/2009,7916.545523341384
10/2009,8088.16806855512
11/2009,8247.239781041953
12/2009,8769.37104221481
01/2010,8385.790253188059
02/2010,8949.800288718288
03/2010,8896.752253168745
04/2010,9180.140849105364
05/2010,9242.95518715728
06/2010,9298.075591400015
07/2010,9349.506281759308
08/2010,9360.16577208315
09/2010,9326.393727012186
10/2010,9641.923274117657
11/2010,10241.119207046135
12/2010,11025.4003612164
01/2011,10865.754991182159
02/2011,10894.125479612027
03/2011,10825.594065910458
04/2011,10706.524336055283
05/2011,10498.773940314355
06/2011,9920.814520407761
07/2011,10351.169963250755
08/2011,10315.485813105814
09/2011,9410.65032570357
10/2011,9675.309373221271
11/2011,9870.08094835486
12/2011,9850.390601238
01/2012,9910.717980570163
02/2012,9974.40803540883
03/2012,9622.585699999298
04/2012,9683.223095995842
05/2012,9372.970572370774
06/2012,9739.413955344657
07/2012,10625.893735729393
08/2012,10483.253291875195
09/2012,10397.347937980881
10/2012,9944.57100485588
11/2012,9953.55404285323
12/2012,9539.68811357043
01/2013,9509.941652173557
02/2013,9412.281540498401
03/2013,9714.259030457966
04/2013,9248.456016798622
05/2013,9085.5239919909
06/2013,8606.97093510169
07/2013,8594.60334185499
08/2013,8912.511076611745
09/2013,8509.726192688462
10/2013,8299.080302163207
11/2013,8249.743650487528
12/2013,8241.687176934167
01/2014,8432.979991623344
02/2014,8764.71143595516
03/2014,8815.34442187826
04/2014,8988.311123015017
05/2014,8884.295727422723
06/2014,8902.591245664815
07/2014,8633.945697205243
08/2014,8666.15674969153
09/2014,8515.987570959176
10/2014,8486.033897190948
11/2014,8166.074548310729
12/2014,7754.409083329024
01/2015,8048.783980361452
02/2015,8302.506493396275
03/2015,8226.903883343119
04/2015,8343.540026542209
05/2015,8298.343151016748
06/2015,8275.05445786951
07/2015,7544.91381349965
08/2015,7309.034204087665
09/2015,7065.659201021852
10/2015,7151.747072948305
11/2015,6906.3006691607625
12/2015,6502.765030881507
01/2016,6373.151848081874
02/2016,6286.977231731799
03/2016,6241.241059342305
04/2016,6760.7568685595525
05/2016,6897.790729958998
06/2016,7215.1781993181585
07/2016,6838.632433763349
08/2016,6705.493820267074
09/2016,6896.2988411477145
10/2016,6996.393786884197
11/2016,7296.023971468788
12/2016,7492.491198787656
01/2017,7352.181920223006
02/2017,7476.220247006259
03/2017,7212.301466514378
04/2017,6946.91701497836
05/2017,6675.817267767285
06/2017,6550.522658524029
07/2017,6517.647364649434
08/2017,6488.616131804946
09/2017,6488.2139205411795
10/2017,6722.166229311877
11/2017,6570.933295184487
12/2017,6684.93197011376
01/2018,6562.546615133317
02/2018,6576.464797717566
03/2018,6477.827244404507
04/2018,6777.266424031165
05/2018,7095.274751615886
06/2018,6870.142997498518
07/2018,6677.765351838969
08/2018,6606.6399782275685
09/2018,6775.621295270086
10/2018,6779.63893965586
11/2018,6715.719613606609
12/2018,6202.573748360187
01/2019,6517.813439567329
02/2019,6624.093416731038
03/2019,6717.891672171275
04/2019,6698.482876654941
05/2019,6511.3184481582975
06/2019,6550.265309880149
07/2019,6639.1278933245785
08/2019,6551.504836055899
09/2019,6716.808266941889
10/2019,6688.726617508111
11/2019,6618.59721273585
12/2019,6795.057525626891
01/2020,6397.897472973792
02/2020,6115.990838232369
03/2020,5341.950926302899
04/2020,5297.603964030619
05/2020,5397.303945066844
06/2020,5489.326941930379
07/2020,5483.311968209495
08/2020,5808.129144067151
09/2020,5723.926072224497
10/2020,5808.6057943416745
11/2020,5870.313069603536
12/2020,6015.030582751277
01/2021,6240.857564774538
02/2021,6651.716964421558
03/2021,6727.646925905698
04/2021,7069.054567031292
05/2021,7190.200893857245
06/2021,7517.547441659616
07/2021,7650.009119272074
08/2021,7662.836578296838
09/2021,8220.10559609894
10/2021,8383.419192241643
11/2021,7961.929180439369
12/2021,8268.183410559182
01/2022,9130.034209436993
02/2022,9659.995086023366
03/2022,10586.27752216309
04/2022,11609.71938402011
05/2022,11594.877045280802
06/2022,10668.132672804102
07/2022,11327.63889648179
08/2022,11560.291055398233
09/2022,10895.550888743952
10/2022,10924.717735059654
11/2022,10722.466365199867
12/2022,10173.90191793328
01/2023,9966.15865454842
02/2023,9687.989012571721
03/2023,9438.925200322034
04/2023,9276.020035496651
05/2023,8995.796394912126
06/2023,9199.984779366278
07/2023,9635.052537710208
08/2023,9695.90395742015
09/2023,9876.078107857786
10/2023,9877.408161771473
11/2023,9377.86206290391
12/2023,9025.81160346642
01/2024,9238.364178178923
02/2024,9110.417574567606
03/2024,9423.423067295176
04/2024,9759.606954096065
