Data,IE00BL25JM42
11/1997,10000
12/1997,10160.40238483925
01/1998,10417.476203369204
02/1998,11709.65202221247
03/1998,12165.317884452046
04/1998,11767.486921991
05/1998,11220.188561825194
06/1998,10911.973893997663
07/1998,10501.136081667359
08/1998,9003.734585959457
09/1998,8645.31747215459
10/1998,9875.13710213716
11/1998,10661.934966359131
12/1998,10850.800161585094
01/1999,11367.776332935715
02/1999,11285.416426387013
03/1999,12371.137142914811
04/1999,13728.556731461984
05/1999,13572.529651628372
06/1999,14481.174649696733
07/1999,14265.01950759732
08/1999,14484.21664889456
09/1999,14133.953231796055
10/1999,14994.274795614598
11/1999,16230.301459145612
12/1999,17750.482717106795
01/2000,16985.655583749172
02/2000,16758.490787926774
03/2000,17730.139366608353
04/2000,18619.433467004445
05/2000,17911.358623987308
06/2000,17886.407958834687
07/2000,18125.50483787866
08/2000,19678.476737231973
09/2000,19286.334234323363
10/2000,20129.734588353498
11/2000,19027.082638563334
12/2000,18709.538374274965
01/2001,19568.187609972847
02/2001,19136.94822219632
03/2001,19227.684376864054
04/2001,20103.473375965077
05/2001,20899.985876648632
06/2001,20712.26862321787
07/2001,20197.807048232164
08/2001,18764.515666411506
09/2001,16910.54949346294
10/2001,16902.815585854634
11/2001,18430.90840131816
12/2001,18826.17294607822
01/2002,19048.640568511346
02/2002,18914.7659382866
03/2002,19932.857336597026
04/2002,19746.360910139396
05/2002,19360.957940760978
06/2002,16847.21648184132
07/2002,15682.72690952296
08/2002,15655.114065372065
09/2002,13843.89960215881
10/2002,14027.084238643445
11/2002,14605.42988067451
12/2002,13391.029256430802
01/2003,12904.060052405006
02/2003,12472.613468404512
03/2003,12132.644085233947
04/2003,12871.692668211897
05/2003,13259.386690287423
06/2003,14305.559829956694
07/2003,15123.214046197389
08/2003,16453.678141576904
09/2003,16023.904617289023
10/2003,17339.136482097052
11/2003,17045.977202079204
12/2003,17384.38384647672
01/2004,18228.322775756063
02/2004,18590.7669760014
03/2004,19374.758959939627
04/2004,19456.770564442435
05/2004,19149.83609712521
06/2004,19970.562064296882
07/2004,19537.05996563376
08/2004,19425.148711650847
09/2004,19551.24393536305
10/2004,19489.51883358781
11/2004,20173.954633369278
12/2004,20672.252140254564
01/2005,21279.4859055241
02/2005,21915.85208107259
03/2005,21977.345781782496
04/2005,21407.57532160561
05/2005,22962.57563187789
06/2005,23875.76091805197
07/2005,24804.971317926622
08/2005,25295.794378802762
09/2005,26777.133363074892
10/2005,25878.99719282991
11/2005,27141.48368887687
12/2005,27899.230839835163
01/2006,28877.656892421357
02/2006,29460.26667320707
03/2006,29757.78981127192
04/2006,30091.522200988704
05/2006,28368.592112696453
06/2006,28645.248277692466
07/2006,29059.054869754316
08/2006,29801.092151636465
09/2006,30669.59919945232
10/2006,31751.15694821662
11/2006,31559.288239661633
12/2006,32661.15442278983
01/2007,33655.62795763813
02/2007,33219.30611463032
03/2007,33808.12507230961
04/2007,34989.68491271511
05/2007,36595.777600639594
06/2007,36425.229885610286
07/2007,34741.2821921264
08/2007,34615.72457036579
09/2007,34919.24163585126
10/2007,35239.96646236342
11/2007,32678.955114356562
12/2007,32153.333507955467
01/2008,29192.12224188803
02/2008,28671.511666680948
03/2008,27275.903601694765
04/2008,29133.42329676081
05/2008,29697.757929811858
06/2008,26592.788805050863
07/2008,26038.89869885579
08/2008,27193.2603046891
09/2008,23837.911500893046
10/2008,21144.817465506796
11/2008,20034.01515990104
12/2008,19462.17432206164
01/2009,19043.383865429645
02/2009,16906.79996117644
03/2009,17463.843333755216
04/2009,20487.023720731457
05/2009,21763.27688114415
06/2009,21587.97699095318
07/2009,23616.52864095568
08/2009,25217.818911193546
09/2009,25678.86212913786
10/2009,24506.672444449727
11/2009,24888.768853452344
12/2009,26608.74082635431
01/2010,26334.74595034405
02/2010,27273.580735955053
03/2010,29357.31724498478
04/2010,29319.070899491853
05/2010,28459.170732092665
06/2010,27287.49760828557
07/2010,28199.243870754053
08/2010,27660.79449055158
09/2010,28388.06900435447
10/2010,29154.38912507111
11/2010,29601.824040497897
12/2010,31235.134227814717
01/2011,32003.870530369677
02/2011,32820.89927335781
03/2011,31346.23743481036
04/2011,31436.031295693272
05/2011,31550.624785757187
06/2011,30957.332752466657
