Data,IE00BL977C92
12/1992,10000
01/1993,10077.782117840958
02/1993,11363.41781396278
03/1993,10192.681525910451
04/1993,9299.636248183395
05/1993,8761.57058325109
06/1993,8595.819781684282
07/1993,7897.8152759516715
08/1993,9304.33425086742
09/1993,9532.612071623458
10/1993,10574.128434049815
11/1993,11749.079660543925
12/1993,14597.483036548689
01/1994,12825.21621786798
02/1994,12083.963279503474
03/1994,9670.392268732785
04/1994,9473.497019969775
05/1994,9695.922542502176
06/1994,8499.645137492958
07/1994,9196.631623868825
08/1994,9733.744794044198
09/1994,9753.095817309866
10/1994,9194.153165463933
11/1994,8112.132667374508
12/1994,7249.491110156217
01/1995,6118.196931451177
02/1995,6742.890420101108
03/1995,6489.179353439111
04/1995,5693.784144721221
05/1995,6811.906143233524
06/1995,6673.817959495277
07/1995,6923.089954895299
08/1995,6715.468426723679
09/1995,6503.455356374566
10/1995,6003.366142949326
11/1995,5590.633775947395
12/1995,5414.398247888354
01/1996,6317.57754550539
02/1996,6540.158251777548
03/1996,6233.283319870236
04/1996,5951.715198762582
05/1996,6298.367506453276
06/1996,6346.777445127326
07/1996,6029.699515843832
08/1996,5953.704902703955
09/1996,5933.829588128517
10/1996,5804.134797626692
11/1996,6389.301715674357
12/1996,7610.748925440926
01/1997,7641.610230867679
02/1997,8206.756400507942
03/1997,8059.320539180925
04/1997,9170.871606963157
05/1997,9036.564649949445
06/1997,9339.472657732498
07/1997,10910.761921719155
08/1997,11880.249830027735
09/1997,9641.035839412183
10/1997,7925.509561642604
11/1997,6354.675786554965
12/1997,6330.950659008291
01/1998,4827.040404453197
02/1998,6523.839643085438
03/1998,6376.6957404192935
04/1998,5679.09211372593
05/1998,4856.712487720318
06/1998,4127.601669488756
07/1998,3387.464954061182
08/1998,2458.7014873034686
09/1998,3355.9828214920035
10/1998,3552.722500421082
11/1998,3770.4780627117293
12/1998,3436.269041758009
01/1999,2887.817091715157
02/1999,2856.3930723607205
03/1999,3326.933824456601
04/1999,4218.274258654704
05/1999,4284.014343177469
06/1999,6367.055009903206
07/1999,5378.998238629432
08/1999,5395.358749613479
09/1999,5133.065394929386
10/1999,4812.616618175164
11/1999,4885.716375235132
12/1999,4539.383584614936
01/2000,4452.843369876131
02/2000,3662.7780288071267
03/2000,3808.5639587752544
04/2000,4381.486122765823
05/2000,4353.7672416217
06/2000,4803.336660164075
07/2000,4870.393850644904
08/2000,4847.374662430593
09/2000,4324.589425950986
10/2000,4291.868251494089
11/2000,3604.541981025814
12/2000,3390.3298157819618
01/2001,3885.8257043204326
02/2001,3547.1917684595505
03/2001,3110.6633852205987
04/2001,3408.366939574152
05/2001,3663.7029676132975
06/2001,3783.3034304179623
07/2001,3166.8569914594545
08/2001,2371.1894513526045
09/2001,2296.4588815227253
10/2001,2377.442284214271
11/2001,2650.627927778511
12/2001,2684.243454302697
01/2002,2481.0811093617804
02/2002,2496.2208189152584
03/2002,2614.1142258583163
04/2002,2641.5268898028876
05/2002,2572.819125149416
06/2002,2338.8990787260373
07/2002,2279.8857627683537
08/2002,2223.3696038018256
09/2002,2039.9489275062106
10/2002,2050.1330968687294
11/2002,2120.725359798945
12/2002,1930.978320069148
01/2003,1961.0926227726352
02/2003,1917.6200671566817
03/2003,1823.99322784196
04/2003,1787.057876532537
05/2003,1897.0113042877256
06/2003,2087.714986952539
07/2003,2316.0640298033964
08/2003,2557.8004343377997
09/2003,2416.403964164849
10/2003,2789.980484738609
11/2003,2729.661871341806
12/2003,2995.7194768260915
01/2004,3034.5485701060925
02/2004,3213.6185482025867
03/2004,2988.4664685065122
04/2004,2657.2771352424315
05/2004,2780.4168261923646
06/2004,2772.224110678913
07/2004,2808.407240341869
08/2004,2802.275253705413
09/2004,2936.7698737382234
10/2004,2790.4297147978264
11/2004,2941.470805996548
12/2004,2818.858204945879
01/2005,2880.549501266822
02/2005,3041.1430405539136
03/2005,2948.6268843650846
04/2005,2961.320618023327
05/2005,3140.9218580147613
06/2005,3335.6329709733145
07/2005,3576.2084223882525
08/2005,3563.702226217156
09/2005,3820.9629398451743
10/2005,3450.8552048540705
11/2005,3772.3770470070313
12/2005,3882.8956383110885
01/2006,4310.71140988813
02/2006,4536.023111393364
03/2006,4590.865596903898
04/2006,4663.027492044861
05/2006,4307.308468889151
06/2006,4448.630493993517
07/2006,4545.873799263601
08/2006,4613.154809666588
09/2006,4855.434845517182
10/2006,5174.115601708613
11/2006,5518.783374608678
12/2006,6336.0747156635325
01/2007,6166.56661125275
02/2007,5938.289018630307
03/2007,6115.660117989144
04/2007,6209.899807894072
05/2007,6751.132955428534
06/2007,7498.582742428818
07/2007,8150.2068002340475
08/2007,8735.95655937177
09/2007,10124.654557981758
10/2007,11582.41832603953
11/2007,9800.097417269613
12/2007,9386.482290191663
01/2008,7285.8287430126375
02/2008,7910.719728213558
03/2008,6661.398119148295
04/2008,7833.7799759817735
05/2008,7458.237323331135
06/2008,6443.962062682782
07/2008,6654.911423256185
08/2008,6471.382651081904
09/2008,5305.41143265499
10/2008,4593.7650800461515
11/2008,4812.610613516831
12/2008,4861.579386243004
01/2009,4839.248955467392
02/2009,4747.857958492724
03/2009,5146.713725988358
04/2009,5730.789654033018
05/2009,6332.609640117711
06/2009,6575.224470331285
07/2009,7283.342149723082
08/2009,6705.348910290878
09/2009,6838.8017589688225
10/2009,7199.98371263606
11/2009,7264.930460393929
12/2009,7608.638410495137
01/2010,7168.0559103759915
02/2010,7536.634941730537
03/2010,7995.9784463852375
04/2010,8064.840640797658
05/2010,8255.065880839422
06/2010,8381.714270131695
07/2010,8236.801561020478
08/2010,8227.218089933936
09/2010,8336.384660815555
10/2010,8527.495746282068
11/2010,8871.957370239485
12/2010,8565.631049924343
01/2011,8312.878242099227
02/2011,8076.431670752765
03/2011,8280.1733306756
04/2011,8042.128336160789
05/2011,8335.200633055578
06/2011,7989.088433851998
07/2011,8027.950295307389
08/2011,7181.4711627616925
09/2011,6390.460985966746
10/2011,7095.511658352704
11/2011,6779.4705157045555
12/2011,7202.646636847688
01/2012,7836.399266664929
02/2012,8178.69353931159
03/2012,7662.304358909496
04/2012,8017.283371490735
05/2012,7642.949067145055
06/2012,7693.37486146197
07/2012,7995.589846361943
08/2012,7541.515033257304
09/2012,7837.3888097762565
10/2012,8242.39616554242
11/2012,8398.294949980618
12/2012,8661.056759295901
01/2013,8778.397573236462
02/2013,8700.669562513103
03/2013,8510.5036907779
04/2013,8428.58179699674
05/2013,8396.666491087819
06/2013,7778.797530112141
07/2013,7973.635921068482
08/2013,8189.121258379294
09/2013,8448.484576555824
10/2013,8571.52838252551
11/2013,9005.106011997206
12/2013,8579.742736287117
01/2014,8165.023792421783
02/2014,8196.48865541339
03/2014,8070.09078604033
04/2014,7848.144082438073
05/2014,8362.196719825859
06/2014,8602.777781799583
07/2014,9495.996218823695
08/2014,9652.036500941836
09/2014,9471.035344956344
10/2014,9922.630780222702
11/2014,10107.884006957609
12/2014,10509.617274182856
01/2015,11538.757555579175
02/2015,11977.663403983664
03/2015,12810.339048712973
04/2015,14334.692508734111
05/2015,14109.33529451622
06/2015,13070.51849142575
07/2015,11897.04900807338
08/2015,10270.740210062586
09/2015,10083.328017315273
10/2015,11181.218597667397
11/2015,11247.766086896205
12/2015,10783.398419247227
01/2016,9379.851992352267
02/2016,9166.513173556903
03/2016,9806.648751417466
04/2016,9768.530875698616
05/2016,9909.51976395227
