Data,IE00BM67HP23
09/2010,10000
10/2010,10281.327261713379
11/2010,11097.419299095369
12/2010,11285.447261415735
01/2011,11106.464486714263
02/2011,11451.210888651724
03/2011,10867.110491251791
04/2011,10931.42223387529
05/2011,11190.126148490672
06/2011,11138.6281915333
07/2011,11071.36789336198
08/2011,10153.120982933886
09/2011,10017.221822439233
10/2011,10687.10138554874
11/2011,10733.193138896164
12/2011,11082.336242266121
01/2012,11801.105223517556
02/2012,12265.661389843608
03/2012,12717.379132700626
04/2012,12740.36210587529
05/2012,12531.105536963203
06/2012,12521.247693293195
07/2012,12890.657644073217
08/2012,13068.112259924043
09/2012,13051.388797766334
10/2012,12942.73881837634
11/2012,13385.121510844665
12/2012,13531.375315980242
01/2013,13890.798510652332
02/2013,14485.744894099833
03/2013,15242.115562199546
04/2013,15424.042397951034
05/2013,16097.372395419861
06/2013,15988.961844064701
07/2013,16558.67266023798
08/2013,16260.342371524697
09/2013,16921.419663388442
10/2013,17435.652005078344
11/2013,17837.272141515037
12/2013,17982.638936363943
01/2014,17452.567968422947
02/2014,17936.57840545356
03/2014,17576.921024711864
04/2014,17295.749343510255
05/2014,18029.638251511606
06/2014,18278.96774815184
07/2014,18278.85905510162
08/2014,18933.02044036445
09/2014,19122.52427849587
10/2014,19508.021823303938
11/2014,20702.667090477626
12/2014,21231.08445696283
01/2015,22485.461817753647
02/2015,24378.03100308472
03/2015,25300.48600166635
04/2015,24516.22101766714
05/2015,25285.316972827157
06/2015,24645.394202940548
07/2015,25590.428358875244
08/2015,23449.813363834328
09/2015,23016.170683202654
10/2015,25292.476793104914
11/2015,26190.750059373167
12/2015,24884.587673784157
01/2016,23378.93962610338
02/2016,23121.11382033645
03/2016,23532.8458759273
04/2016,23394.241708078964
05/2016,23981.202637187984
06/2016,23155.716923600507
07/2016,24487.94612116033
08/2016,24474.48411059175
09/2016,24291.930826843938
10/2016,24551.018979794073
11/2016,25881.003723030884
12/2016,26368.2214922491
01/2017,26614.202491788627
02/2017,27406.31358892187
03/2017,27889.031175018277
04/2017,28174.110205645098
05/2017,27700.1974190181
06/2017,27080.006410747705
07/2017,26746.334328211145
08/2017,26242.24876146727
09/2017,26993.966634380504
10/2017,27905.757986329932
11/2017,28171.721524717585
12/2017,28577.765970027285
01/2018,29734.16411703457
02/2018,29312.738155727402
03/2018,28388.3193309336
04/2018,29617.446220324655
05/2018,30764.213790953803
06/2018,31097.144297067473
07/2018,31415.765470415172
08/2018,32386.775366077774
09/2018,32596.69440961153
10/2018,30367.680751431166
11/2018,30714.250464653836
12/2018,28293.989369115232
01/2019,30762.13373207613
02/2019,31357.020432438578
03/2019,32294.96426191649
04/2019,34106.94283312225
05/2019,31787.52911593055
06/2019,33525.71355406501
07/2019,34512.758668961294
08/2019,34222.06161905177
09/2019,35089.313953949706
10/2019,35093.13290705233
11/2019,35977.654003228694
12/2019,36381.62541352552
01/2020,36618.90127355489
02/2020,33954.451919036976
03/2020,29027.8784476324
04/2020,34017.46225167156
05/2020,35503.44151916684
06/2020,36811.43236720156
07/2020,37480.90769028286
08/2020,41565.74371450775
09/2020,40871.41514400434
10/2020,40016.85174858862
11/2020,44110.80463173179
12/2020,45488.45992626563
01/2021,45541.594293606984
02/2021,45901.29950093391
03/2021,49014.98481103417
04/2021,50332.44275851205
05/2021,49013.1871442945
06/2021,51669.204351872286
07/2021,51817.44031404079
08/2021,52467.82702406343
09/2021,52144.22557675378
10/2021,56461.22662709602
11/2021,57894.69978664797
12/2021,57578.727484494375
01/2022,53472.62789166938
02/2022,51017.50205266011
03/2022,52557.67615535646
04/2022,48709.768602597615
05/2022,46251.091411846326
06/2022,42608.777428391855
07/2022,50433.28859838482
08/2022,48806.57950539234
09/2022,47380.88534470446
