Data,IE00BM67HS53
06/2016,10000
07/2016,10685.112212943633
08/2016,10776.8135546222
09/2016,11024.98974254098
10/2016,10918.371881734021
11/2016,11117.742044724266
12/2016,11334.409043343057
01/2017,12025.352814410204
02/2017,11982.890422673341
03/2017,12093.292650376876
04/2017,12194.965856427376
05/2017,12168.118643724278
06/2017,12372.146546054368
07/2017,12997.808186469607
08/2017,13192.90435905758
09/2017,13481.596722565508
10/2017,13901.984969010044
11/2017,13990.994073689153
12/2017,14591.40839572849
01/2018,15179.443627430723
02/2018,14460.547687213246
03/2018,13819.926452347967
04/2018,14142.711148213732
05/2018,14316.41874676589
06/2018,14128.16078387338
07/2018,14320.84076817411
08/2018,13855.727155124
09/2018,14010.31165446903
10/2018,12649.268037274009
11/2018,12518.635257065354
12/2018,12037.002209268123
01/2019,12968.131557786328
02/2019,13352.641469809385
03/2019,13417.2623380668
04/2019,13728.947660466458
05/2019,12743.103793878337
06/2019,14066.920072170835
07/2019,13877.489664191427
08/2019,13218.534067613558
09/2019,13621.4155557735
10/2019,13911.956785885872
11/2019,14209.279282682126
12/2019,14710.03512039498
01/2020,13917.054234148589
02/2020,12436.405439020005
03/2020,11035.710167041498
04/2020,12408.7814673316
05/2020,13183.360648612357
06/2020,13711.256441303409
07/2020,14681.623533732798
08/2020,15403.60456981154
09/2020,15367.680474702729
10/2020,14891.07099619639
11/2020,16674.484142125795
12/2020,17706.927675531144
01/2021,17507.106808925866
02/2021,18124.41307704922
03/2021,18720.8288422478
04/2021,19717.619557355967
05/2021,20588.513320183076
06/2021,19625.179849841905
07/2021,20246.567627010038
08/2021,20137.551914934786
09/2021,18839.97748961082
10/2021,19638.009425086035
11/2021,19269.933385736724
12/2021,20424.58664412496
01/2022,19450.674228072414
02/2022,20074.616602675967
03/2022,21228.387408043734
04/2022,20071.385338103268
05/2022,20029.478854814675
06/2022,16925.648615451846
07/2022,17573.438537276877
08/2022,17055.683639140225
09/2022,15770.598341371166
10/2022,16490.15330184853
11/2022,18605.14340463941
12/2022,18330.73423371034
01/2023,20112.39868951972
02/2023,19086.414544877982
03/2023,19351.092241466395
04/2023,19247.833166886205
05/2023,17875.45329730568
06/2023,19301.355089417026
07/2023,20217.17887040785
08/2023,19320.65552072432
09/2023,18626.179713624762
10/2023,17996.927112449903
11/2023,19491.355738170507
12/2023,20918.57405313014
01/2024,19963.06126196348
02/2024,20238.893913800788
03/2024,21557.536782890125
04/2024,21068.376499696034
