Data,IE00BM67HW99
03/2006,10000
04/2006,10109.270912547856
05/2006,9800.302968530974
06/2006,9792.597783473746
07/2006,9829.711493089151
08/2006,10039.4903790932
09/2006,10280.773955287967
10/2006,10593.72731597331
11/2006,10767.707302720748
12/2006,10901.688842651645
01/2007,11050.502898334078
02/2007,10821.537315971827
03/2007,10925.631076568883
04/2007,11382.732885593596
05/2007,11769.014317262576
06/2007,11559.136538617257
07/2007,11191.470343611301
08/2007,11345.479082577804
09/2007,11735.196706898842
10/2007,11907.50127982474
11/2007,11408.856271475248
12/2007,11319.644699242197
01/2008,10640.87231844439
02/2008,10310.15967069461
03/2008,10275.102281270367
04/2008,10793.222245252484
05/2008,10944.876264102553
06/2008,10051.618520823142
07/2008,9977.370513159622
08/2008,10144.85801619309
09/2008,9211.554836945837
10/2008,7465.582508785284
11/2008,6939.030182714451
12/2008,7007.514135019188
01/2009,6375.471166360846
02/2009,5692.3289446389845
03/2009,6169.56108808866
04/2009,6760.548193951332
05/2009,7114.238565080084
06/2009,7129.002351264564
07/2009,7661.137805575942
08/2009,7932.6936444615885
09/2009,8221.707651586947
10/2009,8069.1943062215005
11/2009,8544.119549287616
12/2009,8716.130363144555
01/2010,8391.323582307554
02/2010,8655.216409989462
03/2010,9180.994234926482
04/2010,9326.764316754257
05/2010,8521.338324263852
06/2010,8068.349436676359
07/2010,8597.244976403203
08/2010,8198.102298969136
09/2010,8878.184851963382
10/2010,9210.526403961007
11/2010,9213.633285379748
12/2010,9810.651536114292
01/2011,10036.988204540728
02/2011,10380.442238199192
03/2011,10387.016815390312
04/2011,10685.23838171997
05/2011,10567.645889607755
06/2011,10399.23823193866
07/2011,10193.266443685035
08/2011,9645.740963996168
09/2011,8920.156376045274
10/2011,9858.59365029318
11/2011,9837.346336141843
12/2011,9936.767067333649
01/2012,10374.733314154702
02/2012,10811.46474484107
03/2012,11165.770936315625
04/2012,11091.883334990138
05/2012,10375.104014879227
06/2012,10788.527684638408
07/2012,10938.4990222492
08/2012,11173.388094914455
09/2012,11451.151282748211
10/2012,11235.851561622903
11/2012,11295.885139777938
12/2012,11391.750766397841
01/2013,11959.82476519085
02/2013,12124.462604752398
03/2013,12582.692682944376
04/2013,12814.16852685342
05/2013,13114.433139571282
06/2013,12934.634927162553
07/2013,13575.17676223553
08/2013,13175.566336682345
09/2013,13574.552478158266
10/2013,14192.493085358004
11/2013,14621.038715763867
12/2013,14984.559021976083
01/2014,14452.907062038186
02/2014,15095.918123815049
03/2014,15220.888671596425
04/2014,15331.185295750498
05/2014,15695.534413325964
06/2014,16017.210329164265
07/2014,15786.517741715748
08/2014,16423.866220302974
09/2014,16178.227696827298
10/2014,16570.62165861075
11/2014,17012.58280506092
12/2014,16962.865817889433
01/2015,16408.399810178897
02/2015,17350.472284029922
03/2015,17052.091233031035
04/2015,17211.3300103216
05/2015,17426.221388030608
06/2015,17085.369096921124
07/2015,17436.74318364996
08/2015,16387.66904996784
09/2015,15970.058962526362
10/2015,17323.622203662286
11/2015,17369.78466729104
12/2015,17084.87789755173
01/2016,16216.709299550892
02/2016,16180.431444248194
03/2016,17218.815112557593
04/2016,17267.01197171796
05/2016,17571.35629215115
06/2016,17593.8144978025
07/2016,18214.362185865994
08/2016,18216.48191664723
09/2016,18192.67695293835
10/2016,17826.59426702435
11/2016,18486.14713047806
12/2016,18816.307966560387
01/2017,19130.013441980762
02/2017,19883.039041322074
03/2017,19873.20389258531
04/2017,20045.589472596686
05/2017,20283.893587795366
06/2017,20370.07709175376
07/2017,20737.668891974183
08/2017,20760.44978561371
09/2017,21154.711390465392
10/2017,21619.645329020346
11/2017,22226.65150447318
12/2017,22416.80058864933
01/2018,23607.150013777962
02/2018,22675.233666836422
03/2018,22045.402915402734
04/2018,22084.781545424696
05/2018,22572.828267691304
06/2018,22652.896508853646
07/2018,23439.617467857857
08/2018,24148.774014716226
09/2018,24228.64006866918
10/2018,22464.934188720345
11/2018,22866.254621042586
12/2018,20744.848074365043
01/2019,22342.18530783115
02/2019,23011.522714002804
03/2019,23400.416522319752
04/2019,24287.414535796946
05/2019,22666.98715852253
06/2019,24171.77074495019
07/2019,24465.873429281826
08/2019,24004.683939290146
09/2019,24396.31520999456
10/2019,24848.170001704537
11/2019,25708.639050845646
12/2019,26402.76578006977
01/2020,26338.566544326095
02/2020,24096.08575512324
03/2020,21066.047759509915
04/2020,23740.582633337362
05/2020,24836.09194011708
06/2020,25303.55657150102
07/2020,26619.574448790143
08/2020,28486.750794843047
09/2020,27360.591396904358
10/2020,26607.64925283066
11/2020,29430.768120110264
12/2020,30500.842115409858
01/2021,30163.00360042569
02/2021,30971.310176151994
03/2021,32329.320608140144
04/2021,33984.00459658949
05/2021,34197.18046640889
06/2021,34991.12868216136
07/2021,35794.1064605792
08/2021,36858.607927165955
09/2021,35082.40394162655
10/2021,37516.569993825404
11/2021,37214.24421486351
12/2021,38812.169920595574
01/2022,36744.86805195347
02/2022,35618.9816442106
03/2022,36900.81125835262
04/2022,33428.46184321047
05/2022,33456.63273887558
06/2022,30559.876680531197
07/2022,33371.72565236023
08/2022,31924.657591492
09/2022,28835.44852347869
10/2022,31085.831774667477
11/2022,32698.67464105198
12/2022,30757.817068137567
01/2023,32585.60464338772
02/2023,31718.206212692254
03/2023,32790.82074587858
04/2023,33229.45247887113
05/2023,33324.21639680481
06/2023,35417.74251337761
07/2023,36476.22899733817
08/2023,35821.237894515165
09/2023,34004.81481577982
10/2023,33239.620949214106
11/2023,36130.742498915635
12/2023,37694.65503651708
01/2024,38278.56570963277
02/2024,40271.46641257382
03/2024,41512.76275209714
04/2024,39742.97970884553
