Data,IE00BMC38736
12/2011,10000
01/2012,10843.708765938069
02/2012,10910.671640461675
03/2012,11385.413819019477
04/2012,11023.183398121686
05/2012,10473.432019076352
06/2012,10733.723910643832
07/2012,11023.94720591432
08/2012,10993.327186342169
09/2012,10288.794722308223
10/2012,10068.445730894648
11/2012,10531.711793092127
12/2012,10649.128503686738
01/2013,11124.651752814601
02/2013,11762.27534816171
03/2013,12199.871816685578
04/2013,12396.443155186696
05/2013,12927.600580788208
06/2013,12580.671924656359
07/2013,12889.533710310909
08/2013,12438.190830997964
09/2013,13205.24084555032
10/2013,13355.97334593087
11/2013,13459.825048141825
12/2013,13847.265563905567
01/2014,13715.112114647785
02/2014,14292.837080785986
03/2014,14945.905720354878
04/2014,14509.958814761369
05/2014,15339.210186290109
06/2014,16267.117262455664
07/2014,16146.641103316728
08/2014,17395.654021559327
09/2014,18077.911569928998
10/2014,18273.96013667322
11/2014,19634.840436659462
12/2014,20172.395239439684
01/2015,20905.04859388503
02/2015,22818.496900703445
03/2015,23069.778981529227
04/2015,22102.90271524371
05/2015,24301.532915087384
06/2015,21723.669004860218
07/2015,21152.360406967415
08/2015,19610.316284402757
09/2015,19686.273491861437
10/2015,21699.181397620567
11/2015,23140.703210772364
12/2015,22012.60577966202
01/2016,20544.273063694476
02/2016,20909.640060878384
03/2016,21812.529276099507
04/2016,20900.89339613583
05/2016,23137.408977199942
06/2016,23218.715576109305
07/2016,25840.078608487278
08/2016,26817.92040492524
09/2016,27952.66239108521
10/2016,28129.793306991898
11/2016,30177.019105221607
12/2016,31040.418356560553
01/2017,31556.207306332246
02/2017,32809.765378269054
03/2017,34029.31852705088
04/2017,33136.82294493607
05/2017,35097.73443583459
06/2017,33047.51994939706
07/2017,33755.895633678425
08/2017,34433.63655175656
09/2017,36283.83078452028
10/2017,40201.60325310913
11/2017,39630.1527644875
12/2017,38732.67928359937
01/2018,40566.669405180815
02/2018,41311.29245271204
03/2018,40015.36390090477
04/2018,38270.62792021497
05/2018,43365.91001216686
06/2018,41541.36413540415
07/2018,42647.38748831361
08/2018,43911.14677279602
09/2018,43319.178794308136
10/2018,38786.314708213016
11/2018,39078.146599532905
12/2018,36311.6470834717
01/2019,39338.83287788421
02/2019,42076.61072183731
03/2019,44532.51638411316
04/2019,49012.30813756344
05/2019,41347.26208088612
06/2019,45637.93617394667
07/2019,49132.708150796236
08/2019,48877.072792085666
09/2019,51465.39932099726
10/2019,53520.89887103848
11/2019,56721.07482162414
12/2019,59698.7915070293
01/2020,59062.413570845405
02/2020,57345.76447496502
03/2020,51458.48938952662
04/2020,58935.83269713418
05/2020,61442.11303665371
06/2020,65982.15881994735
07/2020,67259.58359666512
08/2020,71564.27425199268
09/2020,72774.62148480867
10/2020,71855.54113356581
11/2020,82550.10260330081
12/2020,84997.15210482395
01/2021,89627.61096594103
02/2021,94528.68113440488
03/2021,99466.15911835944
04/2021,96827.8180406084
05/2021,98406.95312658376
06/2021,106556.8748559858
07/2021,107376.73812631931
08/2021,111054.14362083601
09/2021,107468.96921437197
10/2021,113375.54988205824
11/2021,129335.98526362698
12/2021,132054.30705569606
01/2022,120074.94781031563
02/2022,116688.18772341678
03/2022,118013.28504951032
04/2022,105584.46096143796
05/2022,109784.07440430998
06/2022,94163.84276347436
07/2022,110707.66915918911
08/2022,101453.44478530015
09/2022,89057.2178591304
10/2022,90665.577097536
11/2022,103981.474701453
12/2022,91281.46938704276
01/2023,104611.68904574594
02/2023,107280.12463709681
03/2023,116097.8573799745
04/2023,107802.34796096823
05/2023,129078.19477587563
06/2023,133434.8294606853
07/2023,137289.4176432925
08/2023,134281.97499984427
09/2023,128376.07791471198
10/2023,123596.00246737176
11/2023,138770.30847146356
12/2023,152397.7099173262
01/2024,163288.9155062608
02/2024,182883.97503955849
03/2024,191040.1085292212
04/2024,181280.97305414482
