Data,IE00BMFNW783
06/2017,10000
07/2017,9756.621536781751
08/2017,9570.353619174048
09/2017,9677.272599801752
10/2017,9980.863723117292
11/2017,10066.991821139178
12/2017,10217.868611609136
01/2018,10374.5813545547
02/2018,10150.040275211122
03/2018,9884.521786977595
04/2018,9929.122008968938
05/2018,10399.351759503319
06/2018,9939.26451426269
07/2018,10101.926729231394
08/2018,10179.489487861587
09/2018,10255.156021427238
10/2018,9323.341272322217
11/2018,9822.099976548743
12/2018,8798.649738823973
01/2019,9630.095071654321
02/2019,9868.269981024663
03/2019,9865.728717016556
04/2019,10290.993166603726
05/2019,9371.649634856967
06/2019,9706.387916249088
07/2019,9864.991755825857
08/2019,9468.24033099306
09/2019,9783.728785178413
10/2019,9895.437894965848
11/2019,10248.200685931042
12/2019,10488.53725200328
01/2020,9779.748106938607
02/2020,8318.897435625997
03/2020,5307.623424143804
04/2020,5920.052994220788
05/2020,5954.332995536787
06/2020,5856.3541155705125
07/2020,5234.254967768453
08/2020,6185.594511574058
09/2020,5898.670347140211
10/2020,5768.452828581432
11/2020,7393.957359231267
12/2020,7421.253643767784
01/2021,7015.6589388860975
02/2021,8799.916303812779
03/2021,9040.14577364533
04/2021,8923.476187523405
05/2021,8909.237830835615
06/2021,8444.451633150205
07/2021,7963.804496551246
08/2021,8100.163889165047
09/2021,8590.13744367709
10/2021,8401.143831929543
11/2021,7673.0663740411255
12/2021,8238.102047479639
01/2022,8377.64242849741
02/2022,8394.671092953042
03/2022,8490.686728702281
04/2022,8666.740039049026
05/2022,7933.534779200526
06/2022,6614.56349887376
07/2022,7273.094391016867
08/2022,7309.904329851402
09/2022,6689.0548755630925
10/2022,7442.124550986305
11/2022,7661.083932577537
12/2022,6883.526612883836
01/2023,8014.1460252323905
02/2023,8035.279679173469
03/2023,7670.873616284732
04/2023,7495.058635693213
05/2023,7690.637084799199
06/2023,8619.661346040102
07/2023,8913.816231216004
08/2023,8231.579580947115
09/2023,7930.44814725365
10/2023,7214.118142647602
11/2023,7888.658425148682
12/2023,8650.194908705704
01/2024,8730.112112783863
02/2024,9114.702619513371
03/2024,9417.929668368966
04/2024,9075.711293008751
