Data,IE00BMG6Z448
12/1998,10000
01/1999,10200.723193956426
02/1999,10635.605576176958
03/1999,12343.920721910428
04/1999,14049.466695872932
05/1999,14153.752807064504
06/1999,15921.69400318048
07/1999,14957.527452510747
08/1999,15270.985579950457
09/1999,14619.087667479487
10/1999,15238.991324269142
11/1999,17200.013222742433
12/1999,19509.830924833397
01/2000,20147.619233006408
02/2000,20590.409770977498
03/2000,21039.23489096192
04/2000,20011.346346444516
05/2000,18712.80041626122
06/2000,18710.594817899288
07/2000,18296.35241579754
08/2000,19141.398047940416
09/2000,17778.604350851805
10/2000,17135.78858547886
11/2000,15209.912180093246
12/2000,14550.49041576793
01/2001,16563.697159779887
02/2001,15352.190389828333
03/2001,14557.718826323904
04/2001,15148.155907106078
05/2001,16019.703037418174
06/2001,15620.52212294789
07/2001,14248.40854806911
08/2001,13684.599709111244
09/2001,11504.141498384644
10/2001,12363.460210376488
11/2001,13877.723779672328
12/2001,15196.43716731121
01/2002,16157.05650339863
02/2002,16397.469229998074
03/2002,17233.99139388163
04/2002,16758.114953280798
05/2002,15790.835519893897
06/2002,13696.823801565728
07/2002,12863.171687793165
08/2002,13024.516985841541
09/2002,11558.648025789356
10/2002,12354.140176037758
11/2002,13142.421113580365
12/2002,12029.689989519815
01/2003,11566.886584142581
02/2003,11272.873126438177
03/2003,10844.25193025101
04/2003,11626.628133358849
05/2003,11686.348578314639
06/2003,12767.433433648584
07/2003,13655.674785207213
08/2003,15089.020131374336
09/2003,14259.82032904517
10/2003,15439.56589414757
11/2003,15131.32825670048
12/2003,15312.145184020083
01/2004,16219.630264740512
02/2004,16890.998348528243
03/2004,17515.656735484295
04/2004,16524.97129015128
05/2004,15744.387648442738
06/2004,15880.174052203374
07/2004,15711.682005404613
08/2004,16320.684915114794
09/2004,16820.48906636249
10/2004,16849.692751454182
11/2004,17622.49553429567
12/2004,18126.049779839184
01/2005,19024.858726886083
02/2005,20355.676877624584
03/2005,19412.42721456983
04/2005,18848.120810196393
05/2005,20534.245520754605
06/2005,21635.14193544838
07/2005,23136.517384779385
08/2005,23136.448294301612
09/2005,25682.93309945332
10/2005,24108.744309470956
11/2005,26688.145926234465
12/2005,28255.690547340335
01/2006,30509.380257443798
02/2006,31005.156268430543
03/2006,30618.688174061837
04/2006,31712.759486446907
05/2006,27504.821295085134
06/2006,27703.07053089952
07/2006,27935.54867878783
08/2006,28466.563400697287
09/2006,29047.326586571755
10/2006,30270.71805859494
11/2006,31160.382933828972
12/2006,32253.86828451051
01/2007,32575.423418157912
02/2007,31796.03329728777
03/2007,32794.40081117113
04/2007,33660.95590796845
05/2007,35572.5205648608
06/2007,36765.121818770676
07/2007,37862.43349569159
08/2007,36515.345556287495
09/2007,38631.129062651635
10/2007,41733.132224803434
11/2007,38484.19781954855
12/2007,39088.43513857337
01/2008,34525.90956939147
02/2008,36152.19330717516
03/2008,33255.15827398075
04/2008,36168.40926578307
05/2008,37340.2970409388
06/2008,33198.96513457521
07/2008,31921.221504589714
08/2008,31124.486362343712
09/2008,26611.908962412366
10/2008,21435.103727651833
11/2008,19388.853267281862
12/2008,19009.569499196434
01/2009,19390.05402266255
02/2009,18436.622673987917
03/2009,20041.00975947969
04/2009,23690.990606541876
05/2009,26108.099411844694
06/2009,25367.434456497373
07/2009,28233.432268713517
08/2009,28313.96637241715
09/2009,30370.648777991035
10/2009,29677.813534410037
11/2009,30611.55978057866
12/2009,33430.31268840707
