Data,IE00BMYDM794
11/2018,10000
12/2018,9522.50225315777
01/2019,10433.891335571248
02/2019,10675.689485945537
03/2019,11000.616135802233
04/2019,11813.995240232312
05/2019,11294.5596987362
06/2019,11933.689526127859
07/2019,11482.781676050425
08/2019,10716.648490512172
09/2019,11358.21573441951
10/2019,11939.207639853023
11/2019,12529.741779108117
12/2019,13156.814259546694
01/2020,13092.447210541703
02/2020,12462.413784882516
03/2020,10348.285724306841
04/2020,12063.615131096763
05/2020,13754.682709550703
06/2020,16545.10661981041
07/2020,18374.811649487598
08/2020,20477.31573496855
09/2020,20092.1627829905
10/2020,19391.46886582179
11/2020,27090.339901177646
12/2020,30394.877537190663
01/2021,36713.65419303668
02/2021,34150.52683507273
03/2021,34289.741251846055
04/2021,33749.84162761559
05/2021,33594.95166181376
06/2021,33454.08923273296
07/2021,31059.43258288268
08/2021,31488.400324730294
09/2021,29974.535954732637
10/2021,33087.96999959904
11/2021,30583.369812540484
12/2021,29510.679254356375
01/2022,25436.8994448719
02/2022,25896.741441669954
03/2022,26508.599127176374
04/2022,23754.823725416463
05/2022,24393.71970869786
06/2022,20319.78618873644
07/2022,22422.494440294682
08/2022,21852.455299452646
09/2022,17396.84035193546
10/2022,17537.719292277652
11/2022,19480.17968537686
12/2022,18314.908799210814
01/2023,21002.393119173823
02/2023,19771.419155823907
03/2023,19257.269961284062
04/2023,18499.468429655513
05/2023,17819.027673033477
06/2023,19097.954770570697
07/2023,20184.192347199616
08/2023,17708.68793415204
09/2023,16424.694959098608
10/2023,14980.790586272158
11/2023,16570.190918376957
12/2023,17643.385699554536
01/2024,16817.451348230494
02/2024,16741.97756719155
