Data,IE00BNG8L278
11/2020,10000
12/2020,10240.483160130107
01/2021,10330.09705946537
02/2021,10562.39767285574
03/2021,11166.035304198846
04/2021,11328.848736701195
05/2021,11385.230586728683
06/2021,11829.664249629155
07/2021,11909.280768457455
08/2021,12296.501685610237
09/2021,12013.32363291308
10/2021,12553.863205738182
11/2021,12570.78024277313
12/2021,13070.153647697476
01/2022,12420.17652967824
02/2022,12007.949967427596
03/2022,12334.362384362574
04/2022,11854.289103759496
05/2022,11579.812803670693
06/2022,10973.336167930427
07/2022,11989.016032773874
08/2022,11736.190879559903
09/2022,10859.423867539568
10/2022,11235.784893568314
