Data,IE00BNRQM384
07/2007,10000
08/2007,10299.113152337897
09/2007,10464.666929383377
10/2007,10994.06038623106
11/2007,10046.807643264818
12/2007,10055.315668177285
01/2008,8794.9341054547
02/2008,8178.455502237062
03/2008,8008.876225268852
04/2008,8765.62570174115
05/2008,9311.379191349923
06/2008,8282.566504650353
07/2008,8417.281132317925
08/2008,9034.092147318419
09/2008,7933.267053215943
10/2008,7455.508349945391
11/2008,6650.829004850845
12/2008,6212.021996143626
01/2009,6571.818268991569
02/2009,6314.17913659572
03/2009,6636.238183117071
04/2009,7489.142767631606
05/2009,7263.33493302584
06/2009,7452.848894918326
07/2009,8079.576739492461
08/2009,8116.404478566447
09/2009,8362.206485937664
10/2009,8026.477128163373
11/2009,8382.853107947029
12/2009,9194.522136817925
01/2010,8882.214001797354
02/2010,9551.03235639455
03/2010,10345.168590855252
04/2010,10697.465968083088
05/2010,10732.26382133625
06/2010,10115.720503579778
07/2010,10202.445425324859
08/2010,9953.148509812754
09/2010,10436.692637923687
10/2010,10921.358326292275
11/2010,11617.101741559602
12/2010,11829.328025900099
01/2011,11872.630417638684
02/2011,12108.288385384483
03/2011,11731.246855390815
04/2011,11524.934783479348
05/2011,11852.48010268147
06/2011,11568.38944884877
07/2011,11912.065120697418
08/2011,11174.733540245497
09/2011,11429.640567195407
10/2011,12143.46087405496
11/2011,12338.379413976509
12/2011,12699.62278926497
01/2012,13512.931061680283
02/2012,14092.078200773636
03/2012,14898.925462360341
04/2012,14889.05022951095
05/2012,14720.664140288467
06/2012,15029.349225891912
07/2012,15562.78255310189
08/2012,15925.382935454732
09/2012,15687.394768264025
10/2012,14870.007904257174
11/2012,14974.574996518597
12/2012,14653.413210834262
01/2013,14645.737886955287
02/2013,15176.392167060705
03/2013,16020.198677857
04/2013,16079.20449023061
05/2013,16712.730654507362
06/2013,16223.67069441203
07/2013,16983.584616195385
08/2013,16970.952509996518
09/2013,17416.026753880695
10/2013,18100.824244639385
11/2013,18764.4553605707
12/2013,19075.712837907908
01/2014,19086.60533052311
02/2014,19625.518080573987
03/2014,19131.860789033002
04/2014,18977.926197384964
05/2014,20179.639992519198
06/2014,20717.247104121787
07/2014,21389.83260460441
08/2014,22788.271139378914
09/2014,23696.511373239548
10/2014,24447.701258976427
11/2014,25616.503292994184
12/2014,25722.52786177362
01/2015,27056.88184349695
02/2015,29159.88945064578
03/2015,29741.975573118827
04/2015,29063.800193444422
05/2015,30379.207494188206
06/2015,29058.477076930067
07/2015,30948.00811032535
08/2015,28225.17893827365
09/2015,27641.35953700149
10/2015,31258.85775567214
11/2015,32707.351466733548
12/2015,31301.060604149043
01/2016,29077.259288329486
02/2016,28672.170365101338
03/2016,29266.659252139052
04/2016,28298.631418327765
05/2016,30192.43910924736
06/2016,29626.12987766235
07/2016,31697.381736369196
08/2016,31958.668130801154
09/2016,32578.935540328468
10/2016,32715.947665118652
11/2016,33789.03729403292
12/2016,34470.435367084116
01/2017,35546.9364865279
02/2017,37626.06456335855
03/2017,38045.77274895515
04/2017,38228.42364961087
05/2017,38647.04380105837
06/2017,37076.66507343803
07/2017,37575.398789877676
08/2017,37993.99344150666
09/2017,38000.380116095344
10/2017,40291.75645728535
11/2017,40361.36963553361
12/2017,40072.21730646009
01/2018,41924.170860607395
02/2018,42210.965415125036
03/2018,40184.14163856316
04/2018,41145.9177370573
05/2018,44862.63954441372
06/2018,45498.7937894244
07/2018,46430.126010158725
08/2018,49546.554579052296
09/2018,49705.39844810594
10/2018,46441.84625229272
11/2018,46206.1796189897
12/2018,41767.54192375276
01/2019,45429.18886732923
02/2019,47021.30337649535
03/2019,49686.59262174689
04/2019,52483.190237010276
05/2019,48411.90800702978
06/2019,51069.2232631591
07/2019,53333.844729018056
08/2019,52853.5452855815
09/2019,53990.6100246445
10/2019,54993.45726913046
11/2019,58112.682528855046
12/2019,59053.32876626799
01/2020,61811.670498485095
02/2020,58607.37486284037
03/2020,54247.73968235067
04/2020,62955.14742271344
05/2020,65328.17761414078
06/2020,69077.88742254017
07/2020,70106.44242353778
08/2020,77300.44933341246
09/2020,74337.7594075693
10/2020,72028.65780328173
11/2020,78108.58711656081
12/2020,80116.03355299425
01/2021,81246.40666511064
02/2021,81281.493729182
03/2021,85234.74354188368
04/2021,87585.67956743765
05/2021,85682.28640353322
06/2021,93568.19824455158
07/2021,96122.34675551172
08/2021,100649.96552430435
09/2021,96987.13578921897
10/2021,104066.53090863186
11/2021,108614.17399035594
12/2021,110230.03946848228
01/2022,102382.0382718014
02/2022,97306.46522624709
03/2022,102334.12485810863
04/2022,93375.10635144035
05/2022,90408.42389325626
06/2022,84873.45913041908
07/2022,97314.5490881333
08/2022,94120.51424230207
09/2022,86338.87525246566
10/2022,88268.21227633154
11/2022,89029.2644815072
12/2022,78772.37866550182
01/2023,85808.00511098147
02/2023,87165.05982932744
03/2023,93197.64720721748
04/2023,92753.54243836593
05/2023,102664.36544556366
06/2023,107509.9833040667
07/2023,110019.51427192807
08/2023,109853.63929334738
09/2023,107000.29504623353
10/2023,104544.27319417501
11/2023,112486.43065510136
12/2023,117399.2374348395
01/2024,121935.03638078624
02/2024,128596.47775932343
03/2024,130313.89138444391
04/2024,125588.38978901198
