Data,IE00BP3QZ601
11/1998,10000
12/1998,10506.488586740677
01/1999,11108.320202013872
02/1999,11046.09871643856
03/1999,11710.268806317417
04/1999,12240.05772296734
05/1999,11852.386863933985
06/1999,12616.866422646019
07/1999,11965.36641961952
08/1999,12131.831434075619
09/1999,11796.735924576624
10/1999,12682.502343382113
11/1999,13464.36163660813
12/1999,14625.49122168635
01/2000,13815.986993112088
02/2000,13693.7534586898
03/2000,15021.549662282605
04/2000,15173.082601144622
05/2000,14689.799487237058
06/2000,14908.456085032842
07/2000,15260.137287242542
08/2000,15988.125821983662
09/2000,15749.520053775117
10/2000,16496.557613199064
11/2000,15414.70314333011
12/2000,14872.475089426605
01/2001,14812.338851465656
02/2001,13636.272395222499
03/2001,13331.76506315895
04/2001,14266.591504753527
05/2001,14709.921913760385
06/2001,14330.57739568843
07/2001,14022.731717808008
08/2001,12738.019196050933
09/2001,11935.39242831918
10/2001,12271.356408966067
11/2001,13238.821778715188
12/2001,13594.828569749037
01/2002,13693.791136486125
02/2002,13687.843379796263
03/2002,13970.996718925544
04/2002,12894.789678714524
05/2002,12248.689979495546
06/2002,11042.523272919074
07/2002,10316.978990508029
08/2002,10307.925305483486
09/2002,9209.544952667999
10/2002,10074.356937510736
11/2002,10471.58961705807
12/2002,9449.157932623893
01/2003,8816.27463080376
02/2003,8635.80718515002
03/2003,8565.457413918724
04/2003,9141.001517518655
05/2003,9032.882560387923
06/2003,9388.275828084263
07/2003,9583.312609773482
08/2003,10103.863289587163
09/2003,9431.218001809742
10/2003,9992.352665361772
11/2003,9801.46122121106
12/2003,9827.26956683076
01/2004,10104.324474884084
02/2004,10253.556164805366
03/2004,10282.145621809323
04/2004,10433.501391291511
05/2004,10305.14112034454
06/2004,10521.715474373732
07/2004,10378.068336883332
08/2004,10408.390888604146
09/2004,10377.769897538214
10/2004,10214.824907615925
11/2004,10252.848196166418
12/2004,10445.122562948798
01/2005,10691.120192552895
02/2005,10922.098249244938
03/2005,10968.259108626024
04/2005,10697.183462005376
05/2005,11495.940383121657
06/2005,11875.621015638453
07/2005,12259.429363878515
08/2005,12081.433026117878
09/2005,12426.982336060832
10/2005,12226.471031468865
11/2005,12902.240606423595
12/2005,12967.829095117579
01/2006,13049.001067465453
02/2006,13370.146419120501
03/2006,13401.964105044859
04/2006,13350.48960732342
05/2006,12595.55040763101
06/2006,12779.577180553222
07/2006,12731.57510759565
08/2006,12998.681688062228
09/2006,13349.39743247213
10/2006,13884.048810968223
11/2006,13701.232866247188
12/2006,13991.511109217223
01/2007,14349.122492189967
02/2007,13963.172117883534
03/2007,14107.838416510547
04/2007,14521.370966037306
05/2007,15121.442385053242
06/2007,15033.443957757601
07/2007,14529.231751053561
08/2007,14644.332372405479
09/2007,15060.924147243471
10/2007,15347.987901633254
11/2007,14516.990739407935
12/2007,14393.10752257066
01/2008,13086.686770544602
02/2008,12766.380877839145
03/2008,12082.872192718307
04/2008,12877.649776500475
05/2008,13149.858381835222
06/2008,12114.213883652783
07/2008,11880.448492021262
08/2008,12484.856562139916
09/2008,11522.212442593584
10/2008,10552.226603433719
11/2008,10084.937885948942
12/2008,9479.069928641398
01/2009,9474.385917208372
02/2009,8679.934428720691
03/2009,8898.88038853915
04/2009,9786.604389130602
05/2009,10056.056028485924
06/2009,10088.416845771746
07/2009,10850.905373052761
08/2009,11033.7526523301
09/2009,11156.383283734789
10/2009,11028.01961180458
11/2009,11361.48499067516
12/2009,12081.365608704662
01/2010,11946.539018401574
02/2010,12467.394588160012
03/2010,13254.17342045003
04/2010,13404.666578917067
05/2010,13126.682536942544
06/2010,12870.099551894977
07/2010,13040.80849566806
08/2010,13013.553292001949
09/2010,13250.2663209689
10/2010,13603.647432871152
11/2010,14238.35576426937
12/2010,14715.076477364179
01/2011,14589.667802810129
02/2011,14897.395165552995
03/2011,14547.757171554313
04/2011,14620.77848350603
05/2011,14870.48199460074
06/2011,14618.581132780675
07/2011,14646.06623672875
08/2011,13686.896906185282
09/2011,13399.412457499355
10/2011,14237.860886639353
11/2011,14609.207560427336
12/2011,15141.435293598248
01/2012,15563.860056656196
02/2012,16057.911593745264
03/2012,16288.50641154778
04/2012,16449.968385823096
05/2012,16050.20382166321
06/2012,16551.171251459476
07/2012,17296.834871914394
08/2012,17213.073733072935
09/2012,17183.541013078855
10/2012,16954.012858385824
11/2012,17193.46471982764
12/2012,17090.597092859385
01/2013,17460.499925672877
02/2013,18051.066592031148
03/2013,18970.383676225454
04/2013,19082.205432145445
05/2013,19218.480586038582
06/2013,18530.538346218043
07/2013,19202.574986280615
08/2013,18882.503525686614
09/2013,19413.953562394043
10/2013,19953.390776892513
11/2013,20440.3049698446
12/2013,20632.343113382736
01/2014,20035.397639559855
02/2014,20707.89924011198
03/2014,20834.74962619325
04/2014,21136.449589995216
05/2014,21836.718537639303
06/2014,22033.689753492257
07/2014,22256.414668872694
08/2014,23309.43464782647
09/2014,23752.692622863487
10/2014,24347.004335725593
11/2014,24741.9979854712
12/2014,25064.252221374903
01/2015,26716.579729290755
02/2015,28256.32763225644
03/2015,29074.47001827589
04/2015,28548.137845766792
05/2015,29353.981831222056
06/2015,28096.35570336993
07/2015,29343.917504214078
08/2015,26818.270396942436
09/2015,26286.61791090129
10/2015,28973.959074154165
11/2015,30099.554238001925
12/2015,28744.7968823763
01/2016,27231.88091246421
02/2016,27343.20653468503
03/2016,27887.411153587902
04/2016,27970.740341087083
05/2016,28820.32779939487
06/2016,28834.66682185094
07/2016,29729.857462943794
08/2016,29565.12212427402
09/2016,29558.500874703277
10/2016,29236.45268245869
11/2016,30500.860249157406
12/2016,31266.346925711598
01/2017,31095.76308457503
02/2017,32716.871382470967
03/2017,32878.58877632244
04/2017,32686.35059768669
05/2017,32715.482762634103
06/2017,32078.979581988013
07/2017,31704.533215880085
08/2017,31553.26222358186
09/2017,32298.291208318722
10/2017,33524.019695440686
11/2017,33899.08685313413
12/2017,33944.792911097706
01/2018,34020.906673621415
02/2018,33495.82011110231
03/2018,32844.646959494305
04/2018,33712.355145115405
05/2018,35398.837130442815
06/2018,35302.261799576896
07/2018,36248.935802778135
08/2018,37121.1054313905
09/2018,37528.712636847835
10/2018,35708.881009804485
11/2018,35780.1556428139
12/2018,33071.225887852284
01/2019,35390.520875411756
02/2019,37227.91549172083
03/2019,38630.45221042493
04/2019,39933.654527261824
05/2019,37863.48234340676
06/2019,39607.39345063554
07/2019,40609.38343988258
08/2019,40159.98766288514
09/2019,41442.00714711243
10/2019,41605.228911127015
11/2019,43663.1783592755
12/2019,44135.418980538496
01/2020,44665.93172636376
02/2020,41195.70462406757
03/2020,36702.86012955141
04/2020,40752.381450167406
05/2020,41685.14755896957
06/2020,42051.11101870822
07/2020,41353.991301220434
08/2020,43898.63914828641
09/2020,43413.97860033737
10/2020,42093.57566726922
11/2020,45948.34659145631
12/2020,46547.74435661919
01/2021,46082.06691260137
02/2021,47235.26021085252
03/2021,50830.29705865612
04/2021,51822.63828120893
05/2021,52285.17823072021
06/2021,54809.40500005679
07/2021,56451.67194244747
08/2021,58135.067502889586
09/2021,55809.75570172199
10/2021,59504.207276953166
11/2021,59901.87690042337
12/2021,62318.94991242443
01/2022,58938.748074941526
02/2022,56875.117287060246
03/2022,59253.82865285772
04/2022,57548.438420064274
05/2022,56108.23062554307
06/2022,52937.97277015393
07/2022,58140.9093481598
08/2022,56424.85394342174
09/2022,52607.00125094321
10/2022,55262.12118918313
11/2022,57290.44811033972
12/2022,53602.10239699536
01/2023,55979.33390583292
02/2023,55663.70068483944
03/2023,56524.73800760233
04/2023,57101.90157934129
05/2023,58288.46456833762
06/2023,60680.44515192959
07/2023,61785.61664815016
08/2023,61879.65860140224
09/2023,60464.7828513617
10/2023,59400.458722182324
11/2023,62851.6172412026
12/2023,65253.28215835042
01/2024,67618.34553124287
02/2024,71365.24846825267
03/2024,73572.99998773083
04/2024,71355.99404804684
