Data,IE00BPVLQD13
08/2013,10000
09/2013,10628.459307932617
10/2013,10433.126700372364
11/2013,10617.569097391852
12/2013,10564.212623996857
01/2014,10377.390920489848
02/2014,10133.116722642795
03/2014,9933.061624647775
04/2014,9676.265418128227
05/2014,10269.860212430443
06/2014,10750.200357180938
07/2014,11062.33377226787
08/2014,10972.42826784757
09/2014,11324.273434919445
10/2014,11249.290883887012
11/2014,11257.04359223404
12/2014,11399.471890940316
01/2015,12499.154948208652
02/2015,13373.412775279956
03/2015,14188.138758876377
04/2015,14117.19876099639
05/2015,14507.144149511452
06/2015,14027.169046197372
07/2015,14329.677189826682
08/2015,13257.25051023501
09/2015,12319.661710174694
10/2015,13842.53797157937
11/2015,14356.918399086966
12/2015,14000.751487737605
01/2016,12845.477520781675
02/2016,12556.374322797383
03/2016,12604.189064843058
04/2016,13134.808510392018
05/2016,13326.675826165269
06/2016,13086.857182183789
07/2016,13724.501150655029
08/2016,13806.26114778588
09/2016,13999.457645986495
10/2016,14513.652389478215
11/2016,14618.596694472219
12/2016,14754.563859609363
01/2017,14959.948784965422
02/2017,15474.969353832703
03/2017,15240.530183168024
04/2017,15148.616454302031
05/2017,15134.272032068911
06/2017,15157.080923647136
07/2017,14965.54301051524
08/2017,14772.064842983893
09/2017,15116.774086554131
10/2017,16075.573496827683
11/2017,16194.330906245663
12/2017,16180.874380475405
01/2018,16285.843957006256
02/2018,16232.56002721896
03/2018,15849.183759809273
04/2018,16282.409152870328
05/2018,16609.89544802162
06/2018,16270.422357128748
07/2018,16241.488469579781
08/2018,16290.057705787944
09/2018,16930.231781887374
10/2018,15706.169146497066
11/2018,15775.509887120299
12/2018,14557.997662111138
01/2019,15430.451555047304
02/2019,15602.625420273494
03/2019,15889.650040830222
04/2019,16064.974556665391
05/2019,15479.075516607165
06/2019,15748.153885125808
07/2019,16062.490138837482
08/2019,16069.638461222743
09/2019,17000.609159807314
10/2019,17386.24841742542
11/2019,17742.799490975623
12/2019,17770.179132879715
01/2020,17669.892625410714
02/2020,16038.153991223902
03/2020,15049.768807703387
04/2020,16121.555077205478
05/2020,16792.95150641236
06/2020,16585.500300607586
07/2020,15463.124644690972
08/2020,16450.881944008797
09/2020,16936.44667056117
10/2020,16650.935677875972
11/2020,18332.11343987188
12/2020,18543.501631849547
01/2021,18536.97584943418
02/2021,18797.20502373287
03/2021,19604.711971528835
04/2021,18776.8708080229
05/2021,18786.67376684946
06/2021,19277.115935802965
07/2021,18929.053814881703
08/2021,19661.39059077617
09/2021,20553.604600366238
10/2021,19805.151280452737
11/2021,19775.587795118856
12/2021,20123.53035184508
01/2022,19346.51530954195
02/2022,19143.052203385905
03/2022,19117.348343891346
04/2022,18390.874459600294
05/2022,18486.93170322649
06/2022,17506.57624913932
07/2022,18865.438991749117
08/2022,18783.95532101376
09/2022,17378.1926967112
10/2022,17485.08941070733
11/2022,18461.28761757834
12/2022,18050.592120362388
01/2023,18777.900075193982
02/2023,18439.292494981448
03/2023,18765.1217823052
04/2023,18660.47371515444
05/2023,19510.491347075706
06/2023,19906.53481136101
07/2023,20225.533562186687
08/2023,20037.415556505326
09/2023,20082.46600062682
10/2023,19115.26935967953
11/2023,20198.93754874576
12/2023,20783.370695928472
01/2024,21873.01981752925
02/2024,22598.180665218755
